Atoll,island,atoll_official,indicator_full,value,sex_modifier,population_modifier,indicator,indicator2,value2,index
Thiladhunmathee Uthuruburi,Baarah,Haa Alif Atoll,Resident Maldivian Population (%) Elderly Population  (65+ yrs),5.7929724596391265,NA,Resident Maldivians, (%) Elderly Population  (65+ yrs), (%) Elderly Population  (65+ yrs),5.7929724596391265,"Baarah, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Baarah,Haa Alif Atoll,Area (in hectare),249.955159,NA,NA,Area (in hectare),Area (in hectare),249.955159,"Baarah, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Baarah,Haa Alif Atoll,Area (in sq km),2.4995515900000003,NA,NA,Area (in sq km),Area (in sq km),2.4995515900000003,"Baarah, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Baarah,Haa Alif Atoll,Population density Resident Maldivian Population,421.2755616698433,NA,Resident Maldivians,Population density ,Population density ,421.2755616698433,"Baarah, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Baarah,Haa Alif Atoll,Median Age Resident Maldivians,28,NA,Resident Maldivians,Median Age Resident Maldivians,Median Age Resident Maldivians,28,"Baarah, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Dhidhdhoo,Haa Alif Atoll,Resident Maldivians Population Both sexes,3126,Both sexes,Resident Maldivians,Resident Maldivians Population Both sexes,Resident Maldivians Population Both sexes,3126,"Dhidhdhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Dhidhdhoo,Haa Alif Atoll,Growth Rate (for Resident Maldivian Population - 2014 to 2022),2.2434949369312824,NA,Resident Maldivians,Growth Rate (for  - 2014 to 2022),Growth Rate (for  - 2014 to 2022),2.2434949369312824,"Dhidhdhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Dhidhdhoo,Haa Alif Atoll,Resident Foreigners (%) (out of resident Population),8.382180539273154,NA,NA,Resident Foreigners (%) (out of resident Population),Resident Foreigners (%) (out of resident Population),8.382180539273154,"Dhidhdhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Dhidhdhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Sex Ratio (males per 100 female),81.21739130434783,NA,Resident Maldivians, 2022 Sex Ratio (males per 100 female), 2022 Sex Ratio (males per 100 female),81.21739130434783,"Dhidhdhoo, Thiladhunmathee Uthuruburi"
Thiladhunmathee Uthuruburi,Dhidhdhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Dependency Ratio,71.94719471947195,NA,Resident Maldivians, 2022 Dependency Ratio, 2022 Dependency Ratio,71.94719471947195,"Dhidhdhoo, Thiladhunmathee Uthuruburi"
