Population,Administration,Indicator,Gender ,Geography,Pcode,Island,Atoll Official,Value,Sort Order,sort order-2,Atoll Local Names
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV002007009,Thulhaadhoo,Baa Atoll,0,4,4,Maalhosmadulu Dhekunuburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV002005003,Kurendhoo,Lhaviyani Atoll,0,5,5,Faadhippolhu
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV002005004,Olhuvelifushi,Lhaviyani Atoll,0,5,5,Faadhippolhu
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004009003,Dhiffushi,Kaafu Atoll,0,10,10,Malé Atholhu
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004009002,Gaafaru,Kaafu Atoll,0,10,10,Malé Atholhu
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004009007,Gulhi,Kaafu Atoll,0,10,10,Malé Atholhu
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004009009,Guraidhoo,Kaafu Atoll,0,10,10,Malé Atholhu
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004009008,Maafushi,Kaafu Atoll,0,10,10,Malé Atholhu
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004008005,Bodufolhudhoo,Alif Uthuru Buri,0,9,8,Ari Atholhu Uthuruburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004008006,Feridhoo,Alif Uthuru Buri,0,9,8,Ari Atholhu Uthuruburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004008008,Himendhoo,Alif Uthuru Buri,0,9,8,Ari Atholhu Uthuruburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004008007,Maalhoss,Alif Uthuru Buri,0,9,8,Ari Atholhu Uthuruburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004008004,Mathiveri,Alif Uthuru Buri,0,9,8,Ari Atholhu Uthuruburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004008002,Rasdhoo,Alif Uthuru Buri,0,9,8,Ari Atholhu Uthuruburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004008003,Ukulhas,Alif Uthuru Buri,0,9,8,Ari Atholhu Uthuruburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004020006,Dhangethi,Alif Dhekunu Buri,0,9,9,Ari Atholhu Dhekunuburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004020009,Dhidhdhoo,Alif Dhekunu Buri,0,9,9,Ari Atholhu Dhekunuburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004020008,Fenfushi,Alif Dhekunu Buri,0,9,9,Ari Atholhu Dhekunuburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004020001,Hanghghaameedhoo,Alif Dhekunu Buri,0,9,9,Ari Atholhu Dhekunuburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004020003,Kunburudhoo,Alif Dhekunu Buri,0,9,9,Ari Atholhu Dhekunuburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004020004,Mahibadhoo,Alif Dhekunu Buri,0,9,9,Ari Atholhu Dhekunuburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004020005,Mandhoo,Alif Dhekunu Buri,0,9,9,Ari Atholhu Dhekunuburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004020002,Omadhoo,Alif Dhekunu Buri,0,9,9,Ari Atholhu Dhekunuburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004010003,Felidhoo,Vaavu Atoll,0,11,11,Felidhe Atholhu
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004010001,Fulidhoo,Vaavu Atoll,0,11,11,Felidhe Atholhu
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004010004,Keyodhoo,Vaavu Atoll,0,11,11,Felidhe Atholhu
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004010005,Rakeedhoo,Vaavu Atoll,0,11,11,Felidhe Atholhu
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004010002,Thinadhoo,Vaavu Atoll,0,11,11,Felidhe Atholhu
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004013008,Dhiggaru,Meemu Atoll,0,15,15,Meemu (M)
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004013009,Maduvvari,Meemu Atoll,0,15,15,Meemu (M)
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004013006,Naalaafushi,Meemu Atoll,0,15,15,Meemu (M)
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004013001,Raimandhoo,Meemu Atoll,0,15,15,Meemu (M)
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004013003,Veyvah,Meemu Atoll,0,15,15,Meemu (M)
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004011002,Biledhdhoo,Faafu Atoll,0,14,14,Nilandhe Atholhu Uthuruburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004011004,Dharaboodhoo,Faafu Atoll,0,14,14,Nilandhe Atholhu Uthuruburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004011001,Feeali,Faafu Atoll,0,14,14,Nilandhe Atholhu Uthuruburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004011003,Magoodhoo,Faafu Atoll,0,14,14,Nilandhe Atholhu Uthuruburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004012002,Badidhoo,Dhaal Atoll,0,13,13,Nilandhe Atholhu Dhekunuburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004012004,Hulhudheli,Dhaal Atoll,0,13,13,Nilandhe Atholhu Dhekunuburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004012007,Maaeboodhoo,Dhaal Atoll,0,13,13,Nilandhe Atholhu Dhekunuburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004012001,Meedhoo,Dhaal Atoll,0,13,13,Nilandhe Atholhu Dhekunuburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004012003,Ribudhoo,Dhaal Atoll,0,13,13,Nilandhe Atholhu Dhekunuburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004014001,Buruni,Thaa Atoll,0,16,16,Kolhumadulu Atholhu
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004014004,Dhiyamigili,Thaa Atoll,0,16,16,Kolhumadulu Atholhu
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004014009,Gaadhiffushi,Thaa Atoll,0,16,16,Kolhumadulu Atholhu
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004014008,Hirilandhoo,Thaa Atoll,0,16,16,Kolhumadulu Atholhu
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004014012,Kibidhoo,Thaa Atoll,0,16,16,Kolhumadulu Atholhu
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004014013,Omadhoo,Thaa Atoll,0,16,16,Kolhumadulu Atholhu
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004014007,Vandhoo,Thaa Atoll,0,16,16,Kolhumadulu Atholhu
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004014011,Veymandoo,Thaa Atoll,0,16,16,Kolhumadulu Atholhu
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004015010,Maamendhoo,Laamu Atoll,0,17,17,Hadhdhummathi Atholhu
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004015007,Maavah,Laamu Atoll,0,17,17,Hadhdhummathi Atholhu
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV004015004,Mundhoo,Laamu Atoll,0,17,17,Hadhdhummathi Atholhu
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV005016005,Dhaandhoo,Gaaf Alif Atoll,0,18,18,Huvadhu Atholhu Uthuruburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV005016006,Dhevvadhoo,Gaaf Alif Atoll,0,18,18,Huvadhu Atholhu Uthuruburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV005016010,Kanduhulhudhoo,Gaaf Alif Atoll,0,18,18,Huvadhu Atholhu Uthuruburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV005016001,Kolamaafushi,Gaaf Alif Atoll,0,18,18,Huvadhu Atholhu Uthuruburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV005017009,Fares,Gaaf Dhaal Atoll,0,19,19,Huvadhu Atholhu Dhekunuburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV005017001,Madeveli,Gaaf Dhaal Atoll,0,19,19,Huvadhu Atholhu Dhekunuburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV005017003,Nadallaa,Gaaf Dhaal Atoll,0,19,19,Huvadhu Atholhu Dhekunuburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV005017005,Rathafandhoo,Gaaf Dhaal Atoll,0,19,19,Huvadhu Atholhu Dhekunuburi
Maldivians,Administrative Islands,Area (in sq km),,Atoll,MV005019005,Maradhoo-Feydhoo,Seenu Atoll,0,21,21,Addu Atholhu
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV001001001,Thurakunu,Haa Alif Atoll,0,1,1,Thiladhunmathee Uthuruburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV001001002,Uligamu,Haa Alif Atoll,0,1,1,Thiladhunmathee Uthuruburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV001002004,Finey,Haa Dhaal Atoll,0,2,2,Thiladhunmathee Dhekunuburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV001002017,Makunudhoo,Haa Dhaal Atoll,0,2,2,Thiladhunmathee Dhekunuburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV001003006,Bilehffahi,Shaviyani Atoll,0,3,3,Miladhunmadulu Uthuruburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV001003005,Feevah,Shaviyani Atoll,0,3,3,Miladhunmadulu Uthuruburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV001003015,Funadhoo,Shaviyani Atoll,0,3,3,Miladhunmadulu Uthuruburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV001003011,Lhaimagu,Shaviyani Atoll,0,3,3,Miladhunmadulu Uthuruburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV001003010,Maroshi,Shaviyani Atoll,0,3,3,Miladhunmadulu Uthuruburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV001003002,Noomaraa,Shaviyani Atoll,0,3,3,Miladhunmadulu Uthuruburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV002006003,Rasgetheemu,Raa Atoll,0,7,7,Maalhosmadulu Uthuruburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV002006009,Rasmaadhoo,Raa Atoll,0,7,7,Maalhosmadulu Uthuruburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV002007005,Dhonfanu,Baa Atoll,0,4,4,Maalhosmadulu Dhekunuburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV002007013,Goidhoo,Baa Atoll,0,4,4,Maalhosmadulu Dhekunuburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV002007010,Hithaadhoo,Baa Atoll,0,4,4,Maalhosmadulu Dhekunuburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV002007002,Kamadhoo,Baa Atoll,0,4,4,Maalhosmadulu Dhekunuburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV002007003,Kendhoo,Baa Atoll,0,4,4,Maalhosmadulu Dhekunuburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV004009007,Gulhi,Kaafu Atoll,0,10,10,Malé Atholhu
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV004009009,Guraidhoo,Kaafu Atoll,0,10,10,Malé Atholhu
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV004020006,Dhangethi,Alif Dhekunu Buri,0,9,9,Ari Atholhu Dhekunuburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV004020007,Dhigurah,Alif Dhekunu Buri,0,9,9,Ari Atholhu Dhekunuburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV004020005,Mandhoo,Alif Dhekunu Buri,0,9,9,Ari Atholhu Dhekunuburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV004020002,Omadhoo,Alif Dhekunu Buri,0,9,9,Ari Atholhu Dhekunuburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV004013007,Kolhufushi,Meemu Atoll,0,15,15,Meemu (M)
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV004013005,Muli,Meemu Atoll,0,15,15,Meemu (M)
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV004011002,Biledhdhoo,Faafu Atoll,0,14,14,Nilandhe Atholhu Uthuruburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV004011004,Dharaboodhoo,Faafu Atoll,0,14,14,Nilandhe Atholhu Uthuruburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV004012004,Hulhudheli,Dhaal Atoll,0,13,13,Nilandhe Atholhu Dhekunuburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV004012001,Meedhoo,Dhaal Atoll,0,13,13,Nilandhe Atholhu Dhekunuburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV004014005,Guraidhoo,Thaa Atoll,0,16,16,Kolhumadulu Atholhu
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV004014006,Kadoodhoo,Thaa Atoll,0,16,16,Kolhumadulu Atholhu
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV004014002,Vilufushi,Thaa Atoll,0,16,16,Kolhumadulu Atholhu
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV005016003,Maamendhoo,Gaaf Alif Atoll,0,18,18,Huvadhu Atholhu Uthuruburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV005016004,Nilandhoo,Gaaf Alif Atoll,0,18,18,Huvadhu Atholhu Uthuruburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV005016002,Viligili,Gaaf Alif Atoll,0,18,18,Huvadhu Atholhu Uthuruburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV005017002,Hoadedhdhoo,Gaaf Dhaal Atoll,0,19,19,Huvadhu Atholhu Dhekunuburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV005017001,Madeveli,Gaaf Dhaal Atoll,0,19,19,Huvadhu Atholhu Dhekunuburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV005018001,Foammulah,Gnaviyani Atoll,0,20,20,Fuvahmulah
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV005019004,Feydhoo,Seenu Atoll,0,21,21,Addu Atholhu
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV005019003,Maradhoo,Seenu Atoll,0,21,21,Addu Atholhu
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV005019001,Meedhoo,Seenu Atoll,0,21,21,Addu Atholhu
Maldivians,Administrative Islands,Adolescent Population (International) (10-19 yrs)%,,Atoll,MV004010005,Rakeedhoo,Vaavu Atoll,0,11,11,Felidhe Atholhu
Maldivians,Administrative Islands,Youth Population (International) (15-24 yrs)%,,Atoll,MV004010005,Rakeedhoo,Vaavu Atoll,0,11,11,Felidhe Atholhu
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV001001007,Ihavandhoo,Haa Alif Atoll,1,1,1,Thiladhunmathee Uthuruburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV001001005,Mulhadhoo,Haa Alif Atoll,1,1,1,Thiladhunmathee Uthuruburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV001001015,Muraidhoo,Haa Alif Atoll,1,1,1,Thiladhunmathee Uthuruburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV001001014,Utheemu,Haa Alif Atoll,1,1,1,Thiladhunmathee Uthuruburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV001002013,Kumundhoo,Haa Dhaal Atoll,1,2,2,Thiladhunmathee Dhekunuburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV001002010,Kuribi,Haa Dhaal Atoll,1,2,2,Thiladhunmathee Dhekunuburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV001002005,Naivaadhoo,Haa Dhaal Atoll,1,2,2,Thiladhunmathee Dhekunuburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV001002009,Nolhivaram,Haa Dhaal Atoll,1,2,2,Thiladhunmathee Dhekunuburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV001003004,Feydhoo,Shaviyani Atoll,1,3,3,Miladhunmadulu Uthuruburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV001003003,Goidhoo,Shaviyani Atoll,1,3,3,Miladhunmadulu Uthuruburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV001003001,Kaditheemu,Shaviyani Atoll,1,3,3,Miladhunmadulu Uthuruburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,Milandhoo,Milandhoo,Shaviyani Atoll,1,3,3,Miladhunmadulu Uthuruburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV001003008,Narudhoo,Shaviyani Atoll,1,3,3,Miladhunmadulu Uthuruburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV002004005,Landhoo,Noonu Atoll,1,6,6,Miladhunmadulu Dhekunuburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV002004007,Lhohi,Noonu Atoll,1,6,6,Miladhunmadulu Dhekunuburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV002004003,Maalhendhoo,Noonu Atoll,1,6,6,Miladhunmadulu Dhekunuburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV002004009,Magoodhoo,Noonu Atoll,1,6,6,Miladhunmadulu Dhekunuburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV002004008,Miladhoo,Noonu Atoll,1,6,6,Miladhunmadulu Dhekunuburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,Dhuvaafaru,Dhuvaafaru,Raa Atoll,1,7,7,Maalhosmadulu Uthuruburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV002006005,Hulhudhuffaaru,Raa Atoll,1,7,7,Maalhosmadulu Uthuruburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV002006012,Iguraidhoo,Raa Atoll,1,7,7,Maalhosmadulu Uthuruburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV002006010,Innamaadhoo,Raa Atoll,1,7,7,Maalhosmadulu Uthuruburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV002006014,Meedhoo,Raa Atoll,1,7,7,Maalhosmadulu Uthuruburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV002006006,Ugoofaaru,Raa Atoll,1,7,7,Maalhosmadulu Uthuruburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV002006002,Vaadhoo,Raa Atoll,1,7,7,Maalhosmadulu Uthuruburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV002007006,Dharavandhoo,Baa Atoll,1,4,4,Maalhosmadulu Dhekunuburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV002007001,Kudarikilu,Baa Atoll,1,4,4,Maalhosmadulu Dhekunuburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV002007007,Maalhoss,Baa Atoll,1,4,4,Maalhosmadulu Dhekunuburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV002007009,Thulhaadhoo,Baa Atoll,1,4,4,Maalhosmadulu Dhekunuburi
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV002005002,Naifaru,Lhaviyani Atoll,1,5,5,Faadhippolhu
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV004009003,Dhiffushi,Kaafu Atoll,1,10,10,Malé Atholhu
Maldivians,Administrative Islands,Growth Rate ( 2014 to 2022),,Atoll,MV004009006,Himmafushi,Kaafu Atoll,1,10,10,Malé Atholhu
