Timestamp,max_temp_degC,min_temp_degC,mean_temp_degC,mean_humidity_percent,mean_wind_direction_compass,mean_wind_speed_kts,max_wind_direction_compass,max_wind_speed_kts,rainfall_mm
5/22/1990,33,26,,,,,,,0
5/23/1990,32.1,26.2,,,,,,,0
5/24/1990,32.4,25.4,,,,,,,0
5/25/1990,31.8,26,,,,,,,0
5/26/1990,32,25.6,,,,,,,0
5/27/1990,31.2,24.2,,,,,,,3.2
5/28/1990,30.1,25.8,,,,,,,6.3
5/29/1990,32.1,26,,,,,,,0
5/30/1990,33,25.8,,,,,,,0
5/31/1990,32,24.8,,,,,,,25.2
6/1/1990,30.2,25,,,,,,,8.2
6/2/1990,31.8,24.8,,,,,,,28.8
6/3/1990,29.7,24.2,,,,,,,13.7
6/4/1990,30,24,,,,,,,14.1
6/5/1990,30.5,25,,,,,,,0
6/6/1990,29.8,23,,,,,,,29.2
6/7/1990,27.2,25.6,,,,,,,2.1
6/8/1990,31,25.8,,,,,,,0
6/9/1990,32,26.2,,,,,,,0
6/10/1990,31.7,26,,,,,,,0
6/11/1990,32.1,25.8,,,,,,,0
6/12/1990,31,25.4,,,,,,,0
6/13/1990,32.2,26,,,,,,,0
6/14/1990,31.8,25.8,,,,,,,0
6/15/1990,31,26.2,,,,,,,2.5
6/16/1990,32,26,,,,,,,1.9
6/17/1990,33.8,26,,,,,,,0
6/18/1990,33.4,26.2,,,,,,,0
6/19/1990,35,25.4,,,,,,,1.2
6/20/1990,31.2,24.2,,,,,,,13.8
6/21/1990,34.8,24.8,,,,,,,1.8
6/22/1990,34.2,26.2,,,,,,,0
6/23/1990,35.6,25.6,,,,,,,0
6/24/1990,35,25.2,,,,,,,0
6/25/1990,34.6,24.8,,,,,,,0
6/26/1990,34,23.4,,,,,,,0
6/27/1990,31.8,24.4,,,,,,,0
6/28/1990,31.8,24.2,,,,,,,2
6/29/1990,31,23.6,,,,,,,26
6/30/1990,29.6,23.8,,,,,,,4
7/1/1990,31.2,26.4,,,,,,,0
7/2/1990,30.8,26.6,,,,,,,0
7/3/1990,32.8,24.4,,,,,,,0
7/4/1990,32.6,25.6,,,,,,,0
7/5/1990,31.4,25.8,,,,,,,0
7/6/1990,31.6,26.6,,,,,,,0
7/7/1990,30.2,26,,,,,,,0
7/8/1990,31.2,22.2,,,,,,,0
7/9/1990,31,22.8,,,,,,,0
7/10/1990,32,24,,,,,,,0
7/11/1990,32,24,,,,,,,0
7/12/1990,34.4,24.2,,,,,,,0
7/13/1990,33,23.2,,,,,,,0
7/14/1990,32,24,,,,,,,0
7/15/1990,31.2,24.4,,,,,,,0
7/16/1990,31.8,25.2,,,,,,,0
7/17/1990,30.8,24.8,,,,,,,0
7/18/1990,30.2,24.2,,,,,,,0
7/19/1990,30.6,24.8,,,,,,,0
7/20/1990,30.4,25.2,,,,,,,0
7/21/1990,30.8,25.4,,,,,,,0
7/22/1990,31.4,24.8,,,,,,,0
7/23/1990,31.2,23.8,,,,,,,7.4
7/24/1990,29.6,25.4,,,,,,,0
7/25/1990,30.2,26,,,,,,,0
7/26/1990,30,24.8,,,,,,,0
7/27/1990,30.4,25,,,,,,,2.1
7/28/1990,30.2,23.4,,,,,,,0.8
7/29/1990,29.6,23,,,,,,,7.1
7/30/1990,27.8,22.6,,,,,,,6.9
7/31/1990,29.2,22.2,,,,,,,8.4
8/1/1990,28,24.2,,,,,,,9.6
8/2/1990,30.6,24.8,,,,,,,0
8/3/1990,30.8,25,,,,,,,0
8/4/1990,31,24,,,,,,,0.8
8/5/1990,28,23.6,,,,,,,9.4
8/6/1990,30.2,24.2,,,,,,,1.2
8/7/1990,30,24.6,,,,,,,0
8/8/1990,30.4,25,,,,,,,0
8/9/1990,30.2,25.6,,,,,,,2.1
8/10/1990,30,25.4,,,,,,,0
8/11/1990,30.2,25.8,,,,,,,0.3
8/12/1990,30.2,25.6,,,,,,,0
8/13/1990,31.4,26,,,,,,,0
8/14/1990,30.4,23.8,,,,,,,0
8/15/1990,29.8,23,,,,,,,1.2
8/16/1990,31.6,23.6,,,,,,,6
8/17/1990,29.4,25.2,,,,,,,20.2
8/18/1990,31.4,24,,,,,,,2.8
8/19/1990,31,24.4,,,,,,,2.6
8/20/1990,32,,,,,,,,0
8/21/1990,30.6,26,,,,,,,0
8/22/1990,31.6,24,,,,,,,0
8/23/1990,31.6,,,,,,,,0
8/24/1990,31.6,,,,,,,,0
8/25/1990,30.6,25,,,,,,,0
8/26/1990,30.2,25.2,,,,,,,0.6
8/27/1990,30.6,24.6,,,,,,,0
8/28/1990,29.6,,,,,,,,57.2
8/29/1990,28.6,24,,,,,,,26.8
8/30/1990,31.4,25,,,,,,,0.6
8/31/1990,30,24.5,,,,,,,0
9/1/1990,31.4,25,,,,,,,0
9/2/1990,33.2,24,,,,,,,0
9/3/1990,32.2,25,,,,,,,0
9/4/1990,31.8,25.4,,,,,,,0
9/5/1990,35,25.6,,,,,,,2.5
9/6/1990,32.4,25,,,,,,,0
9/7/1990,31.2,24.8,,,,,,,0
9/8/1990,30,24.4,,,,,,,0.8
9/9/1990,31.8,25.2,,,,,,,0
9/10/1990,30.9,24.8,,,,,,,1.7
9/11/1990,30,23,,,,,,,48.9
9/12/1990,29.8,22.2,,,,,,,62.4
9/13/1990,28.2,23.4,,,,,,,12.3
9/14/1990,30.8,24,,,,,,,15.6
9/15/1990,31,25.6,,,,,,,5.6
9/16/1990,33.2,25.8,,,,,,,0
9/17/1990,33,26,,,,,,,0
9/18/1990,32.8,24.9,,,,,,,0
9/19/1990,32.2,25,,,,,,,0.7
9/20/1990,28.4,24.2,,,,,,,10.5
9/21/1990,29.6,23,,,,,,,0
9/22/1990,33,25.4,,,,,,,0
9/23/1990,34.2,25.8,,,,,,,0
9/24/1990,33.2,26.8,,,,,,,0
9/25/1990,32,25.4,,,,,,,0
9/26/1990,31,26,,,,,,,0
9/27/1990,33.2,26.4,,,,,,,0
9/28/1990,34.2,25.8,,,,,,,0
9/29/1990,34.8,26.2,,,,,,,0
9/30/1990,32,26.2,,,,,,,0
10/1/1990,32.7,26.6,,,,,,,0
10/2/1990,31.8,25.4,,,,,,,0
10/3/1990,35.2,26,,,,,,,0
10/4/1990,34.6,24.6,,,,,,,4.2
10/5/1990,33.2,25,,,,,,,0
10/6/1990,32.4,26,,,,,,,0
10/7/1990,27.8,24.2,,,,,,,178.2
10/8/1990,29.6,25.8,,,,,,,4.2
10/9/1990,31,24.8,,,,,,,36.8
10/10/1990,29.5,25,,,,,,,14.9
10/11/1990,31.2,25.2,,,,,,,0
10/12/1990,31,25,,,,,,,0
10/13/1990,30.2,26.2,,,,,,,0
10/14/1990,31.2,25.6,,,,,,,0
10/15/1990,30.8,25.4,,,,,,,0
10/16/1990,29,24.3,,,,,,,37.6
10/17/1990,27.9,25,,,,,,,9.6
10/18/1990,29.6,25.2,,,,,,,0
10/19/1990,30.1,24.8,,,,,,,3.2
10/20/1990,31.2,26.2,,,,,,,0
10/21/1990,29.8,25.6,,,,,,,75.8
10/22/1990,31.2,25.4,,,,,,,0
10/23/1990,31.8,24.8,,,,,,,2.7
10/24/1990,28,24.8,,,,,,,5.8
10/25/1990,31.8,25.6,,,,,,,0
10/26/1990,31.6,26.6,,,,,,,0
10/27/1990,32.1,25.8,,,,,,,0
10/28/1990,31.7,26.2,,,,,,,0
10/29/1990,33,26.8,,,,,,,0
10/30/1990,32.6,27,,,,,,,0
10/31/1990,30.7,26.2,,,,,,,0
11/1/1990,30,26.2,,,,,,,0
11/2/1990,30.8,26.4,,,,,,,0
11/3/1990,30.6,26.6,,,,,,,0
11/4/1990,33.4,26.8,,,,,,,0
11/5/1990,32.2,26.6,,,,,,,0
11/6/1990,33,24.8,,,,,,,0
11/7/1990,31.8,25.8,,,,,,,0
11/8/1990,32,25.4,,,,,,,16.4
11/9/1990,30.8,23.8,,,,,,,6.2
11/10/1990,33,25.4,,,,,,,0.2
11/11/1990,33.4,25.8,,,,,,,0
11/12/1990,32.8,25.6,,,,,,,0
11/13/1990,32.4,25.8,,,,,,,0
11/14/1990,33.4,24,,,,,,,0
11/15/1990,33,26.2,,,,,,,0
11/16/1990,32.8,26.2,,,,,,,0
11/17/1990,33.6,25.8,,,,,,,0
11/18/1990,34.2,24,,,,,,,2.4
11/19/1990,33,24.4,,,,,,,0
11/20/1990,31.6,24,,,,,,,12.4
11/21/1990,32.4,22.8,,,,,,,26.9
11/22/1990,31.4,23.4,,,,,,,0
11/23/1990,33.6,24.8,,,,,,,0
11/24/1990,33.6,25.6,,,,,,,0
11/25/1990,33,25.8,,,,,,,0
11/26/1990,34,26.4,,,,,,,0
11/27/1990,34,23,,,,,,,27.8
11/28/1990,30.2,22.8,,,,,,,21.7
11/29/1990,31.4,22.8,,,,,,,23.9
11/30/1990,32.6,24.4,,,,,,,4.3
12/1/1990,31,22.6,,,,,,,0.7
12/2/1990,30.4,23,,,,,,,17.1
12/3/1990,30.4,24.6,,,,,,,0.8
12/4/1990,30.7,24,,,,,,,7.1
12/5/1990,29.4,22.4,,,,,,,63.9
12/6/1990,27.7,22.6,,,,,,,37.4
12/7/1990,30.6,21.8,,,,,,,64.9
12/8/1990,29.4,21.4,,,,,,,96.7
12/9/1990,26.8,22.4,,,,,,,46.7
12/10/1990,30.6,24.2,,,,,,,3.2
12/11/1990,30.4,22.4,,,,,,,8.6
12/12/1990,30.2,24.4,,,,,,,29.8
12/13/1990,30.4,23.4,,,,,,,7
12/14/1990,30,24,,,,,,,0.9
12/15/1990,30.8,24.8,,,,,,,9.2
12/16/1990,31.8,24.6,,,,,,,0
12/17/1990,30.8,24,,,,,,,0
12/18/1990,30.6,23.4,,,,,,,0.4
12/19/1990,31,24.6,,,,,,,0
12/20/1990,31,25.6,,,,,,,0
12/21/1990,31.4,24,,,,,,,0.5
12/22/1990,31.2,24.6,,,,,,,1.6
12/23/1990,30.2,23.2,,,,,,,19.8
12/24/1990,29.6,23,,,,,,,21.5
12/25/1990,28.4,23.4,,,,,,,7.4
12/26/1990,29.8,23.8,,,,,,,10.3
12/27/1990,29,22.4,,,,,,,70.1
12/28/1990,27,22.6,,,,,,,20.4
12/29/1990,28.4,22.4,,,,,,,29.8
12/30/1990,31.6,23.6,,,,,,,0
12/31/1990,31.6,23.4,,,,,,,9.6
1/1/1991,30.6,23.6,,,,,,,4.7
1/2/1991,31.6,24,,,,,,,5.6
1/3/1991,32.6,24,,,,,,,3.4
1/4/1991,33.4,24.4,,,,,,,4
1/5/1991,30.2,23.6,,,,,,,24.4
1/6/1991,30.6,24.4,,,,,,,0
1/7/1991,31.4,22.8,,,,,,,13.6
1/8/1991,30.6,23.4,,,,,,,1.2
1/9/1991,30.6,24,,,,,,,0
1/10/1991,29.4,25,,,,,,,0
1/11/1991,31.2,23.2,,,,,,,9.4
1/12/1991,31.2,24.2,,,,,,,0
1/13/1991,31,24.4,,,,,,,0
1/14/1991,31.2,25,,,,,,,0
1/15/1991,30.6,24.8,,,,,,,1.6
1/16/1991,30.6,25,,,,,,,0
1/17/1991,30.6,25.2,,,,,,,0
1/18/1991,32.6,24.4,,,,,,,0.6
1/19/1991,30.8,25.2,,,,,,,0
1/20/1991,31.4,25,,,,,,,0
1/21/1991,30.4,22.4,,,,,,,23.5
1/22/1991,29.8,24,,,,,,,19.6
1/23/1991,30.6,23.8,,,,,,,0
1/24/1991,31,25,,,,,,,0
1/25/1991,31.2,25.2,,,,,,,0
1/26/1991,30,25,,,,,,,0
1/27/1991,30.6,25,,,,,,,0
1/28/1991,30.8,22.6,,,,,,,0
1/29/1991,31.2,24,,,,,,,0
1/30/1991,31.6,26.4,,,,,,,0
1/31/1991,31.2,23.4,,,,,,,0
2/1/1991,31.6,23.4,,,,,,,0
2/2/1991,30.6,23.6,,,,,,,0
2/3/1991,30.8,22.8,,,,,,,0
2/4/1991,30.6,24,,,,,,,0
2/5/1991,30.6,24,,,,,,,0
2/6/1991,30.2,24.4,,,,,,,0
2/7/1991,32,25.2,,,,,,,0
2/8/1991,32.4,26.2,,,,,,,3.7
2/9/1991,31.2,25.3,,,,,,,0
2/10/1991,30.4,25.7,,,,,,,0.1
2/11/1991,31.2,25.4,,,,,,,0
2/12/1991,30.2,25.8,,,,,,,0
2/13/1991,30.8,23.3,,,,,,,0
2/14/1991,31,24.8,,,,,,,0
2/15/1991,31.8,25.2,,,,,,,0.3
2/16/1991,31.8,25.6,,,,,,,1.8
2/17/1991,30.7,24.4,,,,,,,0
2/18/1991,31.8,25.8,,,,,,,0
2/19/1991,31.4,24.8,,,,,,,0
2/20/1991,31.8,22.4,,,,,,,0
2/21/1991,31.8,25.5,,,,,,,0
2/22/1991,32.2,26.2,,,,,,,0
2/23/1991,32.6,26.2,,,,,,,0
2/24/1991,32.5,25.8,,,,,,,0
2/25/1991,32.3,26.2,,,,,,,0
2/26/1991,32.6,26.4,,,,,,,0
2/27/1991,32.6,24.2,,,,,,,0
2/28/1991,32.9,23.9,,,,,,,0
3/1/1991,32.8,25.2,,,,,,,0
3/2/1991,33,24,,,,,,,6.4
3/3/1991,29.4,24.7,,,,,,,7
3/4/1991,32.4,25,,,,,,,0
3/5/1991,32,24.9,,,,,,,8.6
3/6/1991,32,23.8,,,,,,,11
3/7/1991,33,24.8,,,,,,,5.1
3/8/1991,32,25.2,,,,,,,0
3/9/1991,33,26.2,,,,,,,0
3/10/1991,32.2,25,,,,,,,0
3/11/1991,32.4,24.8,,,,,,,0
3/12/1991,32.2,23.9,,,,,,,0
3/13/1991,,,,,,,,,0
3/14/1991,32.2,25.2,,,,,,,1
3/15/1991,33.2,26.4,,,,,,,0
3/16/1991,32.8,25.4,,,,,,,0
3/17/1991,32.6,25.4,,,,,,,0
3/18/1991,33,26.4,,,,,,,0
3/19/1991,32.2,25.4,,,,,,,1.6
3/20/1991,32,25.6,,,,,,,6.6
3/21/1991,33,25.4,,,,,,,0
3/22/1991,33.2,26.2,,,,,,,0
3/23/1991,33.8,26,,,,,,,0
3/24/1991,34,26.2,,,,,,,0
3/25/1991,34.2,25.2,,,,,,,0.1
3/26/1991,32.2,25.6,,,,,,,0
3/27/1991,30.8,24.2,,,,,,,12
3/28/1991,33.4,24.8,,,,,,,0
3/29/1991,32.3,24.2,,,,,,,3.5
3/30/1991,32.6,24.4,,,,,,,1.7
3/31/1991,33,26,,,,,,,0
4/1/1991,33.2,25.4,,,,,,,0.1
4/2/1991,32,23.4,,,,,,,0
4/3/1991,33.2,23.4,,,,,,,0
4/4/1991,33.4,25.2,,,,,,,0
4/5/1991,34,24.8,,,,,,,0
4/6/1991,33.8,25.6,,,,,,,1
4/7/1991,32.9,27.6,,,,,,,0
4/8/1991,34,27.4,,,,,,,0
4/9/1991,34.3,25.8,,,,,,,0
4/10/1991,34.5,25.5,,,,,,,0
4/11/1991,34,26.1,,,,,,,5
4/12/1991,33.8,27.4,,,,,,,0
4/13/1991,34.2,22.8,,,,,,,75
4/14/1991,30,24.8,,,,,,,6.8
4/15/1991,32,25.8,,,,,,,0
4/16/1991,33.6,27.4,,,,,,,0
4/17/1991,34,23.8,,,,,,,52
4/18/1991,28.4,24,,,,,,,2
4/19/1991,30.4,25.8,,,,,,,0.1
4/20/1991,32.4,24.8,,,,,,,0
4/21/1991,31.7,27,,,,,,,0
4/22/1991,34,24,,,,,,,9.2
4/23/1991,33.7,23.8,,,,,,,0
4/24/1991,34,24.8,,,,,,,6
4/25/1991,34.6,26.4,,,,,,,0
4/26/1991,34,27.2,,,,,,,0
4/27/1991,33.9,26.8,,,,,,,0
