atoll_local_names,atoll_official,indicator,value
Haa Alif (HA),Haa Alif Atoll,Population,29934
Haa Alif (HA),Haa Alif Atoll,Population density,20110.16011859901
Haa Alif (HA),Haa Alif Atoll,Sex Ratio (males per 100 female),1323.8510140496242
Haa Alif (HA),Haa Alif Atoll,Working Age Population (15-64 yrs),16115
Haa Alif (HA),Haa Alif Atoll,Youth Population (National) (18-35 yrs),6522
Haa Dhaalu (HDh),Haa Dhaal Atoll,Adolescent Population (International) (10-19 yrs),7717
Haa Dhaalu (HDh),Haa Dhaal Atoll,Child Population (0-17 yrs),15463
Haa Dhaalu (HDh),Haa Dhaal Atoll,Elderly Population (65+ yrs),2604
Haa Dhaalu (HDh),Haa Dhaal Atoll,Median Age,1247.5
Haa Dhaalu (HDh),Haa Dhaal Atoll,Population,45285
Haa Dhaalu (HDh),Haa Dhaal Atoll,Population density,16743.774328440235
Haa Dhaalu (HDh),Haa Dhaal Atoll,Sex Ratio (males per 100 female),1159.102568124661
Haa Dhaalu (HDh),Haa Dhaal Atoll,Working Age Population (15-64 yrs),24488
Haa Dhaalu (HDh),Haa Dhaal Atoll,Youth Population (National) (18-35 yrs),10347
Kaafu (K),Kaafu Atoll,Adolescent Population (International) (10-19 yrs),4422
Kaafu (K),Kaafu Atoll,Child Population (0-17 yrs),8406
Kaafu (K),Kaafu Atoll,Elderly Population (65+ yrs),1151
Kaafu (K),Kaafu Atoll,Median Age,885.5
Kaafu (K),Kaafu Atoll,Population,60996
Kaafu (K),Kaafu Atoll,Population density,47900.83240146836
Kaafu (K),Kaafu Atoll,Sex Ratio (males per 100 female),1374.186634358911
Kaafu (K),Kaafu Atoll,Working Age Population (15-64 yrs),25200
Kaafu (K),Kaafu Atoll,Youth Population (National) (18-35 yrs),13095
Laamu (L),Laamu Atoll,Adolescent Population (International) (10-19 yrs),4452
Laamu (L),Laamu Atoll,Child Population (0-17 yrs),9128
Laamu (L),Laamu Atoll,Elderly Population (65+ yrs),1557
Laamu (L),Laamu Atoll,Median Age,1062.5
Laamu (L),Laamu Atoll,Population,29492
Laamu (L),Laamu Atoll,Population density,14430.484987854676
Laamu (L),Laamu Atoll,Sex Ratio (males per 100 female),1136.4117735134123
Laamu (L),Laamu Atoll,Working Age Population (15-64 yrs),15798
Laamu (L),Laamu Atoll,Youth Population (National) (18-35 yrs),6418
Lhaviyani (Lh),Lhaviyani Atoll,Adolescent Population (International) (10-19 yrs),2716
Lhaviyani (Lh),Lhaviyani Atoll,Child Population (0-17 yrs),5505
Lhaviyani (Lh),Lhaviyani Atoll,Elderly Population (65+ yrs),959
Lhaviyani (Lh),Lhaviyani Atoll,Median Age,433.5
Lhaviyani (Lh),Lhaviyani Atoll,Population,22264
Lhaviyani (Lh),Lhaviyani Atoll,Population density,20096.64640841685
Lhaviyani (Lh),Lhaviyani Atoll,Sex Ratio (males per 100 female),459.23640176395463
Lhaviyani (Lh),Lhaviyani Atoll,Working Age Population (15-64 yrs),11379
Lhaviyani (Lh),Lhaviyani Atoll,Youth Population (National) (18-35 yrs),4784
Meemu (M),Meemu Atoll,Adolescent Population (International) (10-19 yrs),1567
Meemu (M),Meemu Atoll,Child Population (0-17 yrs),3202
Meemu (M),Meemu Atoll,Elderly Population (65+ yrs),705
Meemu (M),Meemu Atoll,Median Age,853
Meemu (M),Meemu Atoll,Population,11576
Meemu (M),Meemu Atoll,Population density,19416.093151335364
Meemu (M),Meemu Atoll,Sex Ratio (males per 100 female),942.9033243469186
Meemu (M),Meemu Atoll,Working Age Population (15-64 yrs),6129
Meemu (M),Meemu Atoll,Youth Population (National) (18-35 yrs),2195
Noonu (N),Noonu Atoll,Adolescent Population (International) (10-19 yrs),4286
Noonu (N),Noonu Atoll,Child Population (0-17 yrs),8287
Noonu (N),Noonu Atoll,Elderly Population (65+ yrs),1405
Noonu (N),Noonu Atoll,Median Age,1241.5
Noonu (N),Noonu Atoll,Population,29140
Noonu (N),Noonu Atoll,Population density,25971.97514782073
Noonu (N),Noonu Atoll,Sex Ratio (males per 100 female),1250.3829102678026
Noonu (N),Noonu Atoll,Working Age Population (15-64 yrs),14913
Noonu (N),Noonu Atoll,Youth Population (National) (18-35 yrs),6417
Raa (R),Raa Atoll,Adolescent Population (International) (10-19 yrs),5764
Raa (R),Raa Atoll,Child Population (0-17 yrs),11871
Raa (R),Raa Atoll,Elderly Population (65+ yrs),2033
Raa (R),Raa Atoll,Median Age,1451
Raa (R),Raa Atoll,Population,40834
Raa (R),Raa Atoll,Population density,42458.22793878599
Raa (R),Raa Atoll,Sex Ratio (males per 100 female),1523.2805836313835
Raa (R),Raa Atoll,Working Age Population (15-64 yrs),21153
Raa (R),Raa Atoll,Youth Population (National) (18-35 yrs),9337
Addu (S),Seenu Atoll,Adolescent Population (International) (10-19 yrs),7330
Addu (S),Seenu Atoll,Child Population (0-17 yrs),13167
