dataset,indicator,atoll_official,island,value,atoll_official_name,adm1_pcode,local_names,adm2_pcode,indicator2,value2
Employment,Inactivity rate (%),Baa Atoll,Eydhafushi,42.54975793437332,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007008,Inactivity rate (%),42.54975793437332
Employment,Youth unemployment rate (15-24 years) (%),Baa Atoll,Eydhafushi,15.384615384615383,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007008,Youth unemployment rate (15-24 years) (%),15.384615384615383
Employment,Youth unemployment rate (18-35years) (%),Baa Atoll,Eydhafushi,6.444444444444445,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007008,Youth unemployment rate (18-35years) (%),6.444444444444445
Employment,NEET rate (15-24 years) (%),Baa Atoll,Eydhafushi,19.07514450867052,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007008,NEET rate (15-24 years) (%),19.07514450867052
Employment,NEET rate (18-35 years) (%),Baa Atoll,Eydhafushi,7.283763277693475,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007008,NEET rate (18-35 years) (%),7.283763277693475
Employment,Labour force participation rate (%),Baa Atoll,Fehendhoo,76.47058823529412,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007012,Labour force participation rate (%),76.47058823529412
Employment,Employment-to-population ratio (%),Baa Atoll,Fehendhoo,69.93464052287581,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007012,Employment-to-population ratio (%),69.93464052287581
Employment,Unemployment rate (%),Baa Atoll,Fehendhoo,8.547008547008547,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007012,Unemployment rate (%),8.547008547008547
Employment,Combined rate of unemployment and potential labour force (%),Baa Atoll,Fehendhoo,17.05426356589147,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007012,Combined rate of unemployment and potential labour force (%),17.05426356589147
Employment,Inactivity rate (%),Baa Atoll,Fehendhoo,23.52941176470588,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007012,Inactivity rate (%),23.52941176470588
Employment,Youth unemployment rate (15-24 years) (%),Baa Atoll,Fehendhoo,31.57894736842105,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007012,Youth unemployment rate (15-24 years) (%),31.57894736842105
Employment,Youth unemployment rate (18-35years) (%),Baa Atoll,Fehendhoo,9.25925925925926,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007012,Youth unemployment rate (18-35years) (%),9.25925925925926
Employment,NEET rate (15-24 years) (%),Baa Atoll,Fehendhoo,44.827586206896555,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007012,NEET rate (15-24 years) (%),44.827586206896555
Employment,NEET rate (18-35 years) (%),Baa Atoll,Fehendhoo,15.151515151515152,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007012,NEET rate (18-35 years) (%),15.151515151515152
Employment,Labour force participation rate (%),Baa Atoll,Fulhadhoo,89.01098901098901,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007011,Labour force participation rate (%),89.01098901098901
Employment,Employment-to-population ratio (%),Baa Atoll,Fulhadhoo,86.81318681318682,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007011,Employment-to-population ratio (%),86.81318681318682
Employment,Unemployment rate (%),Baa Atoll,Fulhadhoo,2.4691358024691357,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007011,Unemployment rate (%),2.4691358024691357
Employment,Combined rate of unemployment and potential labour force (%),Baa Atoll,Fulhadhoo,6.324110671936759,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007011,Combined rate of unemployment and potential labour force (%),6.324110671936759
Employment,Inactivity rate (%),Baa Atoll,Fulhadhoo,10.989010989010987,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007011,Inactivity rate (%),10.989010989010987
Employment,Youth unemployment rate (15-24 years) (%),Baa Atoll,Fulhadhoo,5.405405405405405,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007011,Youth unemployment rate (15-24 years) (%),5.405405405405405
Employment,Youth unemployment rate (18-35years) (%),Baa Atoll,Fulhadhoo,3.787878787878788,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007011,Youth unemployment rate (18-35years) (%),3.787878787878788
