data_id_yymmdd_iccs_sl,category,sub_category,no_of_incident,year,month,week,date,time,district,upazila,up,village_camp,specific_location_camp_block,type_of_location,longitude,latitude,cause,mechanism_used,type_of_weapon_used,nationality_of_perpetrator,victime_perpetrator_relation_vi_p,security_force_acted_on_for_seizure_detained,nationality_of_victim,children,death_bd_m,death_bd_f,death_ro_m,death_ro_f,death_unidentified,total_death,injury_bd_m,injury_bd_f,injury_ro_m,injury_ro_f,injury_unidentified,total_injured,detain_bd_m,detain_bd_f,detain_ro_m,detain_ro_f,detain_unidentified,total_detain,seize_yaba_piece,crystal_meth,seize_marijuana_kg,seize_alcohol_ltr_number_of_bottle_0_75_and_if_alcohol_can_number_can_300,opium_heroin,seize_phensidyl_btl,seize_firearm,seize_bullets,seize_illegal_goods,description,source_1,source_2,source_3,source_4,source_5,mode_of_transport,remarks,column1,column2
230105061,Drug,trade,1,2023,January,23.01,2023-01-05,NA,Cox's Bazar,Teknaf,Hnila,Fuler dail,Fuler dail,Road,92.20786,21.0895,Illicit gain,NAp,NAp,Bangladeshi,NAp,RAB,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,100500,0,0,0,0,0,0,0,0,RAB arrested two drug smugglers including one woman in Teknaf with 100500 yaba pills.,CBNBD (Bang.),Chattogram News (Bang.),NA,NA,NA,NA,NA,NA,NA
230912061,Drug,trade,1,2023,September,23.37,2023-09-12,NA,Cox's Bazar,Teknaf,Whykong,NA,Checkpost,Road,92.212725,21.090732,illicit gain,Nav,Nav,Bangladeshi,Nav,RAB,NA,-,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,50000,0,0,0,0,0,0,0,0,"On 12 Sep. RAB arrested a Two Bangladeshi drug dealers and seized 50,000 yaba tablets in Tekanaf.",Teknaf Today (Bang.),NA,NA,NA,NA,NA,NA,NA,NA
230905063,Drug,trade,1,2023,September,23.36,2023-09-05,NA,Cox's Bazar,Teknaf,Whykong,Lombar bil,NA,Road,92.129553,21.096061,illicit gain,NAp,NAp,Bangladeshi,NAp,RAB,NA,-,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,56.5,0,0,0,0,0,RAB arrested two Bangladeshi men in Teknaf with 60 cans beer and 55 bottles of alcohol.,Parbatta news (bang.),NA,NA,NA,NA,NA,NA,NA,NA
230218062,Drug,trade,1,2023,February,23.07,2023-02-18,NA,Cox's Bazar,Teknaf,Whykong,kon Para,NA,Road,92.167848,21.099314,Illicit gain,NAp,NAp,Bangladeshi,NAp,RAB,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4000,0,0,0,0,0,0,0,0,"On 18 Feb. On RAB arrested a Bangladeshi drug dealer and seized 4000 in tha area of Amtali, Whykong, Teknaf.",Teknaf Today (Bang.),NA,NA,NA,NA,NA,NA,NA,NA
230222061,Drug,trade,1,2023,February,23.08,2023-02-22,NA,Cox's Bazar,Teknaf,Whykong,Unchiprang,Unchiprang,Road,92.209203,21.09964,Illicit gain,NAp,NAp,NAv,NAp,BGB,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,0,0,0,0,0,0,0,0,"BGB seized 50000 yaba pills in Teknaf,  however, no one was arrested during the raid.",Dainik Coxsbazar (bang.),Parbatta News (bang.),NA,NA,NA,NA,NA,NA,NA
230511063,Drug,trade,1,2023,May,23.19,2023-05-11,NA,Cox's Bazar,Teknaf,Teknaf Sadar,Moheshkhali para,NA,NAv,92.207648,21.103232,illicit gain,NAp,NAp,Bangladeshi,NA,RAB,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,70000,0,0,0,0,0,0,0,0,Two Bangladeshi men are arrested by RAB with 70000 yaba in Teknaf Sadar.,Teknaf Today (Bang.),RAB Facebook Page,NA,NA,NA,NA,NA,NA,NA
230501021,Violence,kidnapping,3,2023,May,23.18,2023-05-01,NA,Cox's Bazar,Teknaf,Baharchara,Baharchara Whykong Road,NA,Road,92.167826,21.104199,Ransom,NAp,NAp,NAv,NAp,NAp,NA,NA,0,0,0,0,0,0,2,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A total of four men including two Rohingyas were kidnapped from three different places of Teknaf for ransom on 1 May.,Jagonews24 (Bang.),NA,NA,NA,NA,NA,NA,NA,NA
230208063,Drug,trade,1,2023,February,23.06,2023-02-08,NA,Cox's Bazar,Teknaf,Whykong,Noapara,NA,Road,92.20422,21.10579,Illicit gain,NAp,NAp,Bangladeshi,NAp,DNC,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,20000,0,0,0,0,0,0,0,0,"On 7 Feb, DNC arrested a Bangladeshi drug dealer from different areas of Teknaf Upazila of Cox's Bazar. During this time, 20,000 pieces of yaba were recovered from them.",Samakal (Bang.),Ukhiya Barta (Bang.),NA,NA,NA,NA,NA,NA,NA
230802016,Death,murder,1,2023,August,23.31,2023-08-02,NA,Cox's Bazar,Teknaf,Hnila,Natmora,NA,Road,92.20473,21.10816,NAv,Sharp object,Knife,Bangladeshi,NAp,NAp,NA,NA,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,A Bangladeshi man stabbed to death in Teknaf. The reason is to oppose drug trade,The Territorial News (Bang.),Coxsbazar Journal (Bang.),Samakal (Bang.),Parbatta News (Bang.),CBN BD (Bang.),NA,NA,NA,NA
230520062,Drug,trade,1,2023,May,23.2,2023-05-20,NA,Cox's Bazar,Teknaf,Whykong,Kanjorpara,NA,Road,92.199839,21.108599,illicit gain,NAp,NAp,Rohingya,NAv,Police,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1500,0,0,0,0,0,0,0,0,1500 Yaba recovered from a Bangladeshi men's stomach on 22 May in Teknaf.,Ukhiya News (Bang.),Jagonews24 (Bang.),NA,NA,NA,NA,NA,NA,NA
