dataset,indicator,atoll_official,island,value,normalized_value,sort_order,atoll_official_name,population,indicator2,value2
"Maaungoodhoo, Miladhunmadulu Uthuruburi",Population,Shaviyani Atoll,Maaungoodhoo,944,0.17987119393315804,3,Miladhunmadulu Uthuruburi,944,Population,944
"Maroshi, Miladhunmadulu Uthuruburi",Population,Shaviyani Atoll,Maroshi,479,0.09126938759955794,3,Miladhunmadulu Uthuruburi,479,Population,479
"Milandhoo, Miladhunmadulu Uthuruburi",Population,Shaviyani Atoll,Milandhoo,2094,0.39899394077969585,3,Miladhunmadulu Uthuruburi,2094,Population,2094
"Narudhoo, Miladhunmadulu Uthuruburi",Population,Shaviyani Atoll,Narudhoo,544,0.10365458633436227,3,Miladhunmadulu Uthuruburi,544,Population,544
"Noomaraa, Miladhunmadulu Uthuruburi",Population,Shaviyani Atoll,Noomaraa,371,0.07069090354788309,3,Miladhunmadulu Uthuruburi,371,Population,371
"Fodhdhoo, Miladhunmadulu Dhekunuburi",Population,Noonu Atoll,Fodhdhoo,345,0.06573682405396136,6,Miladhunmadulu Dhekunuburi,345,Population,345
"Hebadhoo, Miladhunmadulu Dhekunuburi",Population,Noonu Atoll,Hebadhoo,638,0.12156548912007928,6,Miladhunmadulu Dhekunuburi,638,Population,638
"Holhudhoo, Miladhunmadulu Dhekunuburi",Population,Noonu Atoll,Holhudhoo,1428,0.2720932891277009,6,Miladhunmadulu Dhekunuburi,1428,Population,1428
"Kendhikulhudhoo, Miladhunmadulu Dhekunuburi",Population,Noonu Atoll,Kendhikulhudhoo,1556,0.29648260355931555,6,Miladhunmadulu Dhekunuburi,1556,Population,1556
"Kudafari, Miladhunmadulu Dhekunuburi",Population,Noonu Atoll,Kudafari,628,0.11966007393010937,6,Miladhunmadulu Dhekunuburi,628,Population,628
"Landhoo, Miladhunmadulu Dhekunuburi",Population,Noonu Atoll,Landhoo,757,0.144239929880721,6,Miladhunmadulu Dhekunuburi,757,Population,757
"Lhohi, Miladhunmadulu Dhekunuburi",Population,Noonu Atoll,Lhohi,692,0.1318547311459167,6,Miladhunmadulu Dhekunuburi,692,Population,692
"Maafaru, Miladhunmadulu Dhekunuburi",Population,Noonu Atoll,Maafaru,919,0.1751076559582333,6,Miladhunmadulu Dhekunuburi,919,Population,919
"Maalhendhoo, Miladhunmadulu Dhekunuburi",Population,Noonu Atoll,Maalhendhoo,724,0.13795205975382036,6,Miladhunmadulu Dhekunuburi,724,Population,724
"Magoodhoo, Miladhunmadulu Dhekunuburi",Population,Noonu Atoll,Magoodhoo,305,0.05811516329408178,6,Miladhunmadulu Dhekunuburi,305,Population,305
"Manadhoo, Miladhunmadulu Dhekunuburi",Population,Noonu Atoll,Manadhoo,1745,0.33249495064974655,6,Miladhunmadulu Dhekunuburi,1745,Population,1745
"Miladhoo, Miladhunmadulu Dhekunuburi",Population,Noonu Atoll,Miladhoo,934,0.17796577874318814,6,Miladhunmadulu Dhekunuburi,934,Population,934
"Velidhoo, Miladhunmadulu Dhekunuburi",Population,Noonu Atoll,Velidhoo,1832,0.34907206280248465,6,Miladhunmadulu Dhekunuburi,1832,Population,1832
"Agolhitheemu, Maalhosmadulu Uthuruburi",Population,Raa Atoll,Agolhitheemu,381,0.07259631873785298,7,Maalhosmadulu Uthuruburi,381,Population,381
"Alifushi, Maalhosmadulu Uthuruburi",Population,Raa Atoll,Alifushi,1859,0.3542166838154034,7,Maalhosmadulu Uthuruburi,1859,Population,1859
"Dhuvaafaru, Maalhosmadulu Uthuruburi",Population,Raa Atoll,Dhuvaafaru,3321,0.632788384589002,7,Maalhosmadulu Uthuruburi,3321,Population,3321
"Fainu, Maalhosmadulu Uthuruburi",Population,Raa Atoll,Fainu,423,0.08059906253572653,7,Maalhosmadulu Uthuruburi,423,Population,423
"Hulhudhuffaaru, Maalhosmadulu Uthuruburi",Population,Raa Atoll,Hulhudhuffaaru,1228,0.23398498532830303,7,Maalhosmadulu Uthuruburi,1228,Population,1228
"Iguraidhoo, Maalhosmadulu Uthuruburi",Population,Raa Atoll,Iguraidhoo,1278,0.2435120612781525,7,Maalhosmadulu Uthuruburi,1278,Population,1278
"Innamaadhoo, Maalhosmadulu Uthuruburi",Population,Raa Atoll,Innamaadhoo,663,0.12632902709500402,7,Maalhosmadulu Uthuruburi,663,Population,663
"Kinolhas, Maalhosmadulu Uthuruburi",Population,Raa Atoll,Kinolhas,543,0.10346404481536525,7,Maalhosmadulu Uthuruburi,543,Population,543
"Maakurathu, Maalhosmadulu Uthuruburi",Population,Raa Atoll,Maakurathu,956,0.1821576921611219,7,Maalhosmadulu Uthuruburi,956,Population,956
