Category,Sum of Value,ADMIN LEVEL-1 (Division),ADMIN LEVEL-2 (District) ,BDP Climate Zone,Column,Sum of Geocode,Sum of Rank-Coping Capacity,Sum of Rank-Vulnerability,RISK CLASS,RISK CLASS-Lack of Coping Capcity,RISK CLASS-Vulnerability,RISK CLASS_Hazard Exposure,Sum of Rank-Risk
Other Vulnerability,4.9,Rajshahi,Joypurhat,Barind and Drought Prone Areas,BD5038,5038,25,52,Low,High,Low,Low,52
Other Vulnerability,5.7,Rajshahi,Naogaon,Barind and Drought Prone Areas,BD5064,5064,17,28,High,High,Medium,Medium,16
Other Vulnerability,5.1,Rajshahi,Natore,Barind and Drought Prone Areas,BD5069,5069,30,23,Medium,Medium,Medium,Very Low,31
Other Vulnerability,4.8,Rajshahi,Nawabganj,Barind and Drought Prone Areas,BD5070,5070,10,52,Medium,Very High,Low,High,31
Other Vulnerability,4.8,Rajshahi,Pabna,Barind and Drought Prone Areas,BD5076,5076,17,57,Low,High,Very Low,High,45
Other Vulnerability,4.6,Rajshahi,Rajshahi,Barind and Drought Prone Areas,BD5081,5081,44,60,Low,Low,Very Low,High,56
Other Vulnerability,4.8,Rajshahi,Sirajganj,Barind and Drought Prone Areas,BD5088,5088,17,11,High,High,High,High,8
Other Vulnerability,5.8,Rangpur,Dinajpur,Barind and Drought Prone Areas,BD5527,5527,44,15,Medium,Low,Medium,Medium,25
Other Vulnerability,4.6,Rangpur,Gaibandha,Barind and Drought Prone Areas,BD5532,5532,25,15,High,High,Medium,High,11
Other Vulnerability,6.1,Rangpur,Kurigram,Barind and Drought Prone Areas,BD5549,5549,25,7,High,High,High,High,8
Other Vulnerability,4,Rangpur,Lalmonirhat,Barind and Drought Prone Areas,BD5552,5552,30,28,Medium,Medium,Medium,Very Low,31
Other Vulnerability,4.1,Rangpur,Nilphamari,Barind and Drought Prone Areas,BD5573,5573,58,33,Low,Low,Low,Very Low,45
Other Vulnerability,4,Rangpur,Panchagarh,Barind and Drought Prone Areas,BD5577,5577,30,38,Low,Medium,Low,Very Low,45
Other Vulnerability,4.2,Rangpur,Rangpur,Barind and Drought Prone Areas,BD5585,5585,54,23,Medium,Low,Medium,Low,31
Other Vulnerability,4.4,Rangpur,Thakurgaon,Barind and Drought Prone Areas,BD5594,5594,39,46,Low,Medium,Low,Medium,45
Other Vulnerability,4.5,Sylhet,Habiganj,Barind and Drought Prone Areas,BD6036,6036,7,38,High,Very High,Low,High,16
Physical Connectivity,3.8,Mymensingh,Jamalpur,Barind and Drought Prone Areas,BD4539,4539,7,13,Very High,Very High,High,High,5
Physical Connectivity,5.6,Rajshahi,Joypurhat,Barind and Drought Prone Areas,BD5038,5038,25,52,Low,High,Low,Low,52
Physical Connectivity,3.9,Rajshahi,Naogaon,Barind and Drought Prone Areas,BD5064,5064,17,28,High,High,Medium,Medium,16
Physical Connectivity,1.9,Rajshahi,Natore,Barind and Drought Prone Areas,BD5069,5069,30,23,Medium,Medium,Medium,Very Low,31
Physical Connectivity,5.3,Rajshahi,Nawabganj,Barind and Drought Prone Areas,BD5070,5070,10,52,Medium,Very High,Low,High,31
Physical Connectivity,2.9,Rajshahi,Pabna,Barind and Drought Prone Areas,BD5076,5076,17,57,Low,High,Very Low,High,45
Physical Connectivity,2.9,Rajshahi,Rajshahi,Barind and Drought Prone Areas,BD5081,5081,44,60,Low,Low,Very Low,High,56
Physical Connectivity,4.6,Rajshahi,Sirajganj,Barind and Drought Prone Areas,BD5088,5088,17,11,High,High,High,High,8
Physical Connectivity,1.6,Rangpur,Dinajpur,Barind and Drought Prone Areas,BD5527,5527,44,15,Medium,Low,Medium,Medium,25
Physical Connectivity,2.6,Rangpur,Gaibandha,Barind and Drought Prone Areas,BD5532,5532,25,15,High,High,Medium,High,11
Physical Connectivity,5.1,Rangpur,Kurigram,Barind and Drought Prone Areas,BD5549,5549,25,7,High,High,High,High,8
Physical Connectivity,2.2,Rangpur,Lalmonirhat,Barind and Drought Prone Areas,BD5552,5552,30,28,Medium,Medium,Medium,Very Low,31
Physical Connectivity,1,Rangpur,Nilphamari,Barind and Drought Prone Areas,BD5573,5573,58,33,Low,Low,Low,Very Low,45
Physical Connectivity,1,Rangpur,Panchagarh,Barind and Drought Prone Areas,BD5577,5577,30,38,Low,Medium,Low,Very Low,45
Physical Connectivity,0.5,Rangpur,Rangpur,Barind and Drought Prone Areas,BD5585,5585,54,23,Medium,Low,Medium,Low,31
Physical Connectivity,3,Rangpur,Thakurgaon,Barind and Drought Prone Areas,BD5594,5594,39,46,Low,Medium,Low,Medium,45
Physical Connectivity,5.2,Sylhet,Habiganj,Barind and Drought Prone Areas,BD6036,6036,7,38,High,Very High,Low,High,16
Preparedness and Response,8.8,Mymensingh,Jamalpur,Barind and Drought Prone Areas,BD4539,4539,7,13,Very High,Very High,High,High,5
Preparedness and Response,9.6,Rajshahi,Joypurhat,Barind and Drought Prone Areas,BD5038,5038,25,52,Low,High,Low,Low,52
Preparedness and Response,9.6,Rajshahi,Naogaon,Barind and Drought Prone Areas,BD5064,5064,17,28,High,High,Medium,Medium,16
Preparedness and Response,9.6,Rajshahi,Natore,Barind and Drought Prone Areas,BD5069,5069,30,23,Medium,Medium,Medium,Very Low,31
Preparedness and Response,9.4,Rajshahi,Nawabganj,Barind and Drought Prone Areas,BD5070,5070,10,52,Medium,Very High,Low,High,31
Preparedness and Response,9.6,Rajshahi,Pabna,Barind and Drought Prone Areas,BD5076,5076,17,57,Low,High,Very Low,High,45
Preparedness and Response,9.2,Rajshahi,Rajshahi,Barind and Drought Prone Areas,BD5081,5081,44,60,Low,Low,Very Low,High,56
Preparedness and Response,8.4,Rajshahi,Sirajganj,Barind and Drought Prone Areas,BD5088,5088,17,11,High,High,High,High,8
Preparedness and Response,9.3,Rangpur,Dinajpur,Barind and Drought Prone Areas,BD5527,5527,44,15,Medium,Low,Medium,Medium,25
Preparedness and Response,8.8,Rangpur,Gaibandha,Barind and Drought Prone Areas,BD5532,5532,25,15,High,High,Medium,High,11
Preparedness and Response,8.1,Rangpur,Kurigram,Barind and Drought Prone Areas,BD5549,5549,25,7,High,High,High,High,8
Preparedness and Response,9,Rangpur,Lalmonirhat,Barind and Drought Prone Areas,BD5552,5552,30,28,Medium,Medium,Medium,Very Low,31
Preparedness and Response,8.7,Rangpur,Nilphamari,Barind and Drought Prone Areas,BD5573,5573,58,33,Low,Low,Low,Very Low,45
Preparedness and Response,9,Rangpur,Panchagarh,Barind and Drought Prone Areas,BD5577,5577,30,38,Low,Medium,Low,Very Low,45
Preparedness and Response,9,Rangpur,Rangpur,Barind and Drought Prone Areas,BD5585,5585,54,23,Medium,Low,Medium,Low,31
Preparedness and Response,9.2,Rangpur,Thakurgaon,Barind and Drought Prone Areas,BD5594,5594,39,46,Low,Medium,Low,Medium,45
Preparedness and Response,9.8,Sylhet,Habiganj,Barind and Drought Prone Areas,BD6036,6036,7,38,High,Very High,Low,High,16
Rank_Hazard Exposure,12,Mymensingh,Jamalpur,Barind and Drought Prone Areas,BD4539,4539,7,13,Very High,Very High,High,High,5
Rank_Hazard Exposure,46,Rajshahi,Joypurhat,Barind and Drought Prone Areas,BD5038,5038,25,52,Low,High,Low,Low,52
Rank_Hazard Exposure,23,Rajshahi,Naogaon,Barind and Drought Prone Areas,BD5064,5064,17,28,High,High,Medium,Medium,16
Rank_Hazard Exposure,51,Rajshahi,Natore,Barind and Drought Prone Areas,BD5069,5069,30,23,Medium,Medium,Medium,Very Low,31
Rank_Hazard Exposure,5,Rajshahi,Nawabganj,Barind and Drought Prone Areas,BD5070,5070,10,52,Medium,Very High,Low,High,31
Rank_Hazard Exposure,5,Rajshahi,Pabna,Barind and Drought Prone Areas,BD5076,5076,17,57,Low,High,Very Low,High,45
Rank_Hazard Exposure,5,Rajshahi,Rajshahi,Barind and Drought Prone Areas,BD5081,5081,44,60,Low,Low,Very Low,High,56
Rank_Hazard Exposure,5,Rajshahi,Sirajganj,Barind and Drought Prone Areas,BD5088,5088,17,11,High,High,High,High,8
Rank_Hazard Exposure,23,Rangpur,Dinajpur,Barind and Drought Prone Areas,BD5527,5527,44,15,Medium,Low,Medium,Medium,25
Rank_Hazard Exposure,5,Rangpur,Gaibandha,Barind and Drought Prone Areas,BD5532,5532,25,15,High,High,Medium,High,11
Rank_Hazard Exposure,12,Rangpur,Kurigram,Barind and Drought Prone Areas,BD5549,5549,25,7,High,High,High,High,8
Rank_Hazard Exposure,51,Rangpur,Lalmonirhat,Barind and Drought Prone Areas,BD5552,5552,30,28,Medium,Medium,Medium,Very Low,31
Rank_Hazard Exposure,51,Rangpur,Nilphamari,Barind and Drought Prone Areas,BD5573,5573,58,33,Low,Low,Low,Very Low,45
Rank_Hazard Exposure,51,Rangpur,Panchagarh,Barind and Drought Prone Areas,BD5577,5577,30,38,Low,Medium,Low,Very Low,45
Rank_Hazard Exposure,38,Rangpur,Rangpur,Barind and Drought Prone Areas,BD5585,5585,54,23,Medium,Low,Medium,Low,31
Rank_Hazard Exposure,27,Rangpur,Thakurgaon,Barind and Drought Prone Areas,BD5594,5594,39,46,Low,Medium,Low,Medium,45
Rank_Hazard Exposure,4,Sylhet,Habiganj,Barind and Drought Prone Areas,BD6036,6036,7,38,High,Very High,Low,High,16
Recen t Shocks,7.2,Mymensingh,Jamalpur,Barind and Drought Prone Areas,BD4539,4539,7,13,Very High,Very High,High,High,5
Recen t Shocks,1.2,Rajshahi,Joypurhat,Barind and Drought Prone Areas,BD5038,5038,25,52,Low,High,Low,Low,52
Recen t Shocks,5.8,Rajshahi,Naogaon,Barind and Drought Prone Areas,BD5064,5064,17,28,High,High,Medium,Medium,16
Recen t Shocks,4.3,Rajshahi,Natore,Barind and Drought Prone Areas,BD5069,5069,30,23,Medium,Medium,Medium,Very Low,31
Recen t Shocks,0,Rajshahi,Nawabganj,Barind and Drought Prone Areas,BD5070,5070,10,52,Medium,Very High,Low,High,31
Recen t Shocks,1.4,Rajshahi,Pabna,Barind and Drought Prone Areas,BD5076,5076,17,57,Low,High,Very Low,High,45
Recen t Shocks,2.3,Rajshahi,Rajshahi,Barind and Drought Prone Areas,BD5081,5081,44,60,Low,Low,Very Low,High,56
Recen t Shocks,6.4,Rajshahi,Sirajganj,Barind and Drought Prone Areas,BD5088,5088,17,11,High,High,High,High,8
Recen t Shocks,3.5,Rangpur,Dinajpur,Barind and Drought Prone Areas,BD5527,5527,44,15,Medium,Low,Medium,Medium,25
Recen t Shocks,6.4,Rangpur,Gaibandha,Barind and Drought Prone Areas,BD5532,5532,25,15,High,High,Medium,High,11
Recen t Shocks,7.2,Rangpur,Kurigram,Barind and Drought Prone Areas,BD5549,5549,25,7,High,High,High,High,8
Recen t Shocks,6.1,Rangpur,Lalmonirhat,Barind and Drought Prone Areas,BD5552,5552,30,28,Medium,Medium,Medium,Very Low,31
Recen t Shocks,4.8,Rangpur,Nilphamari,Barind and Drought Prone Areas,BD5573,5573,58,33,Low,Low,Low,Very Low,45
Recen t Shocks,5,Rangpur,Panchagarh,Barind and Drought Prone Areas,BD5577,5577,30,38,Low,Medium,Low,Very Low,45
Recen t Shocks,4.4,Rangpur,Rangpur,Barind and Drought Prone Areas,BD5585,5585,54,23,Medium,Low,Medium,Low,31
Recen t Shocks,4.3,Rangpur,Thakurgaon,Barind and Drought Prone Areas,BD5594,5594,39,46,Low,Medium,Low,Medium,45
Recen t Shocks,4.6,Sylhet,Habiganj,Barind and Drought Prone Areas,BD6036,6036,7,38,High,Very High,Low,High,16
Riverbank Erosion,6,Mymensingh,Jamalpur,Barind and Drought Prone Areas,BD4539,4539,7,13,Very High,Very High,High,High,5
Riverbank Erosion,,Rajshahi,Joypurhat,Barind and Drought Prone Areas,BD5038,5038,25,52,Low,High,Low,Low,52
Riverbank Erosion,,Rajshahi,Naogaon,Barind and Drought Prone Areas,BD5064,5064,17,28,High,High,Medium,Medium,16
Riverbank Erosion,0,Rajshahi,Natore,Barind and Drought Prone Areas,BD5069,5069,30,23,Medium,Medium,Medium,Very Low,31
Riverbank Erosion,3,Rajshahi,Nawabganj,Barind and Drought Prone Areas,BD5070,5070,10,52,Medium,Very High,Low,High,31
Riverbank Erosion,6.7,Rajshahi,Pabna,Barind and Drought Prone Areas,BD5076,5076,17,57,Low,High,Very Low,High,45
Riverbank Erosion,5.8,Rajshahi,Rajshahi,Barind and Drought Prone Areas,BD5081,5081,44,60,Low,Low,Very Low,High,56
Riverbank Erosion,7.9,Rajshahi,Sirajganj,Barind and Drought Prone Areas,BD5088,5088,17,11,High,High,High,High,8
Riverbank Erosion,,Rangpur,Dinajpur,Barind and Drought Prone Areas,BD5527,5527,44,15,Medium,Low,Medium,Medium,25
Riverbank Erosion,7.7,Rangpur,Gaibandha,Barind and Drought Prone Areas,BD5532,5532,25,15,High,High,Medium,High,11
Riverbank Erosion,7.2,Rangpur,Kurigram,Barind and Drought Prone Areas,BD5549,5549,25,7,High,High,High,High,8
Riverbank Erosion,,Rangpur,Lalmonirhat,Barind and Drought Prone Areas,BD5552,5552,30,28,Medium,Medium,Medium,Very Low,31
Riverbank Erosion,,Rangpur,Nilphamari,Barind and Drought Prone Areas,BD5573,5573,58,33,Low,Low,Low,Very Low,45
Riverbank Erosion,,Rangpur,Panchagarh,Barind and Drought Prone Areas,BD5577,5577,30,38,Low,Medium,Low,Very Low,45
Riverbank Erosion,,Rangpur,Rangpur,Barind and Drought Prone Areas,BD5585,5585,54,23,Medium,Low,Medium,Low,31
Riverbank Erosion,,Rangpur,Thakurgaon,Barind and Drought Prone Areas,BD5594,5594,39,46,Low,Medium,Low,Medium,45
Riverbank Erosion,,Sylhet,Habiganj,Barind and Drought Prone Areas,BD6036,6036,7,38,High,Very High,Low,High,16
Salinity Risk,0,Mymensingh,Jamalpur,Barind and Drought Prone Areas,BD4539,4539,7,13,Very High,Very High,High,High,5
Salinity Risk,0,Rajshahi,Joypurhat,Barind and Drought Prone Areas,BD5038,5038,25,52,Low,High,Low,Low,52
Salinity Risk,0,Rajshahi,Naogaon,Barind and Drought Prone Areas,BD5064,5064,17,28,High,High,Medium,Medium,16
Salinity Risk,0,Rajshahi,Natore,Barind and Drought Prone Areas,BD5069,5069,30,23,Medium,Medium,Medium,Very Low,31
Salinity Risk,0,Rajshahi,Nawabganj,Barind and Drought Prone Areas,BD5070,5070,10,52,Medium,Very High,Low,High,31
Salinity Risk,0,Rajshahi,Pabna,Barind and Drought Prone Areas,BD5076,5076,17,57,Low,High,Very Low,High,45
Salinity Risk,0,Rajshahi,Rajshahi,Barind and Drought Prone Areas,BD5081,5081,44,60,Low,Low,Very Low,High,56
Salinity Risk,0,Rajshahi,Sirajganj,Barind and Drought Prone Areas,BD5088,5088,17,11,High,High,High,High,8
Salinity Risk,0,Rangpur,Dinajpur,Barind and Drought Prone Areas,BD5527,5527,44,15,Medium,Low,Medium,Medium,25
Salinity Risk,0,Rangpur,Gaibandha,Barind and Drought Prone Areas,BD5532,5532,25,15,High,High,Medium,High,11
Salinity Risk,0,Rangpur,Kurigram,Barind and Drought Prone Areas,BD5549,5549,25,7,High,High,High,High,8
Salinity Risk,0,Rangpur,Lalmonirhat,Barind and Drought Prone Areas,BD5552,5552,30,28,Medium,Medium,Medium,Very Low,31
Salinity Risk,0,Rangpur,Nilphamari,Barind and Drought Prone Areas,BD5573,5573,58,33,Low,Low,Low,Very Low,45
Salinity Risk,0,Rangpur,Panchagarh,Barind and Drought Prone Areas,BD5577,5577,30,38,Low,Medium,Low,Very Low,45
Salinity Risk,0,Rangpur,Rangpur,Barind and Drought Prone Areas,BD5585,5585,54,23,Medium,Low,Medium,Low,31
Salinity Risk,0,Rangpur,Thakurgaon,Barind and Drought Prone Areas,BD5594,5594,39,46,Low,Medium,Low,Medium,45
Salinity Risk,0,Sylhet,Habiganj,Barind and Drought Prone Areas,BD6036,6036,7,38,High,Very High,Low,High,16
Uprooted People,5.1,Mymensingh,Jamalpur,Barind and Drought Prone Areas,BD4539,4539,7,13,Very High,Very High,High,High,5
Uprooted People,2.8,Rajshahi,Joypurhat,Barind and Drought Prone Areas,BD5038,5038,25,52,Low,High,Low,Low,52
Uprooted People,4.9,Rajshahi,Naogaon,Barind and Drought Prone Areas,BD5064,5064,17,28,High,High,Medium,Medium,16
Uprooted People,5.4,Rajshahi,Natore,Barind and Drought Prone Areas,BD5069,5069,30,23,Medium,Medium,Medium,Very Low,31
Uprooted People,0.9,Rajshahi,Nawabganj,Barind and Drought Prone Areas,BD5070,5070,10,52,Medium,Very High,Low,High,31
Uprooted People,0.9,Rajshahi,Pabna,Barind and Drought Prone Areas,BD5076,5076,17,57,Low,High,Very Low,High,45
Uprooted People,2,Rajshahi,Rajshahi,Barind and Drought Prone Areas,BD5081,5081,44,60,Low,Low,Very Low,High,56
Uprooted People,5.9,Rajshahi,Sirajganj,Barind and Drought Prone Areas,BD5088,5088,17,11,High,High,High,High,8
Uprooted People,5.5,Rangpur,Dinajpur,Barind and Drought Prone Areas,BD5527,5527,44,15,Medium,Low,Medium,Medium,25
Uprooted People,4.2,Rangpur,Gaibandha,Barind and Drought Prone Areas,BD5532,5532,25,15,High,High,Medium,High,11
Uprooted People,4.1,Rangpur,Kurigram,Barind and Drought Prone Areas,BD5549,5549,25,7,High,High,High,High,8
Uprooted People,4.5,Rangpur,Lalmonirhat,Barind and Drought Prone Areas,BD5552,5552,30,28,Medium,Medium,Medium,Very Low,31
Uprooted People,3.1,Rangpur,Nilphamari,Barind and Drought Prone Areas,BD5573,5573,58,33,Low,Low,Low,Very Low,45
Uprooted People,2,Rangpur,Panchagarh,Barind and Drought Prone Areas,BD5577,5577,30,38,Low,Medium,Low,Very Low,45
Uprooted People,4.6,Rangpur,Rangpur,Barind and Drought Prone Areas,BD5585,5585,54,23,Medium,Low,Medium,Low,31
Uprooted People,2.8,Rangpur,Thakurgaon,Barind and Drought Prone Areas,BD5594,5594,39,46,Low,Medium,Low,Medium,45
Uprooted People,2.8,Sylhet,Habiganj,Barind and Drought Prone Areas,BD6036,6036,7,38,High,Very High,Low,High,16
Access to Health,6.3,Chattogram,Bandarban,Chittagong Hill Tract and Coast,BD2003,2003,17,1,Very High,High,Very High,Very High,1
Access to Health,6.5,Chattogram,Brahmanbaria,Chittagong Hill Tract and Coast,BD2012,2012,25,35,Medium,High,Low,Low,31
Access to Health,5.2,Chattogram,Chandpur,Chittagong Hill Tract and Coast,BD2013,2013,44,31,Medium,Low,Medium,Low,31
Access to Health,4.7,Chattogram,Chattogram,Chittagong Hill Tract and Coast,BD2015,2015,17,43,Medium,High,Low,Low,40
Access to Health,7.7,Chattogram,Cox's Bazar,Chittagong Hill Tract and Coast,BD2022,2022,10,2,Very High,Very High,Very High,High,2
Access to Health,6.7,Chattogram,Khagrachhari,Chittagong Hill Tract and Coast,BD2046,2046,1,15,High,Very High,Medium,Very Low,16
Access to Health,5.4,Chattogram,Rangamati,Chittagong Hill Tract and Coast,BD2084,2084,17,9,High,High,High,Low,11
Access to WASH,6,Chattogram,Bandarban,Chittagong Hill Tract and Coast,BD2003,2003,17,1,Very High,High,Very High,Very High,1
Access to WASH,3,Chattogram,Brahmanbaria,Chittagong Hill Tract and Coast,BD2012,2012,25,35,Medium,High,Low,Low,31
Access to WASH,1.8,Chattogram,Chandpur,Chittagong Hill Tract and Coast,BD2013,2013,44,31,Medium,Low,Medium,Low,31
Access to WASH,2.7,Chattogram,Chattogram,Chittagong Hill Tract and Coast,BD2015,2015,17,43,Medium,High,Low,Low,40
Access to WASH,4.8,Chattogram,Cox's Bazar,Chittagong Hill Tract and Coast,BD2022,2022,10,2,Very High,Very High,Very High,High,2
Access to WASH,6.2,Chattogram,Khagrachhari,Chittagong Hill Tract and Coast,BD2046,2046,1,15,High,Very High,Medium,Very Low,16
Access to WASH,6.3,Chattogram,Rangamati,Chittagong Hill Tract and Coast,BD2084,2084,17,9,High,High,High,Low,11
Children Under 5,5.7,Chattogram,Bandarban,Chittagong Hill Tract and Coast,BD2003,2003,17,1,Very High,High,Very High,Very High,1
Children Under 5,5,Chattogram,Brahmanbaria,Chittagong Hill Tract and Coast,BD2012,2012,25,35,Medium,High,Low,Low,31
Children Under 5,5.1,Chattogram,Chandpur,Chittagong Hill Tract and Coast,BD2013,2013,44,31,Medium,Low,Medium,Low,31
Children Under 5,5.1,Chattogram,Chattogram,Chittagong Hill Tract and Coast,BD2015,2015,17,43,Medium,High,Low,Low,40
Children Under 5,6.6,Chattogram,Cox's Bazar,Chittagong Hill Tract and Coast,BD2022,2022,10,2,Very High,Very High,Very High,High,2
Children Under 5,4.9,Chattogram,Khagrachhari,Chittagong Hill Tract and Coast,BD2046,2046,1,15,High,Very High,Medium,Very Low,16
Children Under 5,7.3,Chattogram,Rangamati,Chittagong Hill Tract and Coast,BD2084,2084,17,9,High,High,High,Low,11
Communication,8.5,Chattogram,Bandarban,Chittagong Hill Tract and Coast,BD2003,2003,17,1,Very High,High,Very High,Very High,1
Communication,7,Chattogram,Brahmanbaria,Chittagong Hill Tract and Coast,BD2012,2012,25,35,Medium,High,Low,Low,31
Communication,5.1,Chattogram,Chandpur,Chittagong Hill Tract and Coast,BD2013,2013,44,31,Medium,Low,Medium,Low,31
Communication,4.6,Chattogram,Chattogram,Chittagong Hill Tract and Coast,BD2015,2015,17,43,Medium,High,Low,Low,40
Communication,5,Chattogram,Cox's Bazar,Chittagong Hill Tract and Coast,BD2022,2022,10,2,Very High,Very High,Very High,High,2
Communication,7.3,Chattogram,Khagrachhari,Chittagong Hill Tract and Coast,BD2046,2046,1,15,High,Very High,Medium,Very Low,16
Communication,7.2,Chattogram,Rangamati,Chittagong Hill Tract and Coast,BD2084,2084,17,9,High,High,High,Low,11
Cyclone Risk,0.6,Chattogram,Bandarban,Chittagong Hill Tract and Coast,BD2003,2003,17,1,Very High,High,Very High,Very High,1
Cyclone Risk,0.7,Chattogram,Brahmanbaria,Chittagong Hill Tract and Coast,BD2012,2012,25,35,Medium,High,Low,Low,31
Cyclone Risk,7,Chattogram,Chandpur,Chittagong Hill Tract and Coast,BD2013,2013,44,31,Medium,Low,Medium,Low,31
Cyclone Risk,8.1,Chattogram,Chattogram,Chittagong Hill Tract and Coast,BD2015,2015,17,43,Medium,High,Low,Low,40
Cyclone Risk,9.4,Chattogram,Cox's Bazar,Chittagong Hill Tract and Coast,BD2022,2022,10,2,Very High,Very High,Very High,High,2
Cyclone Risk,0,Chattogram,Khagrachhari,Chittagong Hill Tract and Coast,BD2046,2046,1,15,High,Very High,Medium,Very Low,16
Cyclone Risk,0,Chattogram,Rangamati,Chittagong Hill Tract and Coast,BD2084,2084,17,9,High,High,High,Low,11
Development & Deprivation,8.3,Chattogram,Bandarban,Chittagong Hill Tract and Coast,BD2003,2003,17,1,Very High,High,Very High,Very High,1
Development & Deprivation,5.3,Chattogram,Brahmanbaria,Chittagong Hill Tract and Coast,BD2012,2012,25,35,Medium,High,Low,Low,31
Development & Deprivation,6.4,Chattogram,Chandpur,Chittagong Hill Tract and Coast,BD2013,2013,44,31,Medium,Low,Medium,Low,31
Development & Deprivation,4.7,Chattogram,Chattogram,Chittagong Hill Tract and Coast,BD2015,2015,17,43,Medium,High,Low,Low,40
Development & Deprivation,7,Chattogram,Cox's Bazar,Chittagong Hill Tract and Coast,BD2022,2022,10,2,Very High,Very High,Very High,High,2
Development & Deprivation,7.9,Chattogram,Khagrachhari,Chittagong Hill Tract and Coast,BD2046,2046,1,15,High,Very High,Medium,Very Low,16
Development & Deprivation,7.6,Chattogram,Rangamati,Chittagong Hill Tract and Coast,BD2084,2084,17,9,High,High,High,Low,11
Drought Risk,5,Chattogram,Bandarban,Chittagong Hill Tract and Coast,BD2003,2003,17,1,Very High,High,Very High,Very High,1
Drought Risk,3.4,Chattogram,Brahmanbaria,Chittagong Hill Tract and Coast,BD2012,2012,25,35,Medium,High,Low,Low,31
Drought Risk,3.3,Chattogram,Chandpur,Chittagong Hill Tract and Coast,BD2013,2013,44,31,Medium,Low,Medium,Low,31
Drought Risk,4.6,Chattogram,Chattogram,Chittagong Hill Tract and Coast,BD2015,2015,17,43,Medium,High,Low,Low,40
Drought Risk,5.3,Chattogram,Cox's Bazar,Chittagong Hill Tract and Coast,BD2022,2022,10,2,Very High,Very High,Very High,High,2
Drought Risk,5,Chattogram,Khagrachhari,Chittagong Hill Tract and Coast,BD2046,2046,1,15,High,Very High,Medium,Very Low,16
Drought Risk,4.3,Chattogram,Rangamati,Chittagong Hill Tract and Coast,BD2084,2084,17,9,High,High,High,Low,11
DRR,3,Chattogram,Bandarban,Chittagong Hill Tract and Coast,BD2003,2003,17,1,Very High,High,Very High,Very High,1
DRR,3,Chattogram,Brahmanbaria,Chittagong Hill Tract and Coast,BD2012,2012,25,35,Medium,High,Low,Low,31
DRR,5.9,Chattogram,Chandpur,Chittagong Hill Tract and Coast,BD2013,2013,44,31,Medium,Low,Medium,Low,31
DRR,6.2,Chattogram,Chattogram,Chittagong Hill Tract and Coast,BD2015,2015,17,43,Medium,High,Low,Low,40
DRR,5.4,Chattogram,Cox's Bazar,Chittagong Hill Tract and Coast,BD2022,2022,10,2,Very High,Very High,Very High,High,2
DRR,3,Chattogram,Khagrachhari,Chittagong Hill Tract and Coast,BD2046,2046,1,15,High,Very High,Medium,Very Low,16
DRR,1.5,Chattogram,Rangamati,Chittagong Hill Tract and Coast,BD2084,2084,17,9,High,High,High,Low,11
Earthquake Risk,9.2,Chattogram,Bandarban,Chittagong Hill Tract and Coast,BD2003,2003,17,1,Very High,High,Very High,Very High,1
Earthquake Risk,9.2,Chattogram,Brahmanbaria,Chittagong Hill Tract and Coast,BD2012,2012,25,35,Medium,High,Low,Low,31
Earthquake Risk,9.2,Chattogram,Chandpur,Chittagong Hill Tract and Coast,BD2013,2013,44,31,Medium,Low,Medium,Low,31
Earthquake Risk,9.2,Chattogram,Chattogram,Chittagong Hill Tract and Coast,BD2015,2015,17,43,Medium,High,Low,Low,40
Earthquake Risk,9.2,Chattogram,Cox's Bazar,Chittagong Hill Tract and Coast,BD2022,2022,10,2,Very High,Very High,Very High,High,2
Earthquake Risk,9.2,Chattogram,Khagrachhari,Chittagong Hill Tract and Coast,BD2046,2046,1,15,High,Very High,Medium,Very Low,16
Earthquake Risk,9.2,Chattogram,Rangamati,Chittagong Hill Tract and Coast,BD2084,2084,17,9,High,High,High,Low,11
Economic dependency,2.8,Chattogram,Bandarban,Chittagong Hill Tract and Coast,BD2003,2003,17,1,Very High,High,Very High,Very High,1
Economic dependency,3.4,Chattogram,Brahmanbaria,Chittagong Hill Tract and Coast,BD2012,2012,25,35,Medium,High,Low,Low,31
Economic dependency,3.2,Chattogram,Chandpur,Chittagong Hill Tract and Coast,BD2013,2013,44,31,Medium,Low,Medium,Low,31
Economic dependency,2.7,Chattogram,Chattogram,Chittagong Hill Tract and Coast,BD2015,2015,17,43,Medium,High,Low,Low,40
Economic dependency,3.3,Chattogram,Cox's Bazar,Chittagong Hill Tract and Coast,BD2022,2022,10,2,Very High,Very High,Very High,High,2
Economic dependency,2.7,Chattogram,Khagrachhari,Chittagong Hill Tract and Coast,BD2046,2046,1,15,High,Very High,Medium,Very Low,16
Economic dependency,3.4,Chattogram,Rangamati,Chittagong Hill Tract and Coast,BD2084,2084,17,9,High,High,High,Low,11
Epidemic,7,Chattogram,Bandarban,Chittagong Hill Tract and Coast,BD2003,2003,17,1,Very High,High,Very High,Very High,1
Epidemic,6.2,Chattogram,Brahmanbaria,Chittagong Hill Tract and Coast,BD2012,2012,25,35,Medium,High,Low,Low,31
Epidemic,6,Chattogram,Chandpur,Chittagong Hill Tract and Coast,BD2013,2013,44,31,Medium,Low,Medium,Low,31
