area_of_origin,area_of_destination,sex,migrants_1990,migrants_1995,migrants_2000,migrants_2005,migrants_2010,migrants_2015,migrants_2020,origin_iso,destination_iso,origin_population_2000,origin_population_2010,origin_population_2015,origin_population_2020,destination_population_2000,destination_population_2010,destination_population_2015,destination_population_2020
Afghanistan,Libya,male,556,351,155,187,206,230,248,AFG,LBY,19542982,28189672,33753499,38972230,5154790,6491988,6192235,6653942
Afghanistan,Luxembourg,female,0,0,0,0,0,0,138,AFG,LUX,19542982,28189672,33753499,38972230,436300,506953,569604,630419
Afghanistan,Luxembourg,male,0,0,0,0,0,0,295,AFG,LUX,19542982,28189672,33753499,38972230,436300,506953,569604,630419
Afghanistan,Malaysia,female,14,16,23,117,222,228,1114,AFG,MYS,19542982,28189672,33753499,38972230,22945150,28717731,31068833,33199993
Afghanistan,Malaysia,male,18,20,27,154,284,317,1364,AFG,MYS,19542982,28189672,33753499,38972230,22945150,28717731,31068833,33199993
Afghanistan,Mali,female,0,0,0,0,86,105,121,AFG,MLI,19542982,28189672,33753499,38972230,11239101,15529181,18112907,21224040
Afghanistan,Mali,male,0,0,0,0,299,368,432,AFG,MLI,19542982,28189672,33753499,38972230,11239101,15529181,18112907,21224040
Afghanistan,Netherlands,female,4079,6143,8431,14145,14264,15266,16905,AFG,NLD,19542982,28189672,33753499,38972230,15925513,16615394,16939923,17441500
Afghanistan,Netherlands,male,5786,8388,11252,18042,16721,17469,19513,AFG,NLD,19542982,28189672,33753499,38972230,15925513,16615394,16939923,17441500
Afghanistan,New Zealand,female,53,207,367,1055,1192,1311,1975,AFG,NZL,19542982,28189672,33753499,38972230,3857700,4350700,4609400,5090200
Afghanistan,New Zealand,male,103,282,347,996,1122,1229,1852,AFG,NZL,19542982,28189672,33753499,38972230,3857700,4350700,4609400,5090200
Afghanistan,Norway,female,67,145,287,1970,3437,5134,6308,AFG,NOR,19542982,28189672,33753499,38972230,4490967,4889252,5188607,5379475
Afghanistan,Norway,male,186,206,351,3053,5399,7990,10934,AFG,NOR,19542982,28189672,33753499,38972230,4490967,4889252,5188607,5379475
Afghanistan,Pakistan,female,1651680,631234,963267,542604,973633,899713,792861,AFG,PAK,19542982,28189672,33753499,38972230,154369924,194454498,210969298,227196741
