area_of_origin,area_of_destination,sex,migrants_1990,migrants_1995,migrants_2000,migrants_2005,migrants_2010,migrants_2015,migrants_2020,origin_iso,destination_iso,origin_population_2000,origin_population_2010,origin_population_2015,origin_population_2020,destination_population_2000,destination_population_2010,destination_population_2015,destination_population_2020
China,South Korea,male,10564,24455,47637,121985,233675,362953,376444,CHN,KOR,1262645000,1337705000,1379860000,1411100000,47008111,49554112,51014947,51836239
China,Spain,female,3962,2058,986,38784,77941,83793,98488,CHN,ESP,1262645000,1337705000,1379860000,1411100000,40567864,46576897,46444832,47365655
China,Spain,male,4470,2291,1152,42538,76977,71920,80616,CHN,ESP,1262645000,1337705000,1379860000,1411100000,40567864,46576897,46444832,47365655
China,Sri Lanka,female,7,27,54,142,277,300,300,CHN,LKA,1262645000,1337705000,1379860000,1411100000,18776371,20668557,21336697,21919000
China,Sri Lanka,male,30,285,534,1011,2035,2147,2181,CHN,LKA,1262645000,1337705000,1379860000,1411100000,18776371,20668557,21336697,21919000
China,Sudan,female,815,829,845,914,588,537,754,CHN,SDN,1262645000,1337705000,1379860000,1411100000,26298773,33739933,38171178,44440486
China,Sudan,male,863,882,901,976,627,574,782,CHN,SDN,1262645000,1337705000,1379860000,1411100000,26298773,33739933,38171178,44440486
China,Suriname,female,946,1164,1438,1746,2058,2232,2453,CHN,SUR,1262645000,1337705000,1379860000,1411100000,478998,546080,575475,607065
China,Suriname,male,1109,1374,1697,2090,2468,2683,2993,CHN,SUR,1262645000,1337705000,1379860000,1411100000,478998,546080,575475,607065
China,Sweden,female,4067,4863,4830,8460,13412,16930,20655,CHN,SWE,1262645000,1337705000,1379860000,1411100000,8872109,9378126,9799186,10353442
China,Sweden,male,2853,3349,3320,4674,8294,11084,14112,CHN,SWE,1262645000,1337705000,1379860000,1411100000,8872109,9378126,9799186,10353442
China,Switzerland,female,4567,5467,6371,7792,9343,12187,14784,CHN,CHE,1262645000,1337705000,1379860000,1411100000,7184250,7824909,8282396,8638167
China,Switzerland,male,3515,4325,5167,5675,5883,8369,10304,CHN,CHE,1262645000,1337705000,1379860000,1411100000,7184250,7824909,8282396,8638167
China,Thailand,female,19,42,76,11867,24264,26124,27381,CHN,THA,1262645000,1337705000,1379860000,1411100000,63066603,68270489,70294397,71475664
China,Thailand,male,39,74,124,21444,44547,47704,49899,CHN,THA,1262645000,1337705000,1379860000,1411100000,63066603,68270489,70294397,71475664
China,Timor-Leste,female,340,375,414,391,345,279,274,CHN,TLS,1262645000,1337705000,1379860000,1411100000,878360,1088486,1205813,1299995
China,Timor-Leste,male,588,637,690,781,851,674,664,CHN,TLS,1262645000,1337705000,1379860000,1411100000,878360,1088486,1205813,1299995
China,Togo,male,199,224,253,285,374,422,427,CHN,TGO,1262645000,1337705000,1379860000,1411100000,5008035,6571855,7473229,8442580
China,Trinidad and Tobago,female,227,206,221,237,379,386,365,CHN,TTO,1262645000,1337705000,1379860000,1411100000,1332203,1410296,1460177,1518147
China,Trinidad and Tobago,male,242,219,240,257,457,480,596,CHN,TTO,1262645000,1337705000,1379860000,1411100000,1332203,1410296,1460177,1518147
China,Turkey,female,240,509,824,876,916,932,1398,CHN,TUR,1262645000,1337705000,1379860000,1411100000,64113547,73142150,78218479,83384680
China,Turkey,male,289,511,810,826,820,798,1017,CHN,TUR,1262645000,1337705000,1379860000,1411100000,64113547,73142150,78218479,83384680
China,Uganda,female,39,38,134,131,133,135,126,CHN,UGA,1262645000,1337705000,1379860000,1411100000,24020697,32341728,37477356,44404611
China,Uganda,male,98,91,240,231,231,231,215,CHN,UGA,1262645000,1337705000,1379860000,1411100000,24020697,32341728,37477356,44404611
China,Ukraine,female,3036,2854,2707,2470,2353,2357,2395,CHN,UKR,1262645000,1337705000,1379860000,1411100000,49176500,45870741,45167350,44207754
China,Ukraine,male,4888,4812,4795,4384,4186,4203,4273,CHN,UKR,1262645000,1337705000,1379860000,1411100000,49176500,45870741,45167350,44207754
China,United Kingdom,female,12458,42842,74058,75966,78563,113764,114687,CHN,GBR,1262645000,1337705000,1379860000,1411100000,58892514,62766365,65116219,67081234
China,United Kingdom,male,10926,40188,70015,71028,76633,85664,93542,CHN,GBR,1262645000,1337705000,1379860000,1411100000,58892514,62766365,65116219,67081234
China,United States of America,female,395375,538514,683542,810423,982701,1378303,1127138,CHN,USA,1262645000,1337705000,1379860000,1411100000,282162411,309327143,320738994,331526933
China,United States of America,male,378564,519973,664923,797231,940249,1298394,1056972,CHN,USA,1262645000,1337705000,1379860000,1411100000,282162411,309327143,320738994,331526933
China,Venezuela (Bolivarian Republic of),female,2690,3494,4505,4884,5344,5841,5593,CHN,VEN,1262645000,1337705000,1379860000,1411100000,24427729,28715022,30529716,28490453
China,Venezuela (Bolivarian Republic of),male,3768,4573,5483,6394,7520,8024,7478,CHN,VEN,1262645000,1337705000,1379860000,1411100000,24427729,28715022,30529716,28490453
China,Vietnam,female,289,542,1092,1057,1013,1252,1319,CHN,VNM,1262645000,1337705000,1379860000,1411100000,79001142,87411012,92191398,96648685
China,Vietnam,male,323,650,1481,1604,1427,1753,1848,CHN,VNM,1262645000,1337705000,1379860000,1411100000,79001142,87411012,92191398,96648685
China,Zambia,female,28,35,46,113,306,270,367,CHN,ZMB,1262645000,1337705000,1379860000,1411100000,9891136,13792086,16248230,18927715
China,Zambia,male,72,93,120,295,701,617,874,CHN,ZMB,1262645000,1337705000,1379860000,1411100000,9891136,13792086,16248230,18927715
"China, Macao SAR",China,female,1348,1928,2347,4254,6271,7382,8029,MAC,CHN,431896,557297,615239,676283,1262645000,1337705000,1379860000,1411100000
"China, Macao SAR",China,male,1751,2566,3227,5501,7829,10011,10889,MAC,CHN,431896,557297,615239,676283,1262645000,1337705000,1379860000,1411100000
"China, Macao SAR",Hong Kong,female,27648,28618,29587,34039,38572,40644,43819,MAC,HKG,431896,557297,615239,676283,6665000,7024200,7291300,7481000
"China, Macao SAR",Hong Kong,male,29574,30151,30729,30955,31258,30722,30595,MAC,HKG,431896,557297,615239,676283,6665000,7024200,7291300,7481000
Congo,Philippines,male,66,87,555,449,521,529,561,COG,PHL,3134030,4437884,5064386,5702174,77958223,94636700,103031365,112190977
Cyprus,Sri Lanka,female,1,6,18,59,118,122,121,CYP,LKA,948237,1129686,1187280,1237537,18776371,20668557,21336697,21919000
Cyprus,Sri Lanka,male,1,25,43,63,129,128,130,CYP,LKA,948237,1129686,1187280,1237537,18776371,20668557,21336697,21919000
Denmark,Philippines,female,63,86,458,364,241,244,258,DNK,PHL,5339616,5547683,5683483,5831404,77958223,94636700,103031365,112190977
Denmark,Philippines,male,119,158,388,320,195,198,210,DNK,PHL,5339616,5547683,5683483,5831404,77958223,94636700,103031365,112190977
Denmark,Thailand,female,100,98,119,143,176,189,198,DNK,THA,5339616,5547683,5683483,5831404,63066603,68270489,70294397,71475664
Denmark,Thailand,male,329,294,318,354,417,447,467,DNK,THA,5339616,5547683,5683483,5831404,63066603,68270489,70294397,71475664
Ecuador,Philippines,female,47,64,237,188,228,232,245,ECU,PHL,12626507,14989585,16195902,17588595,77958223,94636700,103031365,112190977
Ecuador,Philippines,male,58,77,244,201,224,227,242,ECU,PHL,12626507,14989585,16195902,17588595,77958223,94636700,103031365,112190977
Fiji,American Samoa,female,24,49,74,120,165,165,164,FJI,ASM,832509,905169,917200,920422,58230,54849,51368,46189
Fiji,American Samoa,male,26,52,78,123,168,167,168,FJI,ASM,832509,905169,917200,920422,58230,54849,51368,46189
Fiji,Australia,female,19484,21457,24669,28944,33949,38149,42738,FJI,AUS,832509,905169,917200,920422,19028802,22031750,23815995,25649248
Fiji,Australia,male,17988,18887,22031,25817,30011,34451,38122,FJI,AUS,832509,905169,917200,920422,19028802,22031750,23815995,25649248
Fiji,Canada,female,7878,9662,11673,11905,12861,13234,14338,FJI,CAN,832509,905169,917200,920422,30685730,34005902,35704498,38028638
Fiji,Canada,male,7474,9068,10880,10796,11429,11279,12221,FJI,CAN,832509,905169,917200,920422,30685730,34005902,35704498,38028638
Fiji,France,female,53,56,58,32,88,100,109,FJI,FRA,832509,905169,917200,920422,60921384,65030575,66548272,67571107
Fiji,India,female,1400,760,119,300,533,506,481,FJI,IND,832509,905169,917200,920422,1059633675,1240613620,1322866505,1396387127
Fiji,India,male,985,538,91,298,362,327,298,FJI,IND,832509,905169,917200,920422,1059633675,1240613620,1322866505,1396387127
Fiji,Kiribati,female,100,111,123,176,230,234,249,FJI,KIR,832509,905169,917200,920422,88826,107995,116707,126463
Fiji,Kiribati,male,121,137,152,206,259,263,282,FJI,KIR,832509,905169,917200,920422,88826,107995,116707,126463
Fiji,New Zealand,female,8141,9356,12864,18576,23625,28308,33191,FJI,NZL,832509,905169,917200,920422,3857700,4350700,4609400,5090200
Fiji,New Zealand,male,8277,8906,12165,17521,22198,26507,31080,FJI,NZL,832509,905169,917200,920422,3857700,4350700,4609400,5090200
Fiji,Tonga,female,177,194,211,244,259,221,208,FJI,TON,832509,905169,917200,920422,102603,107383,106122,105254
Fiji,Tonga,male,192,223,255,300,323,278,262,FJI,TON,832509,905169,917200,920422,102603,107383,106122,105254
Fiji,United Kingdom,female,180,905,1649,2178,2252,2775,3160,FJI,GBR,832509,905169,917200,920422,58892514,62766365,65116219,67081234
Fiji,United Kingdom,male,303,995,1700,2310,2485,2894,3237,FJI,GBR,832509,905169,917200,920422,58892514,62766365,65116219,67081234
Fiji,United States of America,female,8439,12429,16478,18474,21475,24681,27467,FJI,USA,832509,905169,917200,920422,282162411,309327143,320738994,331526933
Fiji,United States of America,male,7496,11296,15196,17234,19470,22140,24068,FJI,USA,832509,905169,917200,920422,282162411,309327143,320738994,331526933
Fiji,Vanuatu,female,83,69,64,90,108,115,117,FJI,VUT,832509,905169,917200,920422,192074,245453,276438,311685
Fiji,Vanuatu,male,83,77,65,86,108,115,118,FJI,VUT,832509,905169,917200,920422,192074,245453,276438,311685
France,Cambodia,male,83,217,351,278,205,187,201,FRA,KHM,60921384,65030575,66548272,67571107,12118841,14363532,15417523,16396860
France,Hong Kong,female,472,531,589,675,763,804,866,FRA,HKG,60921384,65030575,66548272,67571107,6665000,7024200,7291300,7481000
France,Hong Kong,male,998,1110,1222,1303,1386,1392,1423,FRA,HKG,60921384,65030575,66548272,67571107,6665000,7024200,7291300,7481000
France,India,female,3164,1949,733,870,1045,992,943,FRA,IND,60921384,65030575,66548272,67571107,1059633675,1240613620,1322866505,1396387127
France,India,male,2694,1679,664,864,947,864,792,FRA,IND,60921384,65030575,66548272,67571107,1059633675,1240613620,1322866505,1396387127
France,Maldives,male,28,35,47,47,74,101,110,FRA,MDV,60921384,65030575,66548272,67571107,282507,361575,435582,514438
France,Philippines,female,76,104,168,133,554,561,594,FRA,PHL,60921384,65030575,66548272,67571107,77958223,94636700,103031365,112190977
France,Philippines,male,121,161,197,162,632,643,686,FRA,PHL,60921384,65030575,66548272,67571107,77958223,94636700,103031365,112190977
France,South Korea,female,230,362,587,487,611,709,1071,FRA,KOR,60921384,65030575,66548272,67571107,47008111,49554112,51014947,51836239
France,South Korea,male,277,567,1060,980,1258,1148,1537,FRA,KOR,60921384,65030575,66548272,67571107,47008111,49554112,51014947,51836239
France,Sri Lanka,female,19,26,38,78,137,141,141,FRA,LKA,60921384,65030575,66548272,67571107,18776371,20668557,21336697,21919000
France,Sri Lanka,male,31,52,69,90,157,156,159,FRA,LKA,60921384,65030575,66548272,67571107,18776371,20668557,21336697,21919000
France,Thailand,female,340,304,340,332,341,367,384,FRA,THA,60921384,65030575,66548272,67571107,63066603,68270489,70294397,71475664
France,Thailand,male,1009,916,1003,905,879,941,985,FRA,THA,60921384,65030575,66548272,67571107,63066603,68270489,70294397,71475664
France,Vanuatu,female,94,114,119,189,256,272,277,FRA,VUT,60921384,65030575,66548272,67571107,192074,245453,276438,311685
France,Vanuatu,male,150,128,121,190,254,271,278,FRA,VUT,60921384,65030575,66548272,67571107,192074,245453,276438,311685
France,Vietnam,male,14,37,90,105,121,146,155,FRA,VNM,60921384,65030575,66548272,67571107,79001142,87411012,92191398,96648685
Germany,Hong Kong,female,333,374,415,476,538,566,610,DEU,HKG,82211508,81776930,81686611,83160871,6665000,7024200,7291300,7481000
Germany,Hong Kong,male,990,1102,1214,1302,1394,1408,1448,DEU,HKG,82211508,81776930,81686611,83160871,6665000,7024200,7291300,7481000
Germany,India,female,2972,2330,1688,1564,1407,1335,1270,DEU,IND,82211508,81776930,81686611,83160871,1059633675,1240613620,1322866505,1396387127
Germany,India,male,2682,1810,938,1123,1327,1212,1112,DEU,IND,82211508,81776930,81686611,83160871,1059633675,1240613620,1322866505,1396387127
Germany,Maldives,male,138,106,89,103,161,219,239,DEU,MDV,82211508,81776930,81686611,83160871,282507,361575,435582,514438
Germany,Mongolia,male,28,32,36,61,97,103,111,DEU,MNG,82211508,81776930,81686611,83160871,2450979,2702520,2964749,3294335
Germany,Philippines,female,195,267,621,494,1446,1467,1557,DEU,PHL,82211508,81776930,81686611,83160871,77958223,94636700,103031365,112190977
Germany,Philippines,male,509,680,1017,831,2281,2319,2472,DEU,PHL,82211508,81776930,81686611,83160871,77958223,94636700,103031365,112190977
Germany,South Korea,female,236,276,388,277,294,357,840,DEU,KOR,82211508,81776930,81686611,83160871,47008111,49554112,51014947,51836239
Germany,South Korea,male,409,523,820,829,1148,986,1281,DEU,KOR,82211508,81776930,81686611,83160871,47008111,49554112,51014947,51836239
Germany,Sri Lanka,female,7,19,44,126,245,252,251,DEU,LKA,82211508,81776930,81686611,83160871,18776371,20668557,21336697,21919000
Germany,Sri Lanka,male,14,64,103,152,302,302,309,DEU,LKA,82211508,81776930,81686611,83160871,18776371,20668557,21336697,21919000
Germany,Thailand,female,392,355,401,404,428,460,482,DEU,THA,82211508,81776930,81686611,83160871,63066603,68270489,70294397,71475664
Germany,Thailand,male,2159,1948,2130,1843,1698,1821,1905,DEU,THA,82211508,81776930,81686611,83160871,63066603,68270489,70294397,71475664
Guam,Philippines,female,20,27,573,456,550,557,590,GUM,PHL,160188,164905,167978,169231,77958223,94636700,103031365,112190977
Guam,Philippines,male,38,51,483,398,442,451,481,GUM,PHL,160188,164905,167978,169231,77958223,94636700,103031365,112190977
Hong Kong,Australia,female,29226,34822,38187,40817,44006,48680,54946,HKG,AUS,6665000,7024200,7291300,7481000,19028802,22031750,23815995,25649248
Hong Kong,Australia,male,28626,33861,37233,39020,41454,46370,52121,HKG,AUS,6665000,7024200,7291300,7481000,19028802,22031750,23815995,25649248
Hong Kong,Brunei Darussalam,female,194,217,240,244,248,252,273,HKG,BRN,6665000,7024200,7291300,7481000,333926,396053,421437,441725
Hong Kong,Brunei Darussalam,male,188,215,242,249,256,263,286,HKG,BRN,6665000,7024200,7291300,7481000,333926,396053,421437,441725
Hong Kong,Canada,female,118198,119224,123059,112007,108244,110279,119491,HKG,CAN,6665000,7024200,7291300,7481000,30685730,34005902,35704498,38028638
Hong Kong,Canada,male,112130,112067,114695,102326,97181,97379,105515,HKG,CAN,6665000,7024200,7291300,7481000,30685730,34005902,35704498,38028638
Hong Kong,China,female,266,389,485,27041,61769,72713,79101,HKG,CHN,6665000,7024200,7291300,7481000,1262645000,1337705000,1379860000,1411100000
Hong Kong,China,male,356,622,900,41468,94404,119930,130454,HKG,CHN,6665000,7024200,7291300,7481000,1262645000,1337705000,1379860000,1411100000
Hong Kong,"China, Macao SAR",female,5581,6228,6250,7083,7707,8442,9056,HKG,MAC,6665000,7024200,7291300,7481000,431896,557297,615239,676283
Hong Kong,"China, Macao SAR",male,6155,6645,7990,9434,11181,12542,13456,HKG,MAC,6665000,7024200,7291300,7481000,431896,557297,615239,676283
Hong Kong,Costa Rica,female,696,730,1158,769,1512,1542,1758,HKG,CRI,6665000,7024200,7291300,7481000,3979193,4622252,4895242,5123105
Hong Kong,Costa Rica,male,808,874,1348,874,1726,1743,2185,HKG,CRI,6665000,7024200,7291300,7481000,3979193,4622252,4895242,5123105
Hong Kong,France,female,1200,1260,1319,787,274,312,342,HKG,FRA,6665000,7024200,7291300,7481000,60921384,65030575,66548272,67571107
Hong Kong,France,male,1027,1039,1052,628,210,223,245,HKG,FRA,6665000,7024200,7291300,7481000,60921384,65030575,66548272,67571107
Hong Kong,Ireland,female,44,247,565,848,1099,1137,1294,HKG,IRL,6665000,7024200,7291300,7481000,3805174,4560155,4701957,4985382
Hong Kong,Ireland,male,42,221,543,762,748,750,868,HKG,IRL,6665000,7024200,7291300,7481000,3805174,4560155,4701957,4985382
Hong Kong,New Zealand,female,2455,5951,5651,3782,3814,3787,6058,HKG,NZL,6665000,7024200,7291300,7481000,3857700,4350700,4609400,5090200
Hong Kong,New Zealand,male,2384,5490,5345,3568,3587,3547,5676,HKG,NZL,6665000,7024200,7291300,7481000,3857700,4350700,4609400,5090200
Hong Kong,North Korea,male,51,58,65,83,100,110,112,HKG,PRK,6665000,7024200,7291300,7481000,23367059,24686435,25258015,25867467
Hong Kong,Panama,female,87,124,170,134,122,143,164,HKG,PAN,6665000,7024200,7291300,7481000,3001731,3623617,3957099,4294396
Hong Kong,Panama,male,100,146,201,143,118,138,173,HKG,PAN,6665000,7024200,7291300,7481000,3001731,3623617,3957099,4294396
Hong Kong,Philippines,female,69,94,132,105,128,129,136,HKG,PHL,6665000,7024200,7291300,7481000,77958223,94636700,103031365,112190977
Hong Kong,Philippines,male,127,169,136,111,124,127,136,HKG,PHL,6665000,7024200,7291300,7481000,77958223,94636700,103031365,112190977
Hong Kong,Singapore,female,7994,17019,27994,29119,31905,36634,37271,HKG,SGP,6665000,7024200,7291300,7481000,4027887,5076732,5535002,5685807
Hong Kong,Singapore,male,7049,14689,23448,23390,24597,28183,28596,HKG,SGP,6665000,7024200,7291300,7481000,4027887,5076732,5535002,5685807
Hong Kong,South Africa,female,935,540,326,447,675,874,892,HKG,ZAF,6665000,7024200,7291300,7481000,46813266,51784921,55876504,58801927
Hong Kong,South Africa,male,851,535,353,445,623,800,1051,HKG,ZAF,6665000,7024200,7291300,7481000,46813266,51784921,55876504,58801927
Hong Kong,United Kingdom,female,34790,35422,36741,42476,43928,54145,61688,HKG,GBR,6665000,7024200,7291300,7481000,58892514,62766365,65116219,67081234
Hong Kong,United Kingdom,male,37581,37509,37977,44544,47947,55818,62434,HKG,GBR,6665000,7024200,7291300,7481000,58892514,62766365,65116219,67081234
Hong Kong,United States of America,female,75163,89915,104767,107982,116775,126589,118563,HKG,USA,6665000,7024200,7291300,7481000,282162411,309327143,320738994,331526933
Hong Kong,United States of America,male,71968,87787,103982,108369,114021,122324,112021,HKG,USA,6665000,7024200,7291300,7481000,282162411,309327143,320738994,331526933
Hong Kong,Venezuela (Bolivarian Republic of),female,211,208,204,214,226,241,230,HKG,VEN,6665000,7024200,7291300,7481000,24427729,28715022,30529716,28490453
Hong Kong,Venezuela (Bolivarian Republic of),male,296,292,286,301,321,332,309,HKG,VEN,6665000,7024200,7291300,7481000,24427729,28715022,30529716,28490453
Hungary,Philippines,male,1,2,99,81,189,192,204,HUN,PHL,10210971,10000023,9843028,9750149,77958223,94636700,103031365,112190977
India,Aruba,female,14,34,54,81,107,113,128,IND,ABW,1059633675,1240613620,1322866505,1396387127,89101,100341,104257,106585
India,Aruba,male,25,64,103,157,208,217,240,IND,ABW,1059633675,1240613620,1322866505,1396387127,89101,100341,104257,106585
India,Australia,female,34227,38213,43387,66608,137010,202435,261739,IND,AUS,1059633675,1240613620,1322866505,1396387127,19028802,22031750,23815995,25649248
India,Australia,male,35701,40084,47293,82327,192500,246605,317525,IND,AUS,1059633675,1240613620,1322866505,1396387127,19028802,22031750,23815995,25649248
India,Austria,female,3109,3450,3791,4306,4884,5333,6317,IND,AUT,1059633675,1240613620,1322866505,1396387127,8011566,8363404,8642699,8916864
India,Austria,male,4369,4986,5603,6110,6685,7253,8675,IND,AUT,1059633675,1240613620,1322866505,1396387127,8011566,8363404,8642699,8916864
India,Bahamas,female,70,84,98,169,240,262,280,IND,BHS,1059633675,1240613620,1322866505,1396387127,325014,373272,392697,406471
India,Bahamas,male,90,110,131,222,312,336,360,IND,BHS,1059633675,1240613620,1322866505,1396387127,325014,373272,392697,406471
India,Bahrain,female,14165,19109,24351,39351,62917,65595,82224,IND,BHR,1059633675,1240613620,1322866505,1396387127,711442,1213645,1362142,1477469
India,Bahrain,male,46340,55490,64553,117730,196998,216192,282874,IND,BHR,1059633675,1240613620,1322866505,1396387127,711442,1213645,1362142,1477469
India,Bangladesh,female,6135,8314,10493,12736,14858,15838,23334,IND,BGD,1059633675,1240613620,1322866505,1396387127,129193327,148391139,157830000,167420951
India,Bangladesh,male,7204,9761,12318,14951,17443,18593,10428,IND,BGD,1059633675,1240613620,1322866505,1396387127,129193327,148391139,157830000,167420951
India,Barbados,female,219,235,251,238,226,237,238,IND,BRB,1059633675,1240613620,1322866505,1396387127,264657,274711,278083,280693
India,Barbados,male,222,246,271,242,215,226,229,IND,BRB,1059633675,1240613620,1322866505,1396387127,264657,274711,278083,280693
India,Belgium,female,2027,2575,3039,4175,7428,9495,12401,IND,BEL,1059633675,1240613620,1322866505,1396387127,10251250,10895586,11274196,11538604
India,Belgium,male,3316,3840,4259,6440,7792,10320,13499,IND,BEL,1059633675,1240613620,1322866505,1396387127,10251250,10895586,11274196,11538604
India,Belize,female,109,114,118,131,225,266,300,IND,BLZ,1059633675,1240613620,1322866505,1396387127,240406,322106,359871,394921
India,Belize,male,138,142,147,161,277,326,370,IND,BLZ,1059633675,1240613620,1322866505,1396387127,240406,322106,359871,394921
India,Bermuda,female,65,93,106,111,105,98,161,IND,BMU,1059633675,1240613620,1322866505,1396387127,61833,65124,65237,63893
India,Bermuda,male,91,127,136,225,340,395,411,IND,BMU,1059633675,1240613620,1322866505,1396387127,61833,65124,65237,63893
India,Bhutan,female,3524,4142,4760,6041,7322,6223,6566,IND,BTN,1059633675,1240613620,1322866505,1396387127,587207,705516,743274,772506
India,Bhutan,male,17317,20343,23368,29215,35061,38509,40408,IND,BTN,1059633675,1240613620,1322866505,1396387127,587207,705516,743274,772506
India,Botswana,female,886,1077,1382,1698,2026,2202,2351,IND,BWA,1059633675,1240613620,1322866505,1396387127,1726985,2091664,2305171,2546402
India,Botswana,male,1081,1298,1650,2238,2837,3080,3299,IND,BWA,1059633675,1240613620,1322866505,1396387127,1726985,2091664,2305171,2546402
India,Brazil,female,278,297,316,314,309,366,386,IND,BRA,1059633675,1240613620,1322866505,1396387127,175873720,196353492,205188205,213196304
India,Brazil,male,419,433,446,510,566,664,732,IND,BRA,1059633675,1240613620,1322866505,1396387127,175873720,196353492,205188205,213196304
India,Brunei Darussalam,female,414,433,452,459,466,473,514,IND,BRN,1059633675,1240613620,1322866505,1396387127,333926,396053,421437,441725
India,Brunei Darussalam,male,2181,2309,2437,2494,2551,2608,2843,IND,BRN,1059633675,1240613620,1322866505,1396387127,333926,396053,421437,441725
India,Bulgaria,female,30,30,30,34,37,85,190,IND,BGR,1059633675,1240613620,1322866505,1396387127,8170172,7395599,7177991,6934015
India,Bulgaria,male,133,119,105,103,101,166,363,IND,BGR,1059633675,1240613620,1322866505,1396387127,8170172,7395599,7177991,6934015
India,Canada,female,85515,123890,165184,215061,258189,332639,360429,IND,CAN,1059633675,1240613620,1322866505,1396387127,30685730,34005902,35704498,38028638
India,Canada,male,81125,116145,153954,209794,259701,331826,359654,IND,CAN,1059633675,1240613620,1322866505,1396387127,30685730,34005902,35704498,38028638
India,Cayman Islands,female,20,39,68,91,123,133,147,IND,CYM,1059633675,1240613620,1322866505,1396387127,39658,54074,60911,67311
India,Cayman Islands,male,24,45,76,233,412,449,501,IND,CYM,1059633675,1240613620,1322866505,1396387127,39658,54074,60911,67311
India,China,female,486,851,1227,1590,1814,2134,2320,IND,CHN,1059633675,1240613620,1322866505,1396387127,1262645000,1337705000,1379860000,1411100000
India,China,male,651,1124,1612,2513,3369,4259,4633,IND,CHN,1059633675,1240613620,1322866505,1396387127,1262645000,1337705000,1379860000,1411100000
India,Curaçao,female,0,0,0,0,226,244,277,IND,CUW,1059633675,1240613620,1322866505,1396387127,133860,148703,157980,154947
India,Curaçao,male,0,0,0,0,362,393,465,IND,CUW,1059633675,1240613620,1322866505,1396387127,133860,148703,157980,154947
India,Cyprus,female,270,397,524,799,1208,1096,1124,IND,CYP,1059633675,1240613620,1322866505,1396387127,948237,1129686,1187280,1237537
India,Cyprus,male,414,570,726,1081,1677,1552,1608,IND,CYP,1059633675,1240613620,1322866505,1396387127,948237,1129686,1187280,1237537
India,Czechia,female,19,27,35,140,225,465,1148,IND,CZE,1059633675,1240613620,1322866505,1396387127,10255063,10474410,10546059,10697858
India,Czechia,male,41,63,84,407,696,1242,3167,IND,CZE,1059633675,1240613620,1322866505,1396387127,10255063,10474410,10546059,10697858
India,Denmark,female,1443,1997,2551,3352,3972,4943,7098,IND,DNK,1059633675,1240613620,1322866505,1396387127,5339616,5547683,5683483,5831404
India,Denmark,male,1161,1501,1840,2973,3929,5063,7540,IND,DNK,1059633675,1240613620,1322866505,1396387127,5339616,5547683,5683483,5831404
India,Ecuador,male,51,58,64,77,122,154,170,IND,ECU,1059633675,1240613620,1322866505,1396387127,12626507,14989585,16195902,17588595
India,Egypt,female,314,316,342,382,427,253,445,IND,EGY,1059633675,1240613620,1322866505,1396387127,71371371,87252413,97723799,107465134
India,Egypt,male,487,507,568,701,738,547,804,IND,EGY,1059633675,1240613620,1322866505,1396387127,71371371,87252413,97723799,107465134
India,Estonia,female,9,14,18,21,23,66,162,IND,EST,1059633675,1240613620,1322866505,1396387127,1396985,1331475,1315407,1329522
India,Estonia,male,16,25,35,61,88,252,550,IND,EST,1059633675,1240613620,1322866505,1396387127,1396985,1331475,1315407,1329522
India,Fiji,female,788,727,666,552,584,595,609,IND,FJI,1059633675,1240613620,1322866505,1396387127,832509,905169,917200,920422
India,Fiji,male,655,647,626,617,671,697,712,IND,FJI,1059633675,1240613620,1322866505,1396387127,832509,905169,917200,920422
India,Finland,female,180,265,349,942,1350,2055,2859,IND,FIN,1059633675,1240613620,1322866505,1396387127,5176209,5363352,5479531,5529543
India,Finland,male,369,503,637,1603,2274,3104,4095,IND,FIN,1059633675,1240613620,1322866505,1396387127,5176209,5363352,5479531,5529543
India,France,female,13142,13795,14448,20199,24256,27621,30292,IND,FRA,1059633675,1240613620,1322866505,1396387127,60921384,65030575,66548272,67571107
India,France,male,12675,12857,13038,20919,20875,22399,24690,IND,FRA,1059633675,1240613620,1322866505,1396387127,60921384,65030575,66548272,67571107
India,Germany,female,8299,9479,10659,16294,20762,21434,39955,IND,DEU,1059633675,1240613620,1322866505,1396387127,82211508,81776930,81686611,83160871
India,Germany,male,23578,23465,23352,29365,34240,35016,67673,IND,DEU,1059633675,1240613620,1322866505,1396387127,82211508,81776930,81686611,83160871
India,Ghana,female,196,177,216,286,275,338,386,IND,GHA,1059633675,1240613620,1322866505,1396387127,19665502,25574719,28870939,32180401
India,Ghana,male,258,275,290,426,433,533,613,IND,GHA,1059633675,1240613620,1322866505,1396387127,19665502,25574719,28870939,32180401
India,Greece,female,1219,868,546,1273,2077,2034,1942,IND,GRC,1059633675,1240613620,1322866505,1396387127,10805808,11121341,10820883,10698599
India,Greece,male,4132,5249,6437,7406,8674,8096,8411,IND,GRC,1059633675,1240613620,1322866505,1396387127,10805808,11121341,10820883,10698599
India,Hong Kong,female,5778,6492,7205,8261,9337,9838,10606,IND,HKG,1059633675,1240613620,1322866505,1396387127,6665000,7024200,7291300,7481000
India,Hong Kong,male,6286,6972,7659,7967,8295,8181,8182,IND,HKG,1059633675,1240613620,1322866505,1396387127,6665000,7024200,7291300,7481000
India,Hungary,female,337,304,270,327,386,403,1047,IND,HUN,1059633675,1240613620,1322866505,1396387127,10210971,10000023,9843028,9750149
