iso3,country,year,conflict_stock_displacement,conflict_stock_displacement_raw,conflict_internal_displacements,conflict_internal_displacements_raw,disaster_internal_displacements,disaster_internal_displacements_raw,disaster_stock_displacement,disaster_stock_displacement_raw,total_displacement,population,disaster_per_100k,conflict_per_100k,total_displacement_per_100k
IND,India,2013,526000,526000,64000,64000,2145000,2144671,NA,0,0,1291132063,NA,40.739442,0
IRN,Iran,2013,NA,0,NA,NA,4700,4720,NA,0,0,78458928,NA,0,0
JPN,Japan,2013,NA,0,NA,NA,639000,638987,NA,0,0,127445000,NA,0,0
KHM,Cambodia,2013,NA,0,NA,NA,144000,144496,NA,0,0,14999683,NA,0,0
LAO,Lao PDR,2013,NA,0,NA,0,9900,9908,NA,0,0,6600742,NA,0,0
MMR,Myanmar,2013,641000,640900,54000,53946,223000,223000,NA,0,0,50648334,NA,1265.3920660000001,0
MYS,Malaysia,2013,NA,0,NA,NA,43000,42626,NA,0,0,30134807,NA,0,0
NZL,New Zealand,2013,NA,0,NA,NA,210,210,NA,0,0,4442100,NA,0,0
PAK,Pakistan,2013,747000,746700,140000,140000,407000,407436,NA,0,0,205337562,NA,363.645108,0
PHL,Philippines,2013,116000,115800,327000,327351,7022000,7022195,NA,0,0,99700107,NA,116.148321,0
PNG,Papua New Guinea,2013,NA,0,NA,NA,46,46,NA,0,0,8245627,NA,0,0
PRK,Dem. People's Rep. Korea,2013,NA,0,NA,NA,82000,82000,NA,0,0,25001819,NA,0,0
THA,Thailand,2013,35000,35000,100,100,13000,13282,NA,0,0,69578602,NA,50.302822,0
TLS,Timor-Leste,2013,900,900,NA,0,1300,1291,NA,0,0,1161555,NA,77.48234,0
TON,Tonga,2013,NA,0,NA,NA,17,17,NA,0,0,107089,NA,0,0
VNM,Viet Nam,2013,NA,0,NA,NA,1040000,1040338,NA,0,0,90267739,NA,0,0
VUT,Vanuatu,2013,NA,0,NA,NA,69,69,NA,0,0,263534,NA,0,0
AFG,Afghanistan,2012,492000,492000,100000,100400,30000,29519,NA,0,0,30466479,NA,1614.889597,0
AUS,Australia,2012,NA,0,NA,NA,16000,16000,NA,0,0,22733465,NA,0,0
BGD,Bangladesh,2012,426000,426490,5000,5000,651000,650788,NA,0,0,152090649,NA,280.418292,0
CHN,China,2012,NA,0,NA,NA,5731000,5730800,NA,0,0,1354190000,NA,0,0
FJI,Fiji,2012,NA,0,NA,NA,27000,27062,NA,0,0,911059,NA,0,0
IDN,Indonesia,2012,170000,170000,5000,5000,104000,103831,NA,0,0,250222695,NA,67.939481,0
IND,India,2012,1000000,1000000,500000,500000,9110000,9110000,NA,0,0,1274487215,NA,78.462929,0
IRN,Iran,2012,NA,0,NA,NA,50000,50000,NA,0,0,77324451,NA,0,0
JPN,Japan,2012,NA,0,NA,NA,308000,308080,NA,0,0,127629000,NA,0,0
MMR,Myanmar,2012,450000,450000,166000,166000,74000,73840,NA,0,0,50218185,NA,896.089733,0
MYS,Malaysia,2012,NA,0,NA,NA,22000,22000,NA,0,0,29660212,NA,0,0
NZL,New Zealand,2012,NA,0,NA,NA,450,450,NA,0,0,4408100,NA,0,0
PAK,Pakistan,2012,758000,758000,412000,412000,1857000,1856570,NA,0,0,202205861,NA,374.865494,0
PHL,Philippines,2012,NA,0,178000,178000,3859000,3858596,NA,0,0,98032317,NA,0,0
PNG,Papua New Guinea,2012,NA,0,NA,NA,75000,75000,NA,0,0,8026545,NA,0,0
PRK,Dem. People's Rep. Korea,2012,NA,0,NA,NA,232000,232000,NA,0,0,24887770,NA,0,0
THA,Thailand,2012,35000,35000,NA,0,3400,3400,NA,0,0,69157023,NA,50.609466,0
TLS,Timor-Leste,2012,900,900,NA,0,NA,NA,NA,0,0,1137676,NA,79.108639,0
TON,Tonga,2012,NA,0,NA,NA,400,400,NA,0,0,107502,NA,0,0
VNM,Viet Nam,2012,NA,0,NA,NA,15000,15000,NA,0,0,89301326,NA,0,0
VUT,Vanuatu,2012,NA,0,NA,NA,700,700,NA,0,0,257313,NA,0,0
AFG,Afghanistan,2011,450000,450000,186000,186000,3000,3000,NA,0,0,29249157,NA,1538.505879,0
AUS,Australia,2011,NA,0,NA,NA,10000,10000,NA,0,0,22340024,NA,0,0
BGD,Bangladesh,2011,426000,426490,600,600,400000,400000,NA,0,0,150211005,NA,283.927266,0
BTN,Bhutan,2011,NA,0,NA,NA,20000,20000,NA,0,0,713331,NA,0,0
CHN,China,2011,NA,0,NA,NA,4490000,4489545,NA,0,0,1345035000,NA,0,0
IDN,Indonesia,2011,180000,180000,15000,15000,7400,7442,NA,0,0,247099697,NA,72.845091,0
IND,India,2011,650000,650000,53000,53000,1503000,1503320,NA,0,0,1257621191,NA,51.68488,0
JPN,Japan,2011,NA,0,NA,NA,892000,892000,NA,0,0,127833000,NA,0,0
KHM,Cambodia,2011,NA,0,NA,NA,214000,214000,NA,0,0,14573885,NA,0,0
LAO,Lao PDR,2011,NA,0,NA,0,50000,50000,NA,0,0,6416327,NA,0,0
MMR,Myanmar,2011,450000,450000,50000,50000,13000,13152,NA,0,0,49794522,NA,903.713866,0
MYS,Malaysia,2011,NA,0,NA,NA,24000,24000,NA,0,0,29184133,NA,0,0
NZL,New Zealand,2011,NA,0,NA,NA,2300,2300,NA,0,0,4384000,NA,0,0
PAK,Pakistan,2011,900000,900000,190000,190000,300000,300000,NA,0,0,198602738,NA,453.165958,0
PHL,Philippines,2011,46000,46000,97000,97000,2499000,2499241,NA,0,0,96337913,NA,47.748595,0
PRK,Dem. People's Rep. Korea,2011,NA,0,NA,NA,25000,25000,NA,0,0,24783789,NA,0,0
THA,Thailand,2011,35000,35000,50000,50000,1645000,1644965,NA,0,0,68712846,NA,50.936618,0
TLS,Timor-Leste,2011,900,900,1000,1000,NA,NA,NA,0,0,1112976,NA,80.864277,0
VNM,Viet Nam,2011,NA,0,NA,NA,230000,230000,NA,0,0,88349117,NA,0,0
VUT,Vanuatu,2011,NA,0,NA,NA,400,400,NA,0,0,251294,NA,0,0
AFG,Afghanistan,2010,352000,352000,102000,102000,71000,71000,NA,0,0,28189672,NA,1248.68427,0
AUS,Australia,2010,NA,0,NA,NA,1000,1000,NA,0,0,22031750,NA,0,0
BGD,Bangladesh,2010,426000,426490,3500,3500,569000,569000,NA,0,0,148391139,NA,287.409345,0
CHN,China,2010,NA,0,NA,NA,15920000,15920060,NA,0,0,1337705000,NA,0,0
FJI,Fiji,2010,NA,0,NA,NA,18000,18000,NA,0,0,905169,NA,0,0
IDN,Indonesia,2010,200000,200000,35000,35000,409000,409387,NA,0,0,244016173,NA,81.96178,0
IND,India,2010,650000,650000,106000,106500,1411000,1411285,NA,0,0,1240613620,NA,52.393428,0
IRN,Iran,2010,NA,0,NA,NA,3500,3500,NA,0,0,75373855,NA,0,0
JPN,Japan,2010,NA,0,NA,NA,85000,85000,NA,0,0,128070000,NA,0,0
KHM,Cambodia,2010,NA,0,NA,NA,32000,31505,NA,0,0,14363532,NA,0,0
LAO,Lao PDR,2010,NA,0,4400,4400,NA,NA,NA,0,0,6323418,NA,0,0
MMR,Myanmar,2010,446000,446000,73000,73000,106000,105993,NA,0,0,49390988,NA,902.998741,0
MYS,Malaysia,2010,NA,0,NA,NA,65000,65000,NA,0,0,28717731,NA,0,0
NZL,New Zealand,2010,NA,0,NA,NA,250,250,NA,0,0,4350700,NA,0,0
PAK,Pakistan,2010,980000,980000,400000,400000,11060000,11060000,NA,0,0,194454498,NA,503.973943,0
PHL,Philippines,2010,15000,15000,70000,70000,1002000,1001991,NA,0,0,94636700,NA,15.850088,0
PRK,Dem. People's Rep. Korea,2010,NA,0,NA,NA,28000,27500,NA,0,0,24686435,NA,0,0
THA,Thailand,2010,NA,0,NA,NA,1000000,1000000,NA,0,0,68270489,NA,0,0
TLS,Timor-Leste,2010,400,400,NA,0,NA,NA,NA,0,0,1088486,NA,36.748291,0
VNM,Viet Nam,2010,NA,0,NA,NA,442000,441849,NA,0,0,87411012,NA,0,0
AFG,Afghanistan,2009,297000,297000,NA,0,28000,28435,NA,0,0,27385307,NA,1084.523171,0
AUS,Australia,2009,NA,0,NA,NA,7500,7500,NA,0,0,21691653,NA,0,0
BGD,Bangladesh,2009,426000,426490,5000,5000,1342000,1342000,NA,0,0,146706810,NA,290.709068,0
CHN,China,2009,NA,0,NA,NA,4031000,4030507,NA,0,0,1331260000,NA,0,0
FJI,Fiji,2009,NA,0,NA,NA,13000,13245,NA,0,0,901383,NA,0,0
IDN,Indonesia,2009,70000,70000,500,500,854000,853990,NA,0,0,240981299,NA,29.047897,0
IND,India,2009,500000,500000,33000,33000,5304000,5304000,NA,0,0,1223640160,NA,40.861686,0
KHM,Cambodia,2009,NA,0,NA,NA,66000,66000,NA,0,0,14155740,NA,0,0
LAO,Lao PDR,2009,NA,0,NA,NA,38000,37500,NA,0,0,6229930,NA,0,0
MMR,Myanmar,2009,470000,470000,75000,75000,2500,2521,NA,0,0,49015836,NA,958.873781,0
PAK,Pakistan,2009,1230000,1230000,3000000,3000000,84000,84290,NA,0,0,190123222,NA,646.948851,0
PHL,Philippines,2009,125000,125000,400000,400000,2062000,2062402,NA,0,0,92946951,NA,134.48531500000001,0
PNG,Papua New Guinea,2009,NA,0,NA,NA,1000,1000,NA,0,0,7358890,NA,0,0
THA,Thailand,2009,NA,0,NA,NA,68000,68000,NA,0,0,67813654,NA,0,0
TLS,Timor-Leste,2009,400,400,100,100,NA,NA,NA,0,0,1065540,NA,37.539651,0
VNM,Viet Nam,2009,NA,0,NA,NA,187000,186900,NA,0,0,86482923,NA,0,0
AFG,Afghanistan,2008,NA,0,NA,NA,3400,3430,NA,0,0,26427199,NA,0,0
AUS,Australia,2008,NA,0,NA,NA,1000,1000,NA,0,0,21249199,NA,0,0
BGD,Bangladesh,2008,NA,0,NA,NA,61000,61347,NA,0,0,145421318,NA,0,0
CHN,China,2008,NA,0,NA,NA,18660000,18659649,NA,0,0,1324655000,NA,0,0
IDN,Indonesia,2008,NA,0,NA,NA,221000,221100,NA,0,0,237936543,NA,0,0
IND,India,2008,NA,0,NA,NA,6662000,6662165,NA,0,0,1206734806,NA,0,0
JPN,Japan,2008,NA,0,NA,NA,800,800,NA,0,0,128063000,NA,0,0
KIR,Kiribati,2008,NA,0,NA,NA,85,85,NA,0,0,103966,NA,0,0
MHL,Marshall Islands,2008,NA,0,NA,NA,600,600,NA,0,0,53816,NA,0,0
MMR,Myanmar,2008,NA,0,NA,NA,2250000,2250000,NA,0,0,48729486,NA,0,0
MYS,Malaysia,2008,NA,0,NA,NA,4000,4000,NA,0,0,27664296,NA,0,0
PAK,Pakistan,2008,NA,0,NA,NA,89000,89200,NA,0,0,185931955,NA,0,0
PHL,Philippines,2008,NA,0,NA,NA,2757000,2756634,NA,0,0,91252326,NA,0,0
PNG,Papua New Guinea,2008,NA,0,NA,NA,75000,75000,NA,0,0,7137988,NA,0,0
THA,Thailand,2008,NA,0,NA,NA,203000,202680,NA,0,0,67328239,NA,0,0
VNM,Viet Nam,2008,NA,0,NA,NA,106000,105590,NA,0,0,85597241,NA,0,0
