area_of_origin,area_of_destination,year,sex,migrants,origin_iso,destination_iso,origin_population,destination_population
Afghanistan,Bulgaria,2010,male,1945,AFG,BGR,28189672,7395599
Afghanistan,Bulgaria,2015,female,875,AFG,BGR,33753499,7177991
Afghanistan,Bulgaria,2015,male,2563,AFG,BGR,33753499,7177991
Afghanistan,Bulgaria,2020,female,128,AFG,BGR,38972230,6934015
Afghanistan,Bulgaria,2020,male,298,AFG,BGR,38972230,6934015
Afghanistan,Canada,2000,female,11573,AFG,CAN,19542982,30685730
Afghanistan,Canada,2000,male,10786,AFG,CAN,19542982,30685730
Afghanistan,Canada,2005,female,15466,AFG,CAN,24411191,32242732
Afghanistan,Canada,2005,male,15252,AFG,CAN,24411191,32242732
Afghanistan,Canada,2010,female,20258,AFG,CAN,28189672,34005902
Afghanistan,Canada,2010,male,20687,AFG,CAN,28189672,34005902
Afghanistan,Canada,2015,female,25782,AFG,CAN,33753499,35704498
Afghanistan,Canada,2015,male,25859,AFG,CAN,33753499,35704498
Afghanistan,Canada,2020,female,27935,AFG,CAN,38972230,38028638
Afghanistan,Canada,2020,male,28019,AFG,CAN,38972230,38028638
Afghanistan,Costa Rica,2000,female,2,AFG,CRI,19542982,3979193
Afghanistan,Costa Rica,2000,male,1,AFG,CRI,19542982,3979193
Afghanistan,Costa Rica,2005,female,2,AFG,CRI,24411191,4315887
Afghanistan,Costa Rica,2005,male,1,AFG,CRI,24411191,4315887
Afghanistan,Costa Rica,2010,female,4,AFG,CRI,28189672,4622252
Afghanistan,Costa Rica,2010,male,1,AFG,CRI,28189672,4622252
Afghanistan,Costa Rica,2015,female,3,AFG,CRI,33753499,4895242
Afghanistan,Costa Rica,2015,male,1,AFG,CRI,33753499,4895242
Afghanistan,Costa Rica,2020,female,3,AFG,CRI,38972230,5123105
Afghanistan,Costa Rica,2020,male,1,AFG,CRI,38972230,5123105
Afghanistan,Cyprus,2000,male,4,AFG,CYP,19542982,948237
Afghanistan,Cyprus,2005,female,2,AFG,CYP,24411191,1037062
Afghanistan,Cyprus,2005,male,4,AFG,CYP,24411191,1037062
Afghanistan,Cyprus,2010,female,2,AFG,CYP,28189672,1129686
Afghanistan,Cyprus,2010,male,6,AFG,CYP,28189672,1129686
Afghanistan,Cyprus,2015,female,1,AFG,CYP,33753499,1187280
Afghanistan,Cyprus,2015,male,6,AFG,CYP,33753499,1187280
Afghanistan,Cyprus,2020,male,6,AFG,CYP,38972230,1237537
Afghanistan,Czechia,2000,female,26,AFG,CZE,19542982,10255063
Afghanistan,Czechia,2000,male,77,AFG,CZE,19542982,10255063
