Timestamp,max_temp_degC,min_temp_degC,mean_temp_degC,mean_humidity_percent,mean_wind_direction_compass,mean_wind_speed_kts,max_wind_direction_compass,max_wind_speed_kts,rainfall_mm,sunshine_hrs
3/26/1990,31,25,27.8,89,SW,10,WSW,25,16.5,4.1
3/27/1990,30.1,25.5,27,90,W,10,W,26,7.1,1.2
3/28/1990,31.6,25.5,28.4,82,W,6,W,10,22.3,9.8
3/29/1990,31.8,25.4,28.9,78,SW,9,S,20,1.4,11.2
3/30/1990,31.7,27.2,29.2,75,ESE,3,SW,7,0.7,11.2
3/31/1990,31.6,27,29.2,74,VRB,3,NE,8,0,10
4/1/1990,32.1,26,29,77,VRB,6,NE,9,3.8,9.8
4/2/1990,31.8,27,29.5,75,ENE,5,ENE,8,0,8.1
4/3/1990,31.6,27.2,29.1,76,VRB,5,SW,10,0,2.8
4/4/1990,31.2,25.6,29.1,79,NW,8,W,18,7.1,7.4
4/5/1990,32,27.2,29.4,78,NW,5,NW,11,0,5.7
4/6/1990,32.6,26,29.8,75,NNE,7,ENE,28,8.6,9
4/7/1990,32.4,24.8,29.7,78,NE,9,W,27,10.8,9.5
4/8/1990,30.8,24.6,26.7,86,W,13,W,24,15.1,0.1
4/9/1990,31,28,29.3,80,NW,11,NW,14,0,9.5
4/10/1990,31.8,27.8,29.6,79,WNW,11,WNW,13,0,7.7
4/11/1990,32,28.4,29.7,76,NW,13,WNW,14,0,10.5
4/12/1990,31.8,28.5,29.8,74,NW,17,NW,21,0,9
4/13/1990,31.6,28,29.7,75,WNW,17,WNW,20,0,8.3
4/14/1990,31,28.3,29.6,75,NW,19,NW,22,0,10.4
4/15/1990,31.6,28.4,29.6,73,WNW,16,NW,20,0,10.2
4/16/1990,31.6,28.2,29.7,74,WNW,19,NW,23,0,10.3
4/17/1990,31.2,28,29.6,75,WNW,15,WNW,19,0,10
4/18/1990,32,28.2,29.6,74,WNW,11,WNW,14,0,9.1
4/19/1990,31.6,28.2,29.7,73,WNW,11,WNW,12,0,10.4
4/20/1990,32,28.2,29.8,74,WNW,11,WNW,14,0,10.4
4/21/1990,32.2,28,29.5,76,W,8,WNW,11,0,10.8
4/22/1990,32.1,28,29.9,72,WNW,6,W,9,0,10.8
4/23/1990,32,27.6,29.7,73,WNW,7,WNW,10,0,11.1
4/24/1990,32.4,27.7,29.6,73,VRB,3,SSW,7,0,8
4/25/1990,32.2,27.6,29.5,74,VRB,6,SSW,10,0,10.3
4/26/1990,32.4,27.3,30.1,71,CALM,0,SSW,3,0,10.4
4/27/1990,32.7,26.2,29.2,78,CALM,0,NW,3,9.7,9.4
4/28/1990,32.4,27.8,29.5,78,W,5,NW,10,0.2,9.7
4/29/1990,31.4,25,29.2,79,SW,5,SW,8,19.3,9.1
4/30/1990,32,27.6,29.6,76,W,5,W,10,0,9.4
5/1/1990,32,27,29.4,74,W,4,W,10,0,10.7
5/2/1990,32,27.8,29.7,72,VRB,1,NW,4,0,11.8
5/3/1990,32.5,27.2,30.1,73,W,4,NW,7,0.5,11
5/4/1990,32.4,28.1,30.1,76,W,11,W,22,0.3,11.2
5/5/1990,31.8,26.4,29.4,79,W,16,WNW,27,7.7,1.3
5/6/1990,30,24.8,28.9,81,W,14,WNW,40,4.4,0
5/7/1990,31.8,28.8,29.7,79,WNW,15,WNW,20,0,7.9
5/8/1990,32,28.8,30.2,75,WNW,18,WNW,20,0,7.5
5/9/1990,32.1,28.8,30.3,72,WNW,19,WNW,26,0,9.1
5/10/1990,32,28.4,30.1,75,WNW,21,WNW,25,0,8.3
5/11/1990,31.5,26.4,29.8,79,NW,14,WNW,18,5.2,8.6
5/12/1990,31,28.4,29.6,80,NNW,9,WNW,14,0,3.1
5/13/1990,31.6,27.6,29.1,78,NNW,4,NW,11,0,4.3
5/14/1990,32.2,26.4,29.7,78,VRB,5,WSW,22,0.7,9.3
5/15/1990,31.4,27.4,29.1,79,W,17,WSW,26,0.4,9.6
5/16/1990,30.6,26,29.1,79,WSW,12,WSW,26,7.5,0
5/17/1990,31,24.2,29.3,78,SW,13,SSW,30,30.5,6
5/18/1990,30,24,27.5,87,WSW,14,W,45,16.7,5
5/19/1990,30.6,27.4,28.9,78,SW,11,SSW,30,0,6.8
5/20/1990,31.6,27.4,29.5,76,WSW,12,WNW,18,0,7.7
5/21/1990,31.9,28,29.3,77,W,9,WNW,11,0,8.5
5/22/1990,31.6,27.8,29.3,77,WNW,10,WNW,12,0,4.7
5/23/1990,31.8,27.6,29.6,79,W,10,W,14,0,11.4
5/24/1990,32,28,29.5,76,WSW,8,WSW,11,0,10.8
5/25/1990,31.2,26.2,28.9,78,SW,7,SW,23,2.4,7.2
5/26/1990,31.8,25,29.3,76,VRB,3,NW,25,6,9.8
5/27/1990,31.7,26.4,29,78,WNW,10,NW,25,0.1,8.7
5/28/1990,31.6,28,29.4,77,WNW,14,W,32,0,6.6
5/29/1990,32,28.4,29.8,76,W,14,W,16,0.1,10.7
5/30/1990,31.4,24,29.4,78,WSW,15,NW,38,10.2,8.9
5/31/1990,31.2,23.6,29.2,78,WNW,19,WNW,47,25.5,11
6/1/1990,30.7,23.8,28.3,84,WNW,23,WNW,40,3.2,0
6/2/1990,30.2,23.2,28.7,82,WNW,21,NW,40,17.3,0.3
6/3/1990,30.2,24,26.7,87,WNW,18,WNW,45,31,1.3
6/4/1990,30.4,23.2,27.8,83,WNW,17,WNW,43,9.9,4.7
6/5/1990,30.5,25.2,28.2,83,WNW,14,WNW,33,3.3,3
6/6/1990,30,23.8,27,88,W,14,NW,43,43.1,0.6
6/7/1990,29.8,25.4,28.3,82,W,13,NW,23,4.5,0.8
6/8/1990,30.5,25.8,28.1,81,WNW,10,NW,16,0.7,3
6/9/1990,31.3,26.4,28.6,78,W,15,W,27,1.3,7.4
6/10/1990,31.2,27.2,29.1,76,W,12,W,15,0,11.4
6/11/1990,30.8,27.2,29,74,W,13,W,15,0,10.8
6/12/1990,31.1,26.6,29,77,W,11,W,13,0,10.8
6/13/1990,31.1,27.4,29.2,78,W,17,W,29,0,8.2
6/14/1990,31.2,26.8,29,79,WNW,17,NW,25,0.6,10
6/15/1990,31.4,27,29.4,75,WNW,17,NW,30,0.4,10.4
6/16/1990,31,27.6,29.3,74,WNW,17,NW,21,0,11
6/17/1990,31.3,26.2,28.7,77,WNW,18,WNW,42,4,7.8
6/18/1990,30.7,27.6,29.2,77,WNW,17,WNW,20,0,9
6/19/1990,31.8,23.2,29.4,78,W,11,W,21,26.9,10.7
6/20/1990,30.3,23.5,26.1,88,WNW,18,NW,50,8.1,1.5
6/21/1990,31,26.8,28.4,81,WNW,15,WNW,33,0.1,7
6/22/1990,30.8,27.3,28.9,79,WNW,13,WNW,15,0,11
6/23/1990,31.5,27.2,29.1,77,WNW,10,WNW,14,0,10.8
6/24/1990,31.4,27.5,29,75,WNW,13,WNW,17,0,10.6
6/25/1990,31,27.2,28.8,74,W,11,W,15,0,11
6/26/1990,31.4,27.4,29.1,76,WNW,7,WNW,10,0,11
6/27/1990,32,27.4,29.2,78,WSW,7,WSW,9,0,10.8
6/28/1990,30.6,25,28.4,79,VRB,7,NW,15,8,7
6/29/1990,29.6,23.6,26.2,87,WSW,12,WNW,27,18.4,0
6/30/1990,28.8,24,27.7,82,WSW,13,NW,20,18.6,1
7/1/1990,29.8,22.6,28,78,WSW,16,W,36,6,7.7
7/2/1990,29.4,25,27.8,77,WSW,13,WNW,50,1.3,0
7/3/1990,30.8,27.6,28.8,76,W,13,WSW,16,0,8.1
7/4/1990,31,27.2,28.8,74,W,12,W,15,0,7.3
7/5/1990,30,24.6,28.6,73,WSW,11,NW,29,5.8,7.7
7/6/1990,30.8,24.6,28.8,74,SSW,10,SSW,12,0.5,9.5
7/7/1990,30,24.2,26.5,88,SSW,8,WSW,18,13.4,2
7/8/1990,30.4,26.2,27.9,77,SSW,3,SSW,7,0,9.6
7/9/1990,30.6,26.8,28.3,72,SSW,6,SSW,9,0,11.5
7/10/1990,30.8,26.6,28.5,72,WSW,8,SW,10,0,11
7/11/1990,31.2,26.8,28.6,74,W,8,W,12,0,10.1
7/12/1990,31.4,26.8,28.8,73,W,7,W,10,0,10.7
7/13/1990,31,27.2,28.6,74,W,8,W,10,0,6.7
7/14/1990,31.2,27.2,28.7,76,W,6,W,8,0,7.3
7/15/1990,31.2,26.6,29,76,W,10,WSW,13,0,8.4
7/16/1990,30.8,24.6,28.7,74,WSW,10,WNW,30,3.5,10.3
7/17/1990,31,27.4,28.9,77,W,10,W,13,0.1,8.9
7/18/1990,31.4,26.8,28.5,75,VRB,4,W,6,0,2.4
7/19/1990,31.2,26.4,29,71,VRB,5,WSW,6,0,9.7
7/20/1990,31.5,26.8,28.8,72,VRB,6,W,10,0,10.8
7/21/1990,31.2,26.2,28.9,75,W,9,W,11,0,9.3
7/22/1990,31.4,24.4,29,77,WNW,13,WNW,23,2.4,11
7/23/1990,30.6,21.4,28.6,77,WNW,14,SW,26,36.5,9.7
7/24/1990,29,22.2,26.3,79,NW,6,W,43,8.9,1.6
7/25/1990,30.6,27,28.4,78,WNW,12,W,14,0,10.3
7/26/1990,30.4,22,28.1,77,NW,11,NW,40,12.6,8.5
7/27/1990,30,27.6,28.6,76,NW,17,NW,20,0,11
7/28/1990,30.4,27.4,28.9,76,NW,16,NW,25,0,10.8
7/29/1990,30,23.8,27.9,83,NW,19,WNW,45,8.9,9.9
7/30/1990,30,27.6,28.9,79,NW,19,NW,25,0,9.3
7/31/1990,29.8,26.2,28.7,79,NW,20,NW,25,0,5.6
8/1/1990,30.4,23.6,27.9,84,NW,19,WNW,42,6.5,8.1
8/2/1990,30.6,27.2,28.9,83,WNW,19,NW,21,0,10.8
8/3/1990,29.8,27,28.7,84,NW,18,WNW,20,0,7.8
8/4/1990,30.2,27.4,28.8,84,NW,18,NW,27,0,8.8
8/5/1990,30,23.3,27.8,82,NW,21,NW,43,80.7,6.7
8/6/1990,28.8,25.2,27.2,81,W,20,W,33,0.6,3.3
8/7/1990,29.6,26.4,28.1,77,W,18,WNW,21,0,6.2
8/8/1990,29,21.6,27.2,81,WNW,18,NNW,33,17.1,2.2
8/9/1990,30.4,25.2,27.8,79,W,17,W,31,0.2,7.5
8/10/1990,30.2,27.4,28.3,77,W,16,W,21,0,10
8/11/1990,30.9,27.4,28,77,W,11,WNW,33,5.1,9.5
8/12/1990,30.2,27,28.1,79,WNW,17,WNW,40,0,7.6
8/13/1990,30.4,24.4,28.5,77,W,11,W,15,0,10.2
8/14/1990,30.5,24.4,28.4,76,W,9,W,13,0,8.4
8/15/1990,31,26,28.8,75,WNW,9,WNW,10,0,8.8
8/16/1990,30.4,27.2,28.8,75,NW,12,NW,16,0,10.9
8/17/1990,29.6,26,28.2,82,WNW,10,WNW,37,0.9,2.9
8/18/1990,30.6,26.6,28.6,81,NW,12,WNW,28,1.1,9
8/19/1990,30.6,26.4,28.7,80,NW,13,NW,16,0,10.9
8/20/1990,31,27,28.8,79,WNW,8,WNW,12,0,11.2
8/21/1990,30.6,27,28.5,79,NW,10,NW,12,0,6.3
8/22/1990,30.6,26.2,28.7,77,NNW,7,NW,10,0,10.6
8/23/1990,31.2,26.6,28.9,77,NW,8,W,11,0.4,11.4
8/24/1990,31.4,27,28.8,79,WNW,8,WNW,11,0,10.2
8/25/1990,31,26,28.9,76,NW,8,NW,10,1,11.5
8/26/1990,31.6,27,28.8,77,NW,12,NW,16,0,9
8/27/1990,31.1,27.2,28.8,77,NW,10,NNW,12,0,10.2
8/28/1990,30.6,26.2,28.7,79,NW,12,W,18,0,7.8
