island,atoll_official,population,atoll_local_name,concat
Velidhoo,Noonu Atoll,1832,Miladhunmadulu Dhekunuburi,"Velidhoo, Noonu Atoll"
Agolhitheemu,Raa Atoll,381,Maalhosmadulu Uthuruburi,"Agolhitheemu, Raa Atoll"
Alifushi,Raa Atoll,1859,Maalhosmadulu Uthuruburi,"Alifushi, Raa Atoll"
Dhuvaafaru,Raa Atoll,3321,Maalhosmadulu Uthuruburi,"Dhuvaafaru, Raa Atoll"
Fainu,Raa Atoll,423,Maalhosmadulu Uthuruburi,"Fainu, Raa Atoll"
Hulhudhuffaaru,Raa Atoll,1228,Maalhosmadulu Uthuruburi,"Hulhudhuffaaru, Raa Atoll"
Iguraidhoo,Raa Atoll,1278,Maalhosmadulu Uthuruburi,"Iguraidhoo, Raa Atoll"
Innamaadhoo,Raa Atoll,663,Maalhosmadulu Uthuruburi,"Innamaadhoo, Raa Atoll"
Kinolhas,Raa Atoll,543,Maalhosmadulu Uthuruburi,"Kinolhas, Raa Atoll"
Maakurathu,Raa Atoll,956,Maalhosmadulu Uthuruburi,"Maakurathu, Raa Atoll"
Maduvvari,Raa Atoll,1760,Maalhosmadulu Uthuruburi,"Maduvvari, Raa Atoll"
Meedhoo,Raa Atoll,1872,Maalhosmadulu Uthuruburi,"Meedhoo, Raa Atoll"
Rasgetheemu,Raa Atoll,537,Maalhosmadulu Uthuruburi,"Rasgetheemu, Raa Atoll"
Rasmaadhoo,Raa Atoll,554,Maalhosmadulu Uthuruburi,"Rasmaadhoo, Raa Atoll"
Ugoofaaru,Raa Atoll,1754,Maalhosmadulu Uthuruburi,"Ugoofaaru, Raa Atoll"
Vaadhoo,Raa Atoll,452,Maalhosmadulu Uthuruburi,"Vaadhoo, Raa Atoll"
Dharavandhoo,Baa Atoll,997,Maalhosmadulu Dhekunuburi,"Dharavandhoo, Baa Atoll"
Dhonfanu,Baa Atoll,398,Maalhosmadulu Dhekunuburi,"Dhonfanu, Baa Atoll"
Eydhafushi,Baa Atoll,2581,Maalhosmadulu Dhekunuburi,"Eydhafushi, Baa Atoll"
Fehendhoo,Baa Atoll,198,Maalhosmadulu Dhekunuburi,"Fehendhoo, Baa Atoll"
Fulhadhoo,Baa Atoll,341,Maalhosmadulu Dhekunuburi,"Fulhadhoo, Baa Atoll"
Goidhoo,Baa Atoll,583,Maalhosmadulu Dhekunuburi,"Goidhoo, Baa Atoll"
Hithaadhoo,Baa Atoll,744,Maalhosmadulu Dhekunuburi,"Hithaadhoo, Baa Atoll"
Kamadhoo,Baa Atoll,552,Maalhosmadulu Dhekunuburi,"Kamadhoo, Baa Atoll"
Kendhoo,Baa Atoll,1002,Maalhosmadulu Dhekunuburi,"Kendhoo, Baa Atoll"
