adm1_pcode,atoll_official,island,adm2_en,adm2_pcode,local_names,concat
MV003,Shaviyani Atoll,Noomaraa,Noomaraa,MV003002,Shaviyani (Sh),"Noomaraa, Shaviyani (Sh)"
MV003,Shaviyani Atoll,Maakandoodhoo,Maakan'doodhoo,MV003009,Shaviyani (Sh),"Maakandoodhoo, Shaviyani (Sh)"
MV004,Noonu Atoll,Fodhdhoo,Fohdhoo,MV004012,Noonu (N),"Fodhdhoo, Noonu (N)"
MV004,Noonu Atoll,Hebadhoo,Hen'badhoo,MV004001,Noonu (N),"Hebadhoo, Noonu (N)"
MV004,Noonu Atoll,Holhudhoo,Holhudhoo,MV004011,Noonu (N),"Holhudhoo, Noonu (N)"
MV004,Noonu Atoll,Kedhikolhudhoo,Ken'dhikulhudhoo,MV004002,Noonu (N),"Kedhikolhudhoo, Noonu (N)"
MV004,Noonu Atoll,Kudafari,Kudafari,MV004004,Noonu (N),"Kudafari, Noonu (N)"
MV004,Noonu Atoll,Landhoo,Landhoo,MV004005,Noonu (N),"Landhoo, Noonu (N)"
MV004,Noonu Atoll,Lhohi,Lhohi,MV004007,Noonu (N),"Lhohi, Noonu (N)"
MV004,Noonu Atoll,Maafaru,Maafaru,MV004006,Noonu (N),"Maafaru, Noonu (N)"
MV004,Noonu Atoll,Maalhendhoo,Maalhendhoo,MV004003,Noonu (N),"Maalhendhoo, Noonu (N)"
MV004,Noonu Atoll,Magoodhoo,Magoodhoo,MV004009,Noonu (N),"Magoodhoo, Noonu (N)"
MV004,Noonu Atoll,Manadhoo,Manadhoo,MV004010,Noonu (N),"Manadhoo, Noonu (N)"
MV004,Noonu Atoll,Miladhoo,Miladhoo,MV004008,Noonu (N),"Miladhoo, Noonu (N)"
MV004,Noonu Atoll,Velidhoo,Velidhoo,MV004013,Noonu (N),"Velidhoo, Noonu (N)"
MV004,Noonu Atoll,Kendhikulhudhoo,NA,MV004002,Noonu (N),"Kendhikulhudhoo, Noonu (N)"
MV005,Lhaviyani Atoll,Hinnavaru,Hinnavaru,MV005001,Lhaviyani (Lh),"Hinnavaru, Lhaviyani (Lh)"
MV005,Lhaviyani Atoll,Kurendhoo,Kurendhoo,MV005003,Lhaviyani (Lh),"Kurendhoo, Lhaviyani (Lh)"
MV005,Lhaviyani Atoll,Naifaru,Naifaru,MV005002,Lhaviyani (Lh),"Naifaru, Lhaviyani (Lh)"
