island,atoll_official,population,concat
Kadoodhoo,Thaa Atoll,912,"Kadoodhoo, Thaa Atoll"
Kalhaidhoo,Laamu Atoll,1310,"Kalhaidhoo, Laamu Atoll"
Kamadhoo,Baa Atoll,1104,"Kamadhoo, Baa Atoll"
Kanduhulhudhoo,Gaaf Alif Atoll,1238,"Kanduhulhudhoo, Gaaf Alif Atoll"
Kedhikolhudhoo,Noonu Atoll,3112,"Kedhikolhudhoo, Noonu Atoll"
Kelaa,Haa Alif Atoll,2230,"Kelaa, Haa Alif Atoll"
Kendhoo,Baa Atoll,2004,"Kendhoo, Baa Atoll"
Keyodhoo,Vaavu Atoll,1282,"Keyodhoo, Vaavu Atoll"
Kibidhoo,Thaa Atoll,1430,"Kibidhoo, Thaa Atoll"
Kihaadhoo,Baa Atoll,962,"Kihaadhoo, Baa Atoll"
Kinolhas,Raa Atoll,1086,"Kinolhas, Raa Atoll"
Kodey,Gaaf Alif Atoll,656,"Kodey, Gaaf Alif Atoll"
Kolamaafushi,Gaaf Alif Atoll,1272,"Kolamaafushi, Gaaf Alif Atoll"
Kolhufushi,Meemu Atoll,1586,"Kolhufushi, Meemu Atoll"
Komandoo,Shaviyani Atoll,1842,"Komandoo, Shaviyani Atoll"
Kudafari,Noonu Atoll,1256,"Kudafari, Noonu Atoll"
Kudahuvadhoo,Dhaal Atoll,6262,"Kudahuvadhoo, Dhaal Atoll"
Kudarikilu,Baa Atoll,1114,"Kudarikilu, Baa Atoll"
Kulhudhuffushi,Haa Dhaal Atoll,20262,"Kulhudhuffushi, Haa Dhaal Atoll"
Kumundhoo,Haa Dhaal Atoll,1994,"Kumundhoo, Haa Dhaal Atoll"
Kunahandhoo,Laamu Atoll,1202,"Kunahandhoo, Laamu Atoll"
Kunburudhoo,Alif Dhekunu Buri,1018,"Kunburudhoo, Alif Dhekunu Buri"
Kurendhoo,Lhaviyani Atoll,2342,"Kurendhoo, Lhaviyani Atoll"
Kurinbi,Haa Dhaal Atoll,984,"Kurinbi, Haa Dhaal Atoll"
Landhoo,Noonu Atoll,1514,"Landhoo, Noonu Atoll"
Lhaimagu,Shaviyani Atoll,1368,"Lhaimagu, Shaviyani Atoll"
Lhohi,Noonu Atoll,1384,"Lhohi, Noonu Atoll"
Maabaidhoo,Laamu Atoll,1130,"Maabaidhoo, Laamu Atoll"
Maaeboodhoo,Dhaal Atoll,1358,"Maaeboodhoo, Dhaal Atoll"
Maafaru,Noonu Atoll,1838,"Maafaru, Noonu Atoll"
Maafushi,Kaafu Atoll,8942,"Maafushi, Kaafu Atoll"
Maakurathu,Raa Atoll,1912,"Maakurathu, Raa Atoll"
Maalhendhoo,Noonu Atoll,1448,"Maalhendhoo, Noonu Atoll"
Maalhoss,Alif Uthuru Buri,1032,"Maalhoss, Alif Uthuru Buri"
Maalhoss,Baa Atoll,1144,"Maalhoss, Baa Atoll"
Maamendhoo,Gaaf Alif Atoll,2402,"Maamendhoo, Gaaf Alif Atoll"
Maamendhoo,Laamu Atoll,1758,"Maamendhoo, Laamu Atoll"
Maamigili,Alif Dhekunu Buri,5596,"Maamigili, Alif Dhekunu Buri"
Maarandhoo,Haa Alif Atoll,1336,"Maarandhoo, Haa Alif Atoll"
Maaugoodhoo,Shaviyani Atoll,1888,"Maaugoodhoo, Shaviyani Atoll"
Maavah,Laamu Atoll,2758,"Maavah, Laamu Atoll"
Madeveli,Gaaf Dhaal Atoll,2438,"Madeveli, Gaaf Dhaal Atoll"
Madifushi,Thaa Atoll,1716,"Madifushi, Thaa Atoll"
Maduvvari,Meemu Atoll,636,"Maduvvari, Meemu Atoll"
Maduvvari,Raa Atoll,3520,"Maduvvari, Raa Atoll"
Magoodhoo,Faafu Atoll,1404,"Magoodhoo, Faafu Atoll"
Magoodhoo,Noonu Atoll,610,"Magoodhoo, Noonu Atoll"
Mahibadhoo,Alif Dhekunu Buri,5160,"Mahibadhoo, Alif Dhekunu Buri"
Makunudhoo,Haa Dhaal Atoll,2530,"Makunudhoo, Haa Dhaal Atoll"
Manadhoo,Noonu Atoll,3490,"Manadhoo, Noonu Atoll"
Mandhoo,Alif Dhekunu Buri,836,"Mandhoo, Alif Dhekunu Buri"
Maradhoo,Seenu Atoll,5084,"Maradhoo, Seenu Atoll"
Maradhoo-Feydhoo,Seenu Atoll,2796,"Maradhoo-Feydhoo, Seenu Atoll"
Maroshi,Shaviyani Atoll,958,"Maroshi, Shaviyani Atoll"
Mathiveri,Alif Uthuru Buri,1756,"Mathiveri, Alif Uthuru Buri"
Meedhoo,Dhaal Atoll,2236,"Meedhoo, Dhaal Atoll"
Meedhoo,Raa Atoll,3744,"Meedhoo, Raa Atoll"
Meedhoo,Seenu Atoll,3784,"Meedhoo, Seenu Atoll"
Miladhoo,Noonu Atoll,1868,"Miladhoo, Noonu Atoll"
Milandhoo,Shaviyani Atoll,4188,"Milandhoo, Shaviyani Atoll"
Mulah,Meemu Atoll,2852,"Mulah, Meemu Atoll"
Mulhadhoo,Haa Alif Atoll,572,"Mulhadhoo, Haa Alif Atoll"
Muli,Meemu Atoll,1898,"Muli, Meemu Atoll"
Mundhoo,Laamu Atoll,352,"Mundhoo, Laamu Atoll"
Muraidhoo,Haa Alif Atoll,1068,"Muraidhoo, Haa Alif Atoll"
Naalaafushi,Meemu Atoll,860,"Naalaafushi, Meemu Atoll"
Nadallaa,Gaaf Dhaal Atoll,1162,"Nadallaa, Gaaf Dhaal Atoll"
Naifaru,Lhaviyani Atoll,9664,"Naifaru, Lhaviyani Atoll"
Naivaadhoo,Haa Dhaal Atoll,990,"Naivaadhoo, Haa Dhaal Atoll"
Narudhoo,Shaviyani Atoll,1088,"Narudhoo, Shaviyani Atoll"
Nellaidhoo,Haa Dhaal Atoll,2076,"Nellaidhoo, Haa Dhaal Atoll"
Neykurendhoo,Haa Dhaal Atoll,1282,"Neykurendhoo, Haa Dhaal Atoll"
Nilandhoo,Faafu Atoll,3646,"Nilandhoo, Faafu Atoll"
Nilandhoo,Gaaf Alif Atoll,1090,"Nilandhoo, Gaaf Alif Atoll"
Nolhivaram,Haa Dhaal Atoll,3970,"Nolhivaram, Haa Dhaal Atoll"
Nolhivaramfaru,Haa Dhaal Atoll,2508,"Nolhivaramfaru, Haa Dhaal Atoll"
Noomaraa,Shaviyani Atoll,742,"Noomaraa, Shaviyani Atoll"
Olhuvelifushi,Lhaviyani Atoll,1406,"Olhuvelifushi, Lhaviyani Atoll"
Omadhoo,Alif Dhekunu Buri,1826,"Omadhoo, Alif Dhekunu Buri"
Omadhoo,Thaa Atoll,834,"Omadhoo, Thaa Atoll"
Raimandhoo,Meemu Atoll,342,"Raimandhoo, Meemu Atoll"
Rakeedhoo,Vaavu Atoll,152,"Rakeedhoo, Vaavu Atoll"
Rasdhoo,Alif Uthuru Buri,2564,"Rasdhoo, Alif Uthuru Buri"
Rasgetheemu,Raa Atoll,1074,"Rasgetheemu, Raa Atoll"
Rasmaadhoo,Raa Atoll,1108,"Rasmaadhoo, Raa Atoll"
Rathafandhoo,Gaaf Dhaal Atoll,862,"Rathafandhoo, Gaaf Dhaal Atoll"
Ribudhoo,Dhaal Atoll,632,"Ribudhoo, Dhaal Atoll"
Thakandhoo,Haa Alif Atoll,558,"Thakandhoo, Haa Alif Atoll"
Thimarafushi,Thaa Atoll,2458,"Thimarafushi, Thaa Atoll"
Thinadhoo,Gaaf Dhaal Atoll,12434,"Thinadhoo, Gaaf Dhaal Atoll"
Thinadhoo,Vaavu Atoll,516,"Thinadhoo, Vaavu Atoll"
Thoddoo,Alif Uthuru Buri,3848,"Thoddoo, Alif Uthuru Buri"
Thulhaadhoo,Baa Atoll,3250,"Thulhaadhoo, Baa Atoll"
Thulusdhoo,Kaafu Atoll,3602,"Thulusdhoo, Kaafu Atoll"
Thurakunu,Haa Alif Atoll,854,"Thurakunu, Haa Alif Atoll"
Ugoofaaru,Raa Atoll,3508,"Ugoofaaru, Raa Atoll"
