atoll_official,atoll_local_names,indicator,value,range,indicator2,value2,range2
Meemu Atoll,Meemu (M),NEET rate (18-35 years) (%),12.408399137067777,0.11679007109375641,NEET rate (18-35 years) (%),12.408399137067777,0.11679007109375641
Meemu Atoll,Meemu (M),Population density,2269.9270907009377,0.2901802851539776,Population density,2269.9270907009377,0.2901802851539776
Meemu Atoll,Meemu (M),Sex Ratio (males per 100 female),104.76703603854651,0.3486828042102594,Sex Ratio (males per 100 female),104.76703603854651,0.3486828042102594
Meemu Atoll,Meemu (M),Unemployment rate (%),2.089480163081011,0,Unemployment rate (%),2.089480163081011,0
Meemu Atoll,Meemu (M),Youth unemployment rate (15-24 years),3.86088555232112,0.017024921334234576,Youth unemployment rate (15-24 years),3.86088555232112,0.017024921334234576
Meemu Atoll,Meemu (M),Youth unemployment rate (18-35years),2.7408286927167103,0.1294478250922589,Youth unemployment rate (18-35years),2.7408286927167103,0.1294478250922589
Noonu Atoll,Miladhunmadulu Dhekunuburi,Aged-Dependency Ratio,10.209580367517864,0.3180727825081588,Aged-Dependency Ratio,10.209580367517864,0.3180727825081588
Noonu Atoll,Miladhunmadulu Dhekunuburi,Child Dependency Ratio,52.46832248242294,0.643787561814751,Child Dependency Ratio,52.46832248242294,0.643787561814751
Noonu Atoll,Miladhunmadulu Dhekunuburi,Combined rate of unemployment and potential labour force (%),15.764056243734421,0.5545625860443756,Combined rate of unemployment and potential labour force (%),15.764056243734421,0.5545625860443756
Noonu Atoll,Miladhunmadulu Dhekunuburi,Dependency Ratio,62.67790284994082,0.6533715486137517,Dependency Ratio,62.67790284994082,0.6533715486137517
Noonu Atoll,Miladhunmadulu Dhekunuburi,Employment-to-population ratio (%),62.4005253654899,0.4586017540892221,Employment-to-population ratio (%),62.4005253654899,0.4586017540892221
Noonu Atoll,Miladhunmadulu Dhekunuburi,Growth Rate ( 2014 to 2022),1.30519592524588,0.7877004682334908,Growth Rate ( 2014 to 2022),1.30519592524588,0.7877004682334908
Noonu Atoll,Miladhunmadulu Dhekunuburi,Inactivity rate (%),34.90079742708444,0.605095858068296,Inactivity rate (%),34.90079742708444,0.605095858068296
Noonu Atoll,Miladhunmadulu Dhekunuburi,Labour force participation rate (%),65.09920257291546,0.3949041419317037,Labour force participation rate (%),65.09920257291546,0.3949041419317037
Noonu Atoll,Miladhunmadulu Dhekunuburi,NEET rate (15-24 years) (%),22.312244004968964,0.4903515144431875,NEET rate (15-24 years) (%),22.312244004968964,0.4903515144431875
Noonu Atoll,Miladhunmadulu Dhekunuburi,NEET rate (18-35 years) (%),17.691016189998763,0.6185676912011473,NEET rate (18-35 years) (%),17.691016189998763,0.6185676912011473
Noonu Atoll,Miladhunmadulu Dhekunuburi,Population density,1894.5587125004793,0.18487688763803314,Population density,1894.5587125004793,0.18487688763803314
Noonu Atoll,Miladhunmadulu Dhekunuburi,Sex Ratio (males per 100 female),89.31306501912876,0.10345958290389011,Sex Ratio (males per 100 female),89.31306501912876,0.10345958290389011
Noonu Atoll,Miladhunmadulu Dhekunuburi,Unemployment rate (%),4.266879714029941,0.3049833665303308,Unemployment rate (%),4.266879714029941,0.3049833665303308
Noonu Atoll,Miladhunmadulu Dhekunuburi,Youth unemployment rate (15-24 years),8.777704630239185,0.3872541963719906,Youth unemployment rate (15-24 years),8.777704630239185,0.3872541963719906
Noonu Atoll,Miladhunmadulu Dhekunuburi,Youth unemployment rate (18-35years),3.95454784978945,0.2717841989364416,Youth unemployment rate (18-35years),3.95454784978945,0.2717841989364416
Raa Atoll,Maalhosmadulu Uthuruburi,Aged-Dependency Ratio,10.929423548175624,0.3796638924490521,Aged-Dependency Ratio,10.929423548175624,0.3796638924490521
Raa Atoll,Maalhosmadulu Uthuruburi,Child Dependency Ratio,51.572472604884965,0.6140056683789933,Child Dependency Ratio,51.572472604884965,0.6140056683789933
Raa Atoll,Maalhosmadulu Uthuruburi,Combined rate of unemployment and potential labour force (%),17.329214551271104,0.7154572509998428,Combined rate of unemployment and potential labour force (%),17.329214551271104,0.7154572509998428
Raa Atoll,Maalhosmadulu Uthuruburi,Dependency Ratio,62.5018961530606,0.6465520552974221,Dependency Ratio,62.5018961530606,0.6465520552974221
Raa Atoll,Maalhosmadulu Uthuruburi,Employment-to-population ratio (%),59.67722441292075,0.33742210200305717,Employment-to-population ratio (%),59.67722441292075,0.33742210200305717
Raa Atoll,Maalhosmadulu Uthuruburi,Growth Rate ( 2014 to 2022),1.85465410254031,1,Growth Rate ( 2014 to 2022),1.85465410254031,1
Raa Atoll,Maalhosmadulu Uthuruburi,Inactivity rate (%),37.46688509489333,0.7351610267433765,Inactivity rate (%),37.46688509489333,0.7351610267433765
Raa Atoll,Maalhosmadulu Uthuruburi,Labour force participation rate (%),62.533114905106586,0.2648389732566239,Labour force participation rate (%),62.533114905106586,0.2648389732566239
Raa Atoll,Maalhosmadulu Uthuruburi,NEET rate (15-24 years) (%),25.412835857784955,0.7099694856767368,NEET rate (15-24 years) (%),25.412835857784955,0.7099694856767368
Raa Atoll,Maalhosmadulu Uthuruburi,NEET rate (18-35 years) (%),18.755098532515976,0.719641212161812,NEET rate (18-35 years) (%),18.755098532515976,0.719641212161812
Raa Atoll,Maalhosmadulu Uthuruburi,Population density,2704.472430028963,0.4120848015262204,Population density,2704.472430028963,0.4120848015262204
Raa Atoll,Maalhosmadulu Uthuruburi,Sex Ratio (males per 100 female),95.20503647696147,0.19695323698926956,Sex Ratio (males per 100 female),95.20503647696147,0.19695323698926956
Raa Atoll,Maalhosmadulu Uthuruburi,Unemployment rate (%),4.660246871303174,0.3600814030185686,Unemployment rate (%),4.660246871303174,0.3600814030185686
Raa Atoll,Maalhosmadulu Uthuruburi,Youth unemployment rate (15-24 years),8.215247365315095,0.3449019881388702,Youth unemployment rate (15-24 years),8.215247365315095,0.3449019881388702
Raa Atoll,Maalhosmadulu Uthuruburi,Youth unemployment rate (18-35years),3.2264455927648497,0.18639753065430315,Youth unemployment rate (18-35years),3.2264455927648497,0.18639753065430315
Seenu Atoll,Addu Atholhu,Aged-Dependency Ratio,14.117943808524782,0.6524795656134257,Aged-Dependency Ratio,14.117943808524782,0.6524795656134257
Seenu Atoll,Addu Atholhu,Child Dependency Ratio,40.79968763808998,0.2558720771023435,Child Dependency Ratio,40.79968763808998,0.2558720771023435
Seenu Atoll,Addu Atholhu,Combined rate of unemployment and potential labour force (%),20.09720221307572,1,Combined rate of unemployment and potential labour force (%),20.09720221307572,1
Seenu Atoll,Addu Atholhu,Dependency Ratio,54.91763144661479,0.3526948135466729,Dependency Ratio,54.91763144661479,0.3526948135466729
Seenu Atoll,Addu Atholhu,Employment-to-population ratio (%),52.09425222259441,0,Employment-to-population ratio (%),52.09425222259441,0
Seenu Atoll,Addu Atholhu,Growth Rate ( 2014 to 2022),0.577067881606651,0.5063665121317885,Growth Rate ( 2014 to 2022),0.577067881606651,0.5063665121317885
Seenu Atoll,Addu Atholhu,Inactivity rate (%),42.69195826514937,1,Inactivity rate (%),42.69195826514937,1
Seenu Atoll,Addu Atholhu,Labour force participation rate (%),57.30804173485054,0,Labour force participation rate (%),57.30804173485054,0
Seenu Atoll,Addu Atholhu,NEET rate (15-24 years) (%),25.65024206013967,0.726785200544868,NEET rate (15-24 years) (%),25.65024206013967,0.726785200544868
Seenu Atoll,Addu Atholhu,NEET rate (18-35 years) (%),21.706661245209503,1,NEET rate (18-35 years) (%),21.706661245209503,1
Seenu Atoll,Addu Atholhu,Population density,2266.7056003121534,0.2892765492435893,Population density,2266.7056003121534,0.2892765492435893
Seenu Atoll,Addu Atholhu,Sex Ratio (males per 100 female),92.362553486693,0.15184878878586816,Sex Ratio (males per 100 female),92.362553486693,0.15184878878586816
Seenu Atoll,Addu Atholhu,Unemployment rate (%),9.228884438534788,1,Unemployment rate (%),9.228884438534788,1
Seenu Atoll,Addu Atholhu,Youth unemployment rate (15-24 years),16.915257385582997,1,Youth unemployment rate (15-24 years),16.915257385582997,1
Seenu Atoll,Addu Atholhu,Youth unemployment rate (18-35years),10.164130434782606,1,Youth unemployment rate (18-35years),10.164130434782606,1
Shaviyani Atoll,Miladhunmadulu Uthuruburi,Aged-Dependency Ratio,11.396795009134962,0.4196530564901412,Aged-Dependency Ratio,11.396795009134962,0.4196530564901412
Shaviyani Atoll,Miladhunmadulu Uthuruburi,Child Dependency Ratio,54.353614830666785,0.7064627680278229,Child Dependency Ratio,54.353614830666785,0.7064627680278229
Shaviyani Atoll,Miladhunmadulu Uthuruburi,Combined rate of unemployment and potential labour force (%),18.14174170842491,0.7989831691692519,Combined rate of unemployment and potential labour force (%),18.14174170842491,0.7989831691692519
Shaviyani Atoll,Miladhunmadulu Uthuruburi,Dependency Ratio,65.75040983980179,0.772417819313282,Dependency Ratio,65.75040983980179,0.772417819313282
Shaviyani Atoll,Miladhunmadulu Uthuruburi,Employment-to-population ratio (%),58.022616945549025,0.26379646872660234,Employment-to-population ratio (%),58.022616945549025,0.26379646872660234
Shaviyani Atoll,Miladhunmadulu Uthuruburi,Growth Rate ( 2014 to 2022),0.611320569116589,0.5196010581274663,Growth Rate ( 2014 to 2022),0.611320569116589,0.5196010581274663
Shaviyani Atoll,Miladhunmadulu Uthuruburi,Inactivity rate (%),39.063106379640374,0.8160673781700419,Inactivity rate (%),39.063106379640374,0.8160673781700419
Shaviyani Atoll,Miladhunmadulu Uthuruburi,Labour force participation rate (%),60.936893620359555,0.1839326218299592,Labour force participation rate (%),60.936893620359555,0.1839326218299592
Shaviyani Atoll,Miladhunmadulu Uthuruburi,NEET rate (15-24 years) (%),23.502718501322995,0.5746739941843061,NEET rate (15-24 years) (%),23.502718501322995,0.5746739941843061
Shaviyani Atoll,Miladhunmadulu Uthuruburi,NEET rate (18-35 years) (%),19.201110767499372,0.7620063799501102,NEET rate (18-35 years) (%),19.201110767499372,0.7620063799501102
Shaviyani Atoll,Miladhunmadulu Uthuruburi,Population density,1569.6790659663375,0.09373726973032932,Population density,1569.6790659663375,0.09373726973032932
Shaviyani Atoll,Miladhunmadulu Uthuruburi,Sex Ratio (males per 100 female),85.65522432929856,0.04541705934417739,Sex Ratio (males per 100 female),85.65522432929856,0.04541705934417739
Shaviyani Atoll,Miladhunmadulu Uthuruburi,Unemployment rate (%),4.895897998980078,0.3930885165794442,Unemployment rate (%),4.895897998980078,0.3930885165794442
Shaviyani Atoll,Miladhunmadulu Uthuruburi,Youth unemployment rate (15-24 years),12.623578843301999,0.6768428916695916,Youth unemployment rate (15-24 years),12.623578843301999,0.6768428916695916
Shaviyani Atoll,Miladhunmadulu Uthuruburi,Youth unemployment rate (18-35years),5.397244394527254,0.44097341667176315,Youth unemployment rate (18-35years),5.397244394527254,0.44097341667176315
Thaa Atoll,Kolhumadulu Atholhu,Aged-Dependency Ratio,10.704561257573038,0.36042426021497315,Aged-Dependency Ratio,10.704561257573038,0.36042426021497315
Thaa Atoll,Kolhumadulu Atholhu,Child Dependency Ratio,52.01440839052685,0.6286975099513852,Child Dependency Ratio,52.01440839052685,0.6286975099513852
Thaa Atoll,Kolhumadulu Atholhu,Combined rate of unemployment and potential labour force (%),14.274094472169283,0.40139795159297603,Combined rate of unemployment and potential labour force (%),14.274094472169283,0.40139795159297603
Thaa Atoll,Kolhumadulu Atholhu,Dependency Ratio,62.71896964809995,0.6549627082714995,Dependency Ratio,62.71896964809995,0.6549627082714995
Thaa Atoll,Kolhumadulu Atholhu,Employment-to-population ratio (%),64.24864068130212,0.5408379721517029,Employment-to-population ratio (%),64.24864068130212,0.5408379721517029
Thaa Atoll,Kolhumadulu Atholhu,Growth Rate ( 2014 to 2022),0.353623331123055,0.42003205501800156,Growth Rate ( 2014 to 2022),0.353623331123055,0.42003205501800156
Thaa Atoll,Kolhumadulu Atholhu,Inactivity rate (%),32.943124579367954,0.5058689094557852,Inactivity rate (%),32.943124579367954,0.5058689094557852
Thaa Atoll,Kolhumadulu Atholhu,Labour force participation rate (%),67.05687542063195,0.49413109054421495,Labour force participation rate (%),67.05687542063195,0.49413109054421495
Thaa Atoll,Kolhumadulu Atholhu,NEET rate (15-24 years) (%),24.25273630261087,0.6277984929016371,NEET rate (15-24 years) (%),24.25273630261087,0.6277984929016371
Thaa Atoll,Kolhumadulu Atholhu,NEET rate (18-35 years) (%),16.39645561163566,0.49560183553014525,NEET rate (18-35 years) (%),16.39645561163566,0.49560183553014525
Thaa Atoll,Kolhumadulu Atholhu,Population density,1723.9026651959584,0.13700215276036354,Population density,1723.9026651959584,0.13700215276036354
Thaa Atoll,Kolhumadulu Atholhu,Sex Ratio (males per 100 female),95.509239150883,0.20178031732579405,Sex Ratio (males per 100 female),95.509239150883,0.20178031732579405
Thaa Atoll,Kolhumadulu Atholhu,Unemployment rate (%),4.2252592990870905,0.299153690364499,Unemployment rate (%),4.2252592990870905,0.299153690364499
Thaa Atoll,Kolhumadulu Atholhu,Youth unemployment rate (15-24 years),11.7955366965267,0.6144925308279362,Youth unemployment rate (15-24 years),11.7955366965267,0.6144925308279362
Thaa Atoll,Kolhumadulu Atholhu,Youth unemployment rate (18-35years),4.476566519261525,0.3330028458191546,Youth unemployment rate (18-35years),4.476566519261525,0.3330028458191546
Vaavu Atoll,Felidhe Atholhu,Aged-Dependency Ratio,12.711842045408591,0.5321709058841789,Aged-Dependency Ratio,12.711842045408591,0.5321709058841789
Vaavu Atoll,Felidhe Atholhu,Child Dependency Ratio,33.10296515024762,0,Child Dependency Ratio,33.10296515024762,0
Vaavu Atoll,Felidhe Atholhu,Combined rate of unemployment and potential labour force (%),10.369357551663917,0,Combined rate of unemployment and potential labour force (%),10.369357551663917,0
Vaavu Atoll,Felidhe Atholhu,Dependency Ratio,45.814807195656215,0,Dependency Ratio,45.814807195656215,0
Vaavu Atoll,Felidhe Atholhu,Employment-to-population ratio (%),74.56750499800873,1,Employment-to-population ratio (%),74.56750499800873,1
Vaavu Atoll,Felidhe Atholhu,Growth Rate ( 2014 to 2022),-0.733473024837127,0,Growth Rate ( 2014 to 2022),-0.733473024837127,0
Vaavu Atoll,Felidhe Atholhu,Inactivity rate (%),22.962712580477987,0,Inactivity rate (%),22.962712580477987,0
Vaavu Atoll,Felidhe Atholhu,Labour force participation rate (%),77.03728741952192,1,Labour force participation rate (%),77.03728741952192,1
Vaavu Atoll,Felidhe Atholhu,NEET rate (15-24 years) (%),18.166106023435848,0.19667648232579374,NEET rate (15-24 years) (%),18.166106023435848,0.19667648232579374
Vaavu Atoll,Felidhe Atholhu,NEET rate (18-35 years) (%),11.17885601587226,0,NEET rate (18-35 years) (%),11.17885601587226,0
Vaavu Atoll,Felidhe Atholhu,Population density,2758.627872716214,0.42727721633826954,Population density,2758.627872716214,0.42727721633826954
Vaavu Atoll,Felidhe Atholhu,Sex Ratio (males per 100 female),145.8130553125852,1,Sex Ratio (males per 100 female),145.8130553125852,1
Vaavu Atoll,Felidhe Atholhu,Unemployment rate (%),3.279519152183231,0.16668603474294524,Unemployment rate (%),3.279519152183231,0.16668603474294524
Vaavu Atoll,Felidhe Atholhu,Youth unemployment rate (15-24 years),6.8800191777538,0.2443612612874534,Youth unemployment rate (15-24 years),6.8800191777538,0.2443612612874534
Vaavu Atoll,Felidhe Atholhu,Youth unemployment rate (18-35years),3.254769464571625,0.1897191534388748,Youth unemployment rate (18-35years),3.254769464571625,0.1897191534388748
