Timestamp,max_temp_degC,min_temp_degC,mean_temp_degC,mean_humidity_percent,mean_wind_direction_compass,mean_wind_speed_kts,max_wind_direction_compass,max_wind_speed_kts,rainfall_mm,sunshine_hrs
3/24/1990,28.2,25.2,28.6,89,WSW,9,WSW,14,12.8,0.1
3/25/1990,31.8,27.1,28.7,80,SSW,9,S,12,0,10
3/26/1990,31.8,24.8,27.5,74,SSW,8,SSW,11,0,11
3/27/1990,31.4,24.6,28.3,78,VRB,6,SSW,10,0,6
3/28/1990,32.2,24,28.6,77,VRB,6,CALM,8,4.6,10.8
3/29/1990,30,25.9,28.2,83,SSE,8,WSW,14,1.3,2.4
3/30/1990,31.8,24.2,28,79,VRB,6,S,6,0,8
3/31/1990,31.8,25.6,26.4,79,E,6,W,14,0.5,10.4
4/1/1990,32.2,24.4,28.2,82,VRB,7,E,10,10.7,8.4
4/2/1990,31,24.1,27.6,82,SW,6,SW,6,1.2,8.8
4/3/1990,30,23.6,28.8,89,SW,7,WNW,11,28.3,1
4/4/1990,30.8,24.8,27.5,80,WSW,11,WSW,24,8.6,8.8
4/5/1990,29.8,25.2,27.6,85,WSW,7,WSW,13,3.7,0.2
4/6/1990,31.8,26.4,28.4,80,NNW,7,N,10,0,11
4/7/1990,31.6,22.6,28.8,87,WSW,14,SW,38,93.1,0
4/8/1990,29.2,23.6,29.2,82,WNW,13,WNW,25,8,0
4/9/1990,31.6,25.2,29.5,81,WNW,13,WNW,19,0.8,7.1
4/10/1990,31.2,25.8,28.9,79,WNW,11,WNW,14,0,9.4
4/11/1990,31.6,27.6,28.8,77,WNW,13,WNW,18,0,10.3
4/12/1990,31.4,27,29.4,76,NW,15,NW,30,0,10.5
4/13/1990,31.2,25.8,28.7,79,WNW,15,WNW,23,0,6.2
4/14/1990,31,23,28.7,79,WNW,11,WNW,13,0,9.8
4/15/1990,31.6,26.4,28.7,77,W,9,WNW,25,2.9,10
4/16/1990,32.2,25.4,28.7,82,WSW,11,WSW,24,3.2,8.5
4/17/1990,31.4,26.6,28.6,81,WSW,10,WSW,13,0,10
4/18/1990,31.2,26.9,28.7,79,SW,9,SW,10,0,10.5
4/19/1990,31.4,26.4,28.3,79,SSW,8,SSW,10,0,10.6
4/20/1990,31,26.6,27.9,77,SW,9,SSW,12,0,3.1
4/21/1990,31.4,26.6,28.5,76,SW,8,SW,10,0,10.8
4/22/1990,31.2,24.9,28.9,80,W,6,W,8,0,11.3
4/23/1990,31,24.3,28.9,78,WSW,6,WNW,8,0,10.5
4/24/1990,30.8,25,28.5,76,S,6,SSE,8,0,11.8
4/25/1990,31.6,26,28.4,76,S,6,SE,7,0,11.8
4/26/1990,31.6,24.9,28.2,75,NNE,6,NNE,7,0,11
4/27/1990,31.6,24.8,29.2,77,NNE,6,NNE,8,0,5
4/28/1990,32,25.1,28.8,80,NNE,6,NNE,7,0,9.6
4/29/1990,31.8,26.1,28.6,80,SSW,6,NNW,9,5,10.3
4/30/1990,31.8,24,28.5,77,S,7,S,10,0,8.8
5/1/1990,31.8,24.8,29.5,78,S,5,S,8,0,10.6
5/2/1990,32.4,24.8,28.8,78,ESE,5,S,7,0,11.2
5/3/1990,31.8,25.4,29.3,78,S,7,S,9,0,11.2
5/4/1990,32.2,27.4,29.7,74,SW,8,SW,10,0,10.3
5/5/1990,32.4,25.6,28.3,81,WSW,10,WSW,13,0,10.8
5/6/1990,32.4,27.4,28.2,76,SW,8,SW,11,0,10.1
5/7/1990,32.4,27.6,28.4,74,SW,10,SW,12,0,8.7
5/8/1990,32.2,24.8,28.1,80,SW,11,W,18,9,5.8
5/9/1990,30.6,24.4,29.1,84,W,15,WNW,28,6.4,7.2
5/10/1990,30,24.5,29.2,82,WNW,20,WNW,23,0.5,0.6
5/11/1990,29.8,25.4,29.5,84,WNW,17,WNW,28,6.7,1.4
5/12/1990,32.6,24.8,29.4,81,WNW,13,WNW,18,0,8.8
5/13/1990,31.8,27.9,29.2,81,WNW,11,WNW,14,0,6.5
5/14/1990,31.6,27,29.3,78,WSW,7,WNW,16,0,10.1
5/15/1990,32,27.4,29,76,WSW,7,WSW,29,0,10.1
5/16/1990,32.2,27.4,29.3,77,SSW,8,S,9,0,11.1
5/17/1990,32.4,26.6,29,76,SSW,10,SSW,11,0,11
5/18/1990,32.2,26.4,28.2,77,SSW,11,SSW,16,0,7.1
5/19/1990,32.4,27,28.6,68,SSW,11,SSW,12,0,8.1
5/20/1990,31.8,24.6,28.2,76,SSW,10,SSW,13,1.8,9.8
5/21/1990,32,24.8,28.4,80,SSW,5,S,7,0,9.9
5/22/1990,31,25.3,29,77,SSW,6,WSW,7,0,10.6
5/23/1990,30.8,25.8,27.9,79,SW,4,WSW,7,0,5.4
5/24/1990,32.2,26.6,27.4,83,S,7,S,13,0.3,7.1
5/25/1990,32.2,27.7,27.6,77,SE,9,S,11,0,10
5/26/1990,32.2,24.8,28.4,83,SSE,5,N,22,2.9,4.2
5/27/1990,31.2,23,29.1,85,NW,6,W,18,33.4,1.9
5/28/1990,31,23.6,27,84,SW,6,NW,28,31.8,9.7
5/29/1990,30.8,26.8,26.6,79,WSW,9,SW,11,0,10.4
5/30/1990,31.8,24.4,26.9,77,SSW,7,NNW,14,11.5,10.7
5/31/1990,30.2,24.5,26.7,86,W,9,W,18,7.9,0.3
6/1/1990,29.4,22.4,28.5,88,SSW,10,WNW,25,16.3,1.4
6/2/1990,28.6,22.8,28.5,87,SW,15,NNW,36,48.1,0
6/3/1990,28.8,24.7,28.2,87,WSW,8,NW,20,0,0.5
6/4/1990,30.8,26.8,25.5,78,SW,10,SW,12,0,8.6
6/5/1990,31.6,25.2,28.5,77,SW,9,SW,13,0,9.2
6/6/1990,31.4,24,28.7,79,S,6,S,12,17.3,8.8
6/7/1990,29,25.4,28.4,86,SW,8,WNW,22,6.9,0
6/8/1990,31,26,28.4,77,SSW,6,SW,13,0,10.1
6/9/1990,31,27.4,28.6,77,SSW,8,SSW,10,0,10
6/10/1990,30.8,25.2,28.3,76,SSW,7,SSW,9,0,10.8
6/11/1990,31.6,25.4,27.7,77,SW,7,SSW,10,0,10.4
6/12/1990,31.4,26,28.5,76,SSW,7,SSW,9,0,10.9
6/13/1990,30.8,25,27.6,77,SSW,7,WSW,12,0,8.4
6/14/1990,29.8,23.2,26.7,80,SW,7,WNW,24,5.1,3.4
6/15/1990,31.5,23.7,28.9,78,SSW,7,SW,10,2.6,7.3
6/16/1990,30.8,22.6,28.1,80,W,10,WNW,29,23.2,5.8
6/17/1990,29.4,24.2,26.8,83,WNW,14,WNW,27,3.9,3.7
6/18/1990,31.4,26.2,28.6,76,WNW,9,WNW,11,0.4,10.8
6/19/1990,31.6,23.6,28.6,81,S,6,S,8,8.9,4.9
6/20/1990,31,23.4,28.4,85,N,10,WNW,28,4.5,4.5
6/21/1990,31.5,26.1,28.3,79,NW,7,NW,8,1.3,7.7
6/22/1990,31.2,24.8,28.3,80,NW,6,NNW,10,0.8,6.8
6/23/1990,31,26,28.3,79,NW,7,SW,13,0,6.7
6/24/1990,30.8,24,28.1,78,NW,8,SSW,15,0.3,2
6/25/1990,30.6,25,26.3,79,S,6,SSW,7,0.9,6.6
6/26/1990,30.6,23.8,25.5,76,N,6,W,18,0,1.9
6/27/1990,31.8,23.8,26.6,81,SE,7,SW,10,5.8,8.8
6/28/1990,29.6,23.8,27.4,87,ESE,8,ESE,11,6.9,0
6/29/1990,28,21.4,28.1,92,SSE,8,S,22,84,0
6/30/1990,28.2,24.6,27.2,87,SE,7,SE,10,0.2,1.2
7/1/1990,29.6,24.8,27.1,82,VRB,6,WSW,12,11.2,3.2
7/2/1990,30.8,23,27.4,78,SSW,6,SSW,7,0,4.6
7/3/1990,30.5,22.8,28.1,81,SSW,6,SSW,8,0,4.2
7/4/1990,31,22.2,28.2,80,VRB,6,ESE,12,0.8,4.5
7/5/1990,30.8,24.2,28.1,79,S,5,S,7,0,7.2
7/6/1990,31.6,24.7,27.6,76,SE,8,SSE,9,0,10.2
7/7/1990,30.8,24.2,27.8,72,SE,7,SE,9,0,9.8
7/8/1990,32.4,22.2,27.9,75,ESE,6,SE,8,0,11.4
7/9/1990,31.2,23.6,27.5,80,SSE,6,S,8,0,10.8
7/10/1990,31.2,23.8,27.4,78,S,6,S,8,0,9.4
7/11/1990,31.4,23.2,27.6,79,ESE,6,SE,9,0,9.4
7/12/1990,30.6,23.9,28.1,81,WNW,6,WNW,8,1.4,6.2
7/13/1990,31.2,23.2,28.8,79,SE,6,SE,8,2.1,9.3
7/14/1990,31.6,22.6,28.2,78,SSW,6,SW,12,0,11.1
7/15/1990,31.4,25.6,27.5,78,SSW,7,SSW,9,0,10.4
7/16/1990,31.4,25.5,27.7,73,S,7,SSW,9,0,11.5
7/17/1990,31.4,23.8,27.8,76,SSW,7,SSW,9,0,10.3
7/18/1990,30.8,23.4,28.2,79,SSW,6,SSW,7,0,5.4
7/19/1990,31.6,22.8,27.6,69,ESE,6,SE,7,0,11.2
7/20/1990,31.6,23.4,27.3,79,S,6,SSW,7,0,10.9
7/21/1990,31.4,25.4,26,79,SSW,6,S,8,0,10.9
7/22/1990,30.8,23,26.3,72,SSW,6,WNW,6,0,11.5
7/23/1990,30.4,22.4,27.7,85,SW,6,SW,16,31.8,7.4
7/24/1990,29.9,22.7,26.7,87,WSW,8,WSW,17,5.7,2.8
7/25/1990,27.6,22.9,27.5,85,SE,6,SSW,10,2.8,1.7
7/26/1990,30.8,22.7,27.5,81,NNE,5,NNE,9,0,8.8
7/27/1990,30.6,22.3,27.4,87,WNW,10,NNW,29,10.8,9.8
7/28/1990,29.8,23.2,26.8,86,WSW,7,WSW,10,1.8,3.6
7/29/1990,30.4,23.4,27.6,84,SW,8,NW,18,2.8,8.1
7/30/1990,29.8,23.6,26.6,83,NW,16,NW,33,7.9,7.5
7/31/1990,29.4,22.4,25.8,87,WNW,14,WSW,29,29.2,0.3
8/1/1990,30.4,24.4,26.1,79,WSW,7,NW,14,0.2,5.4
8/2/1990,29.4,22.7,24.8,85,NW,7,SSW,25,11.1,1.3
8/3/1990,28.4,21.8,26.9,89,SW,9,NW,19,35.5,0
8/4/1990,29,22.8,27.3,86,WNW,12,WNW,24,4.9,3.1
8/5/1990,27.4,22,27.6,92,SSW,10,SSW,15,52.4,0
8/6/1990,29.4,24.4,26.4,80,SW,5,SSW,7,0.4,9
8/7/1990,30,23,27.1,77,SSW,6,SW,7,0,6.2
8/8/1990,30.6,24.9,27,77,S,7,S,8,0,10.3
8/9/1990,29.8,23.4,27.7,84,S,7,NNE,12,16.5,3.3
8/10/1990,29.8,22.4,28.3,81,SSE,7,WNW,14,9.6,1.1
8/11/1990,30.4,23.6,28.2,80,SSE,7,SSW,10,0,8.7
8/12/1990,30.4,25.4,27,79,SW,7,SSW,14,0,8.7
8/13/1990,30.6,25,27.2,77,S,9,S,11,0,8.3
8/14/1990,30.8,24.6,27.2,78,SSE,7,S,10,0,9.7
8/15/1990,30.6,23.4,27.9,82,SE,7,SE,12,1.8,6.1
8/16/1990,30.5,23.4,26.6,75,NNW,7,ENE,10,25.3,7.1
8/17/1990,29.8,24.3,27.1,85,NNE,10,NNE,13,0.9,8
8/18/1990,30.8,23.8,26.3,83,WNW,8,WNW,10,2.2,9.2
