indicator,island,atoll_official,atoll_local_names,population,value,value2,indicator2
* Area (in hectare),Agolhitheemu,Raa Atoll,Raa (R),Maldivians,39.839134,39.839134,* Area (in hectare)
* Area (in hectare),Alifushi,Raa Atoll,Raa (R),Maldivians,60.57001,60.57001,* Area (in hectare)
* Area (in hectare),Baarah,Haa Alif Atoll,Haa Alif (HA),Maldivians,249.955159,249.955159,* Area (in hectare)
* Area (in hectare),Badidhoo,Dhaal Atoll,Dhaalu (Dh),Maldivians,24.99915,24.99915,* Area (in hectare)
* Area (in hectare),Biledhdhoo,Faafu Atoll,Faafu (F),Maldivians,31.589802,31.589802,* Area (in hectare)
* Area (in hectare),Bilehffahi,Shaviyani Atoll,Shaviyani (Sh),Maldivians,66.519896,66.519896,* Area (in hectare)
* Area (in hectare),Bodufolhudhoo,Alif Uthuru Buri,Alif Alif (AA),Maldivians,12.492676,12.492676,* Area (in hectare)
* Area (in hectare),Buruni,Thaa Atoll,Thaa (Th),Maldivians,34.08479,34.08479,* Area (in hectare)
* Area (in hectare),Dhaandhoo,Gaaf Alif Atoll,Gaafu Alif (GA),Maldivians,31.558554,31.558554,* Area (in hectare)
* Area (in hectare),Dhabidhoo,Laamu Atoll,Laamu (L),Maldivians,53.918371,53.918371,* Area (in hectare)
* Area (in hectare),Dhangethi,Alif Dhekunu Buri,Alif Dhaal (ADh),Maldivians,30.166662,30.166662,* Area (in hectare)
* Area (in hectare),Dharaboodhoo,Faafu Atoll,Faafu (F),Maldivians,40.079694,40.079694,* Area (in hectare)
* Area (in hectare),Dharavandhoo,Baa Atoll,Baa (B),Maldivians,67.384564,67.384564,* Area (in hectare)
* Area (in hectare),Dhevvadhoo,Gaaf Alif Atoll,Gaafu Alif (GA),Maldivians,23.213563,23.213563,* Area (in hectare)
* Area (in hectare),Dhidhdhoo,Alif Dhekunu Buri,Alif Dhaal (ADh),Maldivians,20.305146,20.305146,* Area (in hectare)
* Area (in hectare),Dhidhdhoo,Haa Alif Atoll,Haa Alif (HA),Maldivians,96.542888,96.542888,* Area (in hectare)
* Area (in hectare),Dhiffushi,Kaafu Atoll,Kaafu (K),Maldivians,27.057046,27.057046,* Area (in hectare)
* Area (in hectare),Dhiggaru,Meemu Atoll,Meemu (M),Maldivians,14.454305,14.454305,* Area (in hectare)
* Area (in hectare),Dhigurah,Alif Dhekunu Buri,Alif Dhaal (ADh),Maldivians,55.048316,55.048316,* Area (in hectare)
* Area (in hectare),Dhiyamigili,Thaa Atoll,Thaa (Th),Maldivians,29.337474,29.337474,* Area (in hectare)
* Area (in hectare),Dhonfanu,Baa Atoll,Baa (B),Maldivians,17.30447,17.30447,* Area (in hectare)
* Area (in hectare),Dhuvaafaru,Raa Atoll,Raa (R),Maldivians,54.651127,54.651127,* Area (in hectare)
* Area (in hectare),Eydhafushi,Baa Atoll,Baa (B),Maldivians,56.347201,56.347201,* Area (in hectare)
* Area (in hectare),Fainu,Raa Atoll,Raa (R),Maldivians,61.795385,61.795385,* Area (in hectare)
* Area (in hectare),Fares,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),Maldivians,48.711192,48.711192,* Area (in hectare)
* Area (in hectare),Feeali,Faafu Atoll,Faafu (F),Maldivians,17.678783,17.678783,* Area (in hectare)
* Area (in hectare),Feevah,Shaviyani Atoll,Shaviyani (Sh),Maldivians,87.56318,87.56318,* Area (in hectare)
* Area (in hectare),Fehendhoo,Baa Atoll,Baa (B),Maldivians,25.167163,25.167163,* Area (in hectare)
* Area (in hectare),Felidhoo,Vaavu Atoll,Vaavu (V),Maldivians,15.75044,15.75044,* Area (in hectare)
* Area (in hectare),Fenfushi,Alif Dhekunu Buri,Alif Dhaal (ADh),Maldivians,25.640855,25.640855,* Area (in hectare)
* Area (in hectare),Feridhoo,Alif Uthuru Buri,Alif Alif (AA),Maldivians,45.079816,45.079816,* Area (in hectare)
* Area (in hectare),Feydhoo,Seenu Atoll,Addu (S),Maldivians,122.343602,122.343602,* Area (in hectare)
* Area (in hectare),Feydhoo,Shaviyani Atoll,Shaviyani (Sh),Maldivians,90.27882,90.27882,* Area (in hectare)
* Area (in hectare),Filladhoo,Haa Alif Atoll,Haa Alif (HA),Maldivians,266.042832,266.042832,* Area (in hectare)
* Area (in hectare),Finey,Haa Dhaal Atoll,Haa Dhaalu (HDh),Maldivians,117.528869,117.528869,* Area (in hectare)
* Area (in hectare),Fiyoari,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),Maldivians,80.7816,80.7816,* Area (in hectare)
* Area (in hectare),Foakaidhoo,Shaviyani Atoll,Shaviyani (Sh),Maldivians,67.814448,67.814448,* Area (in hectare)
* Area (in hectare),Foammulah,Gnaviyani Atoll,Gnaviyani (Gn),Maldivians,495.047469,495.047469,* Area (in hectare)
* Area (in hectare),Fodhdhoo,Noonu Atoll,Noonu (N),Maldivians,26.177042,26.177042,* Area (in hectare)
* Area (in hectare),Fonadhoo,Laamu Atoll,Laamu (L),Maldivians,171.614648,171.614648,* Area (in hectare)
* Area (in hectare),Fulhadhoo,Baa Atoll,Baa (B),Maldivians,29.271955,29.271955,* Area (in hectare)
* Area (in hectare),Fulidhoo,Vaavu Atoll,Vaavu (V),Maldivians,11.910502,11.910502,* Area (in hectare)
* Area (in hectare),Funadhoo,Shaviyani Atoll,Shaviyani (Sh),Maldivians,122.498119,122.498119,* Area (in hectare)
* Area (in hectare),Gaadhiffushi,Thaa Atoll,Thaa (Th),Maldivians,14.144367,14.144367,* Area (in hectare)
* Area (in hectare),Gaafaru,Kaafu Atoll,Kaafu (K),Maldivians,19.474938,19.474938,* Area (in hectare)
* Area (in hectare),Gadhdhoo,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),Maldivians,58.664974,58.664974,* Area (in hectare)
* Area (in hectare),Gamu,Laamu Atoll,Laamu (L),Maldivians,608.668247,608.668247,* Area (in hectare)
* Area (in hectare),Gemanafushi,Gaaf Alif Atoll,Gaafu Alif (GA),Maldivians,56.791277,56.791277,* Area (in hectare)
* Area (in hectare),Goidhoo,Baa Atoll,Baa (B),Maldivians,162.944662,162.944662,* Area (in hectare)
* Area (in hectare),Goidhoo,Shaviyani Atoll,Shaviyani (Sh),Maldivians,100.616365,100.616365,* Area (in hectare)
* Area (in hectare),Gulhi,Kaafu Atoll,Kaafu (K),Maldivians,11.283389,11.283389,* Area (in hectare)
* Area (in hectare),Guraidhoo,Kaafu Atoll,Kaafu (K),Maldivians,22.48401,22.48401,* Area (in hectare)
* Area (in hectare),Guraidhoo,Thaa Atoll,Thaa (Th),Maldivians,76.475535,76.475535,* Area (in hectare)
* Area (in hectare),Hanghghaameedhoo,Alif Dhekunu Buri,Alif Dhaal (ADh),Maldivians,20.310461,20.310461,* Area (in hectare)
* Area (in hectare),Hanimaadhoo,Haa Dhaal Atoll,Haa Dhaalu (HDh),Maldivians,304.395856,304.395856,* Area (in hectare)
* Area (in hectare),Hebadhoo,Noonu Atoll,Noonu (N),Maldivians,13.83568,13.83568,* Area (in hectare)
* Area (in hectare),Himandhoo,Alif Uthuru Buri,Alif Alif (AA),Maldivians,20.958977,20.958977,* Area (in hectare)
* Area (in hectare),Himmafushi,Kaafu Atoll,Kaafu (K),Maldivians,66.19051,66.19051,* Area (in hectare)
* Area (in hectare),Hinnavaru,Lhaviyani Atoll,Lhaviyani (Lh),Maldivians,54.066987,54.066987,* Area (in hectare)
* Area (in hectare),Hirilandhoo,Thaa Atoll,Thaa (Th),Maldivians,30.088315,30.088315,* Area (in hectare)
* Area (in hectare),Hirimaradhoo,Haa Dhaal Atoll,Haa Dhaalu (HDh),Maldivians,46.602385,46.602385,* Area (in hectare)
* Area (in hectare),Hithaadhoo,Baa Atoll,Baa (B),Maldivians,31.740218,31.740218,* Area (in hectare)
* Area (in hectare),Hithadhoo,Seenu Atoll,Addu (S),Maldivians,328.2838405,328.2838405,* Area (in hectare)
* Area (in hectare),Hoadedhdhoo,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),Maldivians,110.8848,110.8848,* Area (in hectare)
* Area (in hectare),Hoarafushi,Haa Alif Atoll,Haa Alif (HA),Maldivians,69.022371,69.022371,* Area (in hectare)
* Area (in hectare),Holhudhoo,Noonu Atoll,Noonu (N),Maldivians,50.492919,50.492919,* Area (in hectare)
* Area (in hectare),Hulhudheli,Dhaal Atoll,Dhaalu (Dh),Maldivians,21.534249,21.534249,* Area (in hectare)
* Area (in hectare),Hulhudhoo,Seenu Atoll,Addu (S),Maldivians,134.995153,134.995153,* Area (in hectare)
* Area (in hectare),Hulhudhuffaaru,Raa Atoll,Raa (R),Maldivians,60.816466,60.816466,* Area (in hectare)
* Area (in hectare),Huraa,Kaafu Atoll,Kaafu (K),Maldivians,52.614556,52.614556,* Area (in hectare)
* Area (in hectare),Iguraidhoo,Raa Atoll,Raa (R),Maldivians,47.104442,47.104442,* Area (in hectare)
* Area (in hectare),Ihavandhoo,Haa Alif Atoll,Haa Alif (HA),Maldivians,62.575702,62.575702,* Area (in hectare)
* Area (in hectare),Innamaadhoo,Raa Atoll,Raa (R),Maldivians,37.175115,37.175115,* Area (in hectare)
* Area (in hectare),Isdhoo,Laamu Atoll,Laamu (L),Maldivians,147.063796,147.063796,* Area (in hectare)
* Area (in hectare),Kaashidhoo,Kaafu Atoll,Kaafu (K),Maldivians,282.710945,282.710945,* Area (in hectare)
* Area (in hectare),Kaditheemu,Shaviyani Atoll,Shaviyani (Sh),Maldivians,89.304283,89.304283,* Area (in hectare)
* Area (in hectare),Kadoodhoo,Thaa Atoll,Thaa (Th),Maldivians,81.829777000000007,81.829777000000007,* Area (in hectare)
* Area (in hectare),Kalhaidhoo,Laamu Atoll,Laamu (L),Maldivians,213.439932,213.439932,* Area (in hectare)
* Area (in hectare),Kamadhoo,Baa Atoll,Baa (B),Maldivians,21.348633,21.348633,* Area (in hectare)
* Area (in hectare),Kanduhulhudhoo,Gaaf Alif Atoll,Gaafu Alif (GA),Maldivians,32.324874,32.324874,* Area (in hectare)
* Area (in hectare),Kedhikolhudhoo,Noonu Atoll,Noonu (N),Maldivians,209.086502,209.086502,* Area (in hectare)
* Area (in hectare),Kelaa,Haa Alif Atoll,Haa Alif (HA),Maldivians,203.365844,203.365844,* Area (in hectare)
* Area (in hectare),Kendhoo,Baa Atoll,Baa (B),Maldivians,19.015349,19.015349,* Area (in hectare)
* Area (in hectare),Keyodhoo,Vaavu Atoll,Vaavu (V),Maldivians,11.821327,11.821327,* Area (in hectare)
* Area (in hectare),Kibidhoo,Thaa Atoll,Thaa (Th),Maldivians,38.175104,38.175104,* Area (in hectare)
* Area (in hectare),Kihaadhoo,Baa Atoll,Baa (B),Maldivians,30.772466,30.772466,* Area (in hectare)
* Area (in hectare),Kinolhas,Raa Atoll,Raa (R),Maldivians,56.228136,56.228136,* Area (in hectare)
* Area (in hectare),Kodey,Gaaf Alif Atoll,Gaafu Alif (GA),Maldivians,119.261418,119.261418,* Area (in hectare)
* Area (in hectare),Kolamaafushi,Gaaf Alif Atoll,Gaafu Alif (GA),Maldivians,35.300191,35.300191,* Area (in hectare)
* Area (in hectare),Kolhufushi,Meemu Atoll,Meemu (M),Maldivians,64.590007,64.590007,* Area (in hectare)
* Area (in hectare),Komandoo,Shaviyani Atoll,Shaviyani (Sh),Maldivians,22.158796,22.158796,* Area (in hectare)
* Area (in hectare),Kudafari,Noonu Atoll,Noonu (N),Maldivians,29.192882,29.192882,* Area (in hectare)
* Area (in hectare),Kudahuvadhoo,Dhaal Atoll,Dhaalu (Dh),Maldivians,165.579649,165.579649,* Area (in hectare)
* Area (in hectare),Kudarikilu,Baa Atoll,Baa (B),Maldivians,18.92569,18.92569,* Area (in hectare)
* Area (in hectare),Kulhudhuffushi,Haa Dhaal Atoll,Haa Dhaalu (HDh),Maldivians,252.112262,252.112262,* Area (in hectare)
* Area (in hectare),Kumundhoo,Haa Dhaal Atoll,Haa Dhaalu (HDh),Maldivians,190.453373,190.453373,* Area (in hectare)
* Area (in hectare),Kunahandhoo,Laamu Atoll,Laamu (L),Maldivians,92.2612,92.2612,* Area (in hectare)
* Area (in hectare),Kunburudhoo,Alif Dhekunu Buri,Alif Dhaal (ADh),Maldivians,6.507178,6.507178,* Area (in hectare)
* Area (in hectare),Kurendhoo,Lhaviyani Atoll,Lhaviyani (Lh),Maldivians,22.788812,22.788812,* Area (in hectare)
* Area (in hectare),Kurinbi,Haa Dhaal Atoll,Haa Dhaalu (HDh),Maldivians,40.992754,40.992754,* Area (in hectare)
* Area (in hectare),Landhoo,Noonu Atoll,Noonu (N),Maldivians,87.209419,87.209419,* Area (in hectare)
* Area (in hectare),Lhaimagu,Shaviyani Atoll,Shaviyani (Sh),Maldivians,44.168911,44.168911,* Area (in hectare)
* Area (in hectare),Lhohi,Noonu Atoll,Noonu (N),Maldivians,40.562579,40.562579,* Area (in hectare)
* Area (in hectare),Maabaidhoo,Laamu Atoll,Laamu (L),Maldivians,52.80499,52.80499,* Area (in hectare)
* Area (in hectare),Maaeboodhoo,Dhaal Atoll,Dhaalu (Dh),Maldivians,24.033801,24.033801,* Area (in hectare)
* Area (in hectare),Maafaru,Noonu Atoll,Noonu (N),Maldivians,133.869772,133.869772,* Area (in hectare)
* Area (in hectare),Maafushi,Kaafu Atoll,Kaafu (K),Maldivians,41.598098,41.598098,* Area (in hectare)
* Area (in hectare),Maakurathu,Raa Atoll,Raa (R),Maldivians,53.137713,53.137713,* Area (in hectare)
* Area (in hectare),Maalhendhoo,Noonu Atoll,Noonu (N),Maldivians,46.960848,46.960848,* Area (in hectare)
* Area (in hectare),Maalhoss,Alif Uthuru Buri,Alif Alif (AA),Maldivians,32.453251,32.453251,* Area (in hectare)
* Area (in hectare),Maalhoss,Baa Atoll,Baa (B),Maldivians,25.737584,25.737584,* Area (in hectare)
* Area (in hectare),Maamendhoo,Gaaf Alif Atoll,Gaafu Alif (GA),Maldivians,51.913822,51.913822,* Area (in hectare)
* Area (in hectare),Maamendhoo,Laamu Atoll,Laamu (L),Maldivians,22.36208,22.36208,* Area (in hectare)
* Area (in hectare),Maamigili,Alif Dhekunu Buri,Alif Dhaal (ADh),Maldivians,191.301592,191.301592,* Area (in hectare)
* Area (in hectare),Maarandhoo,Haa Alif Atoll,Haa Alif (HA),Maldivians,44.588624,44.588624,* Area (in hectare)
* Area (in hectare),Maaugoodhoo,Shaviyani Atoll,Shaviyani (Sh),Maldivians,29.4141,29.4141,* Area (in hectare)
* Area (in hectare),Maavah,Laamu Atoll,Laamu (L),Maldivians,39.891946,39.891946,* Area (in hectare)
* Area (in hectare),Madeveli,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),Maldivians,46.891993,46.891993,* Area (in hectare)
* Area (in hectare),Madifushi,Thaa Atoll,Thaa (Th),Maldivians,53.581209,53.581209,* Area (in hectare)
* Area (in hectare),Maduvvari,Meemu Atoll,Meemu (M),Maldivians,12.121939,12.121939,* Area (in hectare)
* Area (in hectare),Maduvvari,Raa Atoll,Raa (R),Maldivians,22.728042,22.728042,* Area (in hectare)
* Area (in hectare),Magoodhoo,Faafu Atoll,Faafu (F),Maldivians,24.594867,24.594867,* Area (in hectare)
* Area (in hectare),Magoodhoo,Noonu Atoll,Noonu (N),Maldivians,36.953845,36.953845,* Area (in hectare)
* Area (in hectare),Mahibadhoo,Alif Dhekunu Buri,Alif Dhaal (ADh),Maldivians,23.598404,23.598404,* Area (in hectare)
* Area (in hectare),Makunudhoo,Haa Dhaal Atoll,Haa Dhaalu (HDh),Maldivians,80.716405,80.716405,* Area (in hectare)
* Area (in hectare),Manadhoo,Noonu Atoll,Noonu (N),Maldivians,110.901565,110.901565,* Area (in hectare)
* Area (in hectare),Mandhoo,Alif Dhekunu Buri,Alif Dhaal (ADh),Maldivians,38.501574,38.501574,* Area (in hectare)
* Area (in hectare),Maradhoo,Seenu Atoll,Addu (S),Maldivians,60.138127,60.138127,* Area (in hectare)
* Area (in hectare),Maradhoo-Feydhoo,Seenu Atoll,Addu (S),Maldivians,34.273361,34.273361,* Area (in hectare)
* Area (in hectare),Maroshi,Shaviyani Atoll,Shaviyani (Sh),Maldivians,30.868095,30.868095,* Area (in hectare)
* Area (in hectare),Mathiveri,Alif Uthuru Buri,Alif Alif (AA),Maldivians,23.064295,23.064295,* Area (in hectare)
* Area (in hectare),Meedhoo,Dhaal Atoll,Dhaalu (Dh),Maldivians,32.553442,32.553442,* Area (in hectare)
* Area (in hectare),Meedhoo,Raa Atoll,Raa (R),Maldivians,36.243457,36.243457,* Area (in hectare)
* Area (in hectare),Meedhoo,Seenu Atoll,Addu (S),Maldivians,187.725238,187.725238,* Area (in hectare)
* Area (in hectare),Miladhoo,Noonu Atoll,Noonu (N),Maldivians,22.37376,22.37376,* Area (in hectare)
* Area (in hectare),Milandhoo,Shaviyani Atoll,Shaviyani (Sh),Maldivians,133.488627,133.488627,* Area (in hectare)
* Area (in hectare),Mulah,Meemu Atoll,Meemu (M),Maldivians,68.333346,68.333346,* Area (in hectare)
* Area (in hectare),Mulhadhoo,Haa Alif Atoll,Haa Alif (HA),Maldivians,119.087738,119.087738,* Area (in hectare)
* Area (in hectare),Muli,Meemu Atoll,Meemu (M),Maldivians,77.26488,77.26488,* Area (in hectare)
* Area (in hectare),Mundhoo,Laamu Atoll,Laamu (L),Maldivians,24.176301,24.176301,* Area (in hectare)
* Area (in hectare),Muraidhoo,Haa Alif Atoll,Haa Alif (HA),Maldivians,47.503676,47.503676,* Area (in hectare)
* Area (in hectare),Naalaafushi,Meemu Atoll,Meemu (M),Maldivians,12.945342,12.945342,* Area (in hectare)
* Area (in hectare),Nadallaa,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),Maldivians,45.587479,45.587479,* Area (in hectare)
* Area (in hectare),Naifaru,Lhaviyani Atoll,Lhaviyani (Lh),Maldivians,58.292494,58.292494,* Area (in hectare)
* Area (in hectare),Naivaadhoo,Haa Dhaal Atoll,Haa Dhaalu (HDh),Maldivians,30.9304,30.9304,* Area (in hectare)
* Area (in hectare),Narudhoo,Shaviyani Atoll,Shaviyani (Sh),Maldivians,42.745624,42.745624,* Area (in hectare)
* Area (in hectare),Nellaidhoo,Haa Dhaal Atoll,Haa Dhaalu (HDh),Maldivians,32.412109,32.412109,* Area (in hectare)
* Area (in hectare),Neykurendhoo,Haa Dhaal Atoll,Haa Dhaalu (HDh),Maldivians,171.698005,171.698005,* Area (in hectare)
* Area (in hectare),Nilandhoo,Faafu Atoll,Faafu (F),Maldivians,74.796714,74.796714,* Area (in hectare)
* Area (in hectare),Nilandhoo,Gaaf Alif Atoll,Gaafu Alif (GA),Maldivians,61.258407,61.258407,* Area (in hectare)
* Area (in hectare),Nolhivaram,Haa Dhaal Atoll,Haa Dhaalu (HDh),Maldivians,206.27283,206.27283,* Area (in hectare)
* Area (in hectare),Nolhivaramfaru,Haa Dhaal Atoll,Haa Dhaalu (HDh),Maldivians,173.732704,173.732704,* Area (in hectare)
* Area (in hectare),Noomaraa,Shaviyani Atoll,Shaviyani (Sh),Maldivians,39.212995,39.212995,* Area (in hectare)
* Area (in hectare),Olhuvelifushi,Lhaviyani Atoll,Lhaviyani (Lh),Maldivians,28.801563,28.801563,* Area (in hectare)
* Area (in hectare),Omadhoo,Alif Dhekunu Buri,Alif Dhaal (ADh),Maldivians,22.822959,22.822959,* Area (in hectare)
* Area (in hectare),Omadhoo,Thaa Atoll,Thaa (Th),Maldivians,36.961553,36.961553,* Area (in hectare)
* Area (in hectare),Raimandhoo,Meemu Atoll,Meemu (M),Maldivians,28.387081,28.387081,* Area (in hectare)
* Area (in hectare),Rakeedhoo,Vaavu Atoll,Vaavu (V),Maldivians,6.417948,6.417948,* Area (in hectare)
* Area (in hectare),Rasdhoo,Alif Uthuru Buri,Alif Alif (AA),Maldivians,21.825808,21.825808,* Area (in hectare)
* Area (in hectare),Rasgetheemu,Raa Atoll,Raa (R),Maldivians,39.207399,39.207399,* Area (in hectare)
* Area (in hectare),Rasmaadhoo,Raa Atoll,Raa (R),Maldivians,26.684992,26.684992,* Area (in hectare)
* Area (in hectare),Rathafandhoo,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),Maldivians,40.968734,40.968734,* Area (in hectare)
* Area (in hectare),Ribudhoo,Dhaal Atoll,Dhaalu (Dh),Maldivians,17.29024,17.29024,* Area (in hectare)
* Area (in hectare),Thakandhoo,Haa Alif Atoll,Haa Alif (HA),Maldivians,41.343205,41.343205,* Area (in hectare)
* Area (in hectare),Thimarafushi,Thaa Atoll,Thaa (Th),Maldivians,99.989305,99.989305,* Area (in hectare)
* Area (in hectare),Thinadhoo,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),Maldivians,184.792144,184.792144,* Area (in hectare)
* Area (in hectare),Thinadhoo,Vaavu Atoll,Vaavu (V),Maldivians,12.490236,12.490236,* Area (in hectare)
* Area (in hectare),Thoddoo,Alif Uthuru Buri,Alif Alif (AA),Maldivians,162.847076,162.847076,* Area (in hectare)
* Area (in hectare),Thulhaadhoo,Baa Atoll,Baa (B),Maldivians,45.801303,45.801303,* Area (in hectare)
* Area (in hectare),Thulusdhoo,Kaafu Atoll,Kaafu (K),Maldivians,77.132774,77.132774,* Area (in hectare)
* Area (in hectare),Thurakunu,Haa Alif Atoll,Haa Alif (HA),Maldivians,26.204154,26.204154,* Area (in hectare)
* Area (in hectare),Ugoofaaru,Raa Atoll,Raa (R),Maldivians,36.149593,36.149593,* Area (in hectare)
* Area (in hectare),Ukulhas,Alif Uthuru Buri,Alif Alif (AA),Maldivians,23.749664,23.749664,* Area (in hectare)
* Area (in hectare),Uligamu,Haa Alif Atoll,Haa Alif (HA),Maldivians,106.727102,106.727102,* Area (in hectare)
* Area (in hectare),Utheemu,Haa Alif Atoll,Haa Alif (HA),Maldivians,49.983419,49.983419,* Area (in hectare)
* Area (in hectare),Vaadhoo,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),Maldivians,193.73424,193.73424,* Area (in hectare)
* Area (in hectare),Vaadhoo,Raa Atoll,Raa (R),Maldivians,38.165617,38.165617,* Area (in hectare)
* Area (in hectare),Vaikaradhoo,Haa Dhaal Atoll,Haa Dhaalu (HDh),Maldivians,107.450662,107.450662,* Area (in hectare)
* Area (in hectare),Vandhoo,Thaa Atoll,Thaa (Th),Maldivians,25.906479,25.906479,* Area (in hectare)
* Area (in hectare),Vashafaru,Haa Alif Atoll,Haa Alif (HA),Maldivians,35.611409,35.611409,* Area (in hectare)
* Area (in hectare),Velidhoo,Noonu Atoll,Noonu (N),Maldivians,62.235479,62.235479,* Area (in hectare)
* Area (in hectare),Veymandoo,Thaa Atoll,Thaa (Th),Maldivians,44.64553,44.64553,* Area (in hectare)
* Area (in hectare),Veyvah,Meemu Atoll,Meemu (M),Maldivians,42.069185,42.069185,* Area (in hectare)
* Area (in hectare),Viligili,Gaaf Alif Atoll,Gaafu Alif (GA),Maldivians,111.188844,111.188844,* Area (in hectare)
* Area (in hectare),Vilufushi,Thaa Atoll,Thaa (Th),Maldivians,60.201656,60.201656,* Area (in hectare)
Adolescent Population (International) (10-19 yrs),Agolhitheemu,Raa Atoll,Raa (R),Maldivians,50,50,Adolescent Population (International) (10-19 yrs)
Adolescent Population (International) (10-19 yrs),Alifushi,Raa Atoll,Raa (R),Maldivians,287,287,Adolescent Population (International) (10-19 yrs)
Adolescent Population (International) (10-19 yrs),Baarah,Haa Alif Atoll,Haa Alif (HA),Maldivians,184,184,Adolescent Population (International) (10-19 yrs)
Adolescent Population (International) (10-19 yrs),Badidhoo,Dhaal Atoll,Dhaalu (Dh),Maldivians,106,106,Adolescent Population (International) (10-19 yrs)
Adolescent Population (International) (10-19 yrs),Biledhdhoo,Faafu Atoll,Faafu (F),Maldivians,158,158,Adolescent Population (International) (10-19 yrs)
Adolescent Population (International) (10-19 yrs),Bilehffahi,Shaviyani Atoll,Shaviyani (Sh),Maldivians,77,77,Adolescent Population (International) (10-19 yrs)
Adolescent Population (International) (10-19 yrs),Bodufolhudhoo,Alif Uthuru Buri,Alif Alif (AA),Maldivians,129,129,Adolescent Population (International) (10-19 yrs)
Adolescent Population (International) (10-19 yrs),Buruni,Thaa Atoll,Thaa (Th),Maldivians,57,57,Adolescent Population (International) (10-19 yrs)
Adolescent Population (International) (10-19 yrs),Dhaandhoo,Gaaf Alif Atoll,Gaafu Alif (GA),Maldivians,143,143,Adolescent Population (International) (10-19 yrs)
Adolescent Population (International) (10-19 yrs),Dhabidhoo,Laamu Atoll,Laamu (L),Maldivians,90,90,Adolescent Population (International) (10-19 yrs)
Adolescent Population (International) (10-19 yrs),Dhangethi,Alif Dhekunu Buri,Alif Dhaal (ADh),Maldivians,121,121,Adolescent Population (International) (10-19 yrs)
Adolescent Population (International) (10-19 yrs),Dharaboodhoo,Faafu Atoll,Faafu (F),Maldivians,84,84,Adolescent Population (International) (10-19 yrs)
Adolescent Population (International) (10-19 yrs),Dharavandhoo,Baa Atoll,Baa (B),Maldivians,134,134,Adolescent Population (International) (10-19 yrs)
Adolescent Population (International) (10-19 yrs),Dhevvadhoo,Gaaf Alif Atoll,Gaafu Alif (GA),Maldivians,67,67,Adolescent Population (International) (10-19 yrs)
Adolescent Population (International) (10-19 yrs),Dhidhdhoo,Alif Dhekunu Buri,Alif Dhaal (ADh),Maldivians,10,10,Adolescent Population (International) (10-19 yrs)
Adolescent Population (International) (10-19 yrs),Dhidhdhoo,Haa Alif Atoll,Haa Alif (HA),Maldivians,595,595,Adolescent Population (International) (10-19 yrs)
Adolescent Population (International) (10-19 yrs),Dhiffushi,Kaafu Atoll,Kaafu (K),Maldivians,184,184,Adolescent Population (International) (10-19 yrs)
Adolescent Population (International) (10-19 yrs),Dhiggaru,Meemu Atoll,Meemu (M),Maldivians,184,184,Adolescent Population (International) (10-19 yrs)
Adolescent Population (International) (10-19 yrs),Dhigurah,Alif Dhekunu Buri,Alif Dhaal (ADh),Maldivians,74,74,Adolescent Population (International) (10-19 yrs)
Adolescent Population (International) (10-19 yrs),Dhiyamigili,Thaa Atoll,Thaa (Th),Maldivians,117,117,Adolescent Population (International) (10-19 yrs)
Adolescent Population (International) (10-19 yrs),Dhonfanu,Baa Atoll,Baa (B),Maldivians,65,65,Adolescent Population (International) (10-19 yrs)
Adolescent Population (International) (10-19 yrs),Dhuvaafaru,Raa Atoll,Raa (R),Maldivians,580,580,Adolescent Population (International) (10-19 yrs)
Adolescent Population (International) (10-19 yrs),Eydhafushi,Baa Atoll,Baa (B),Maldivians,501,501,Adolescent Population (International) (10-19 yrs)
Adolescent Population (International) (10-19 yrs),Fainu,Raa Atoll,Raa (R),Maldivians,70,70,Adolescent Population (International) (10-19 yrs)
Adolescent Population (International) (10-19 yrs),Fares,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),Maldivians,99,99,Adolescent Population (International) (10-19 yrs)
Adolescent Population (International) (10-19 yrs),Feeali,Faafu Atoll,Faafu (F),Maldivians,186,186,Adolescent Population (International) (10-19 yrs)
Adolescent Population (International) (10-19 yrs),Feevah,Shaviyani Atoll,Shaviyani (Sh),Maldivians,104,104,Adolescent Population (International) (10-19 yrs)
Adolescent Population (International) (10-19 yrs),Fehendhoo,Baa Atoll,Baa (B),Maldivians,25,25,Adolescent Population (International) (10-19 yrs)
Adolescent Population (International) (10-19 yrs),Felidhoo,Vaavu Atoll,Vaavu (V),Maldivians,73,73,Adolescent Population (International) (10-19 yrs)
Adolescent Population (International) (10-19 yrs),Fenfushi,Alif Dhekunu Buri,Alif Dhaal (ADh),Maldivians,142,142,Adolescent Population (International) (10-19 yrs)
Adolescent Population (International) (10-19 yrs),Feridhoo,Alif Uthuru Buri,Alif Alif (AA),Maldivians,70,70,Adolescent Population (International) (10-19 yrs)
