dataset,indicator,island,atoll_official,atoll_local_names,sort1,value,sort_order,administration,population,min,max,normalized_value,administration_level,range01
GBV Adult,Emotional Abuse,NA,Faafu Atoll,Faafu (F),14,0,14,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Emotional Abuse,NA,Dhaal Atoll,Dhaalu (Dh),13,0,13,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Emotional Abuse,NA,Thaa Atoll,Thaa (Th),16,0,16,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Emotional Abuse,NA,Laamu Atoll,Laamu (L),17,2,17,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.030420593199063158,admin2,0.031746031746031744
GBV Adult,Emotional Abuse,NA,Gaaf Alif Atoll,Gaafu Alif (GA),18,3,18,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.03403878025191042,admin2,0.047619047619047616
GBV Adult,Emotional Abuse,NA,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),19,6,19,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.044893341410452224,admin2,0.09523809523809523
GBV Adult,Emotional Abuse,NA,Gnaviyani Atoll,Gnaviyani (Gn),20,6,20,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.044893341410452224,admin2,0.09523809523809523
GBV Adult,Emotional Abuse,NA,Seenu Atoll,Addu (S),21,20,21,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.09554796015031397,admin2,0.31746031746031744
GBV Adult,Emotional Abuse,NA,Male',Male,12,63,12,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.2511300034227465,admin2,1
GBV Adult,Stalking,NA,Haa Alif Atoll,Haa Alif (HA),1,0,1,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Stalking,NA,Haa Dhaal Atoll,Haa Dhaalu (HDh),2,0,2,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Stalking,NA,Shaviyani Atoll,Shaviyani (Sh),3,0,3,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Stalking,NA,Noonu Atoll,Noonu (N),6,0,6,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Stalking,NA,Raa Atoll,Raa (R),7,0,7,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Stalking,NA,Baa Atoll,Baa (B),4,0,4,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Stalking,NA,Lhaviyani Atoll,Lhaviyani (Lh),5,0,5,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Stalking,NA,Kaafu Atoll,Kaafu Atoll,10,0,10,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Stalking,NA,Alif Uthuru Buri,Alif Alif (AA),8,0,8,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Stalking,NA,Alif Dhekunu Buri,Alif Dhaal (ADh),9,0,9,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Stalking,NA,Vaavu Atoll,Vaavu (V),11,0,11,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Stalking,NA,Meemu Atoll,Meemu (M),15,0,15,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Stalking,NA,Faafu Atoll,Faafu (F),14,0,14,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Stalking,NA,Dhaal Atoll,Dhaalu (Dh),13,0,13,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Stalking,NA,Thaa Atoll,Thaa (Th),16,0,16,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Stalking,NA,Laamu Atoll,Laamu (L),17,0,17,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Stalking,NA,Gaaf Alif Atoll,Gaafu Alif (GA),18,0,18,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Stalking,NA,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),19,0,19,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Stalking,NA,Gnaviyani Atoll,Gnaviyani (Gn),20,1,20,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.026802406146215887,admin2,0.5
GBV Adult,Stalking,NA,Seenu Atoll,Addu (S),21,0,21,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Stalking,NA,Male',Male,12,2,12,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.030420593199063158,admin2,1
GBV Adult,Sexual Harrasment,NA,Haa Alif Atoll,Haa Alif (HA),1,0,1,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Sexual Harrasment,NA,Haa Dhaal Atoll,Haa Dhaalu (HDh),2,0,2,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Sexual Harrasment,NA,Shaviyani Atoll,Shaviyani (Sh),3,0,3,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Sexual Harrasment,NA,Noonu Atoll,Noonu (N),6,0,6,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Sexual Harrasment,NA,Raa Atoll,Raa (R),7,1,7,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.026802406146215887,admin2,0.5
GBV Adult,Sexual Harrasment,NA,Baa Atoll,Baa (B),4,0,4,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Sexual Harrasment,NA,Lhaviyani Atoll,Lhaviyani (Lh),5,0,5,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Sexual Harrasment,NA,Kaafu Atoll,Kaafu Atoll,10,0,10,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Sexual Harrasment,NA,Alif Uthuru Buri,Alif Alif (AA),8,0,8,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Sexual Harrasment,NA,Alif Dhekunu Buri,Alif Dhaal (ADh),9,0,9,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Sexual Harrasment,NA,Vaavu Atoll,Vaavu (V),11,0,11,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Sexual Harrasment,NA,Meemu Atoll,Meemu (M),15,0,15,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Sexual Harrasment,NA,Faafu Atoll,Faafu (F),14,0,14,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Sexual Harrasment,NA,Dhaal Atoll,Dhaalu (Dh),13,0,13,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Sexual Harrasment,NA,Thaa Atoll,Thaa (Th),16,0,16,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Sexual Harrasment,NA,Laamu Atoll,Laamu (L),17,0,17,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Sexual Harrasment,NA,Gaaf Alif Atoll,Gaafu Alif (GA),18,0,18,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Sexual Harrasment,NA,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),19,0,19,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Sexual Harrasment,NA,Gnaviyani Atoll,Gnaviyani (Gn),20,0,20,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Sexual Harrasment,NA,Seenu Atoll,Addu (S),21,0,21,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Sexual Harrasment,NA,Male',Male,12,2,12,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.030420593199063158,admin2,1
GBV Adult,Economic and Financial Abuse,NA,Haa Alif Atoll,Haa Alif (HA),1,0,1,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Economic and Financial Abuse,NA,Haa Dhaal Atoll,Haa Dhaalu (HDh),2,1,2,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.026802406146215887,admin2,0.25
GBV Adult,Economic and Financial Abuse,NA,Shaviyani Atoll,Shaviyani (Sh),3,0,3,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Economic and Financial Abuse,NA,Noonu Atoll,Noonu (N),6,0,6,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Economic and Financial Abuse,NA,Raa Atoll,Raa (R),7,0,7,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Economic and Financial Abuse,NA,Baa Atoll,Baa (B),4,2,4,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.030420593199063158,admin2,0.5
GBV Adult,Economic and Financial Abuse,NA,Lhaviyani Atoll,Lhaviyani (Lh),5,0,5,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Economic and Financial Abuse,NA,Kaafu Atoll,Kaafu Atoll,10,0,10,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Economic and Financial Abuse,NA,Alif Uthuru Buri,Alif Alif (AA),8,1,8,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.026802406146215887,admin2,0.25
GBV Adult,Economic and Financial Abuse,NA,Alif Dhekunu Buri,Alif Dhaal (ADh),9,0,9,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Economic and Financial Abuse,NA,Vaavu Atoll,Vaavu (V),11,0,11,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Economic and Financial Abuse,NA,Meemu Atoll,Meemu (M),15,0,15,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Economic and Financial Abuse,NA,Faafu Atoll,Faafu (F),14,0,14,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Economic and Financial Abuse,NA,Dhaal Atoll,Dhaalu (Dh),13,0,13,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Economic and Financial Abuse,NA,Thaa Atoll,Thaa (Th),16,0,16,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Economic and Financial Abuse,NA,Laamu Atoll,Laamu (L),17,0,17,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Economic and Financial Abuse,NA,Gaaf Alif Atoll,Gaafu Alif (GA),18,0,18,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Economic and Financial Abuse,NA,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),19,0,19,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Economic and Financial Abuse,NA,Gnaviyani Atoll,Gnaviyani (Gn),20,0,20,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Economic and Financial Abuse,NA,Seenu Atoll,Addu (S),21,1,21,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.026802406146215887,admin2,0.25
GBV Adult,Economic and Financial Abuse,NA,Male',Male,12,4,12,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.03765696730475769,admin2,1
GBV Adult,Withholding/Damage to the property,NA,Haa Alif Atoll,Haa Alif (HA),1,0,1,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Withholding/Damage to the property,NA,Haa Dhaal Atoll,Haa Dhaalu (HDh),2,1,2,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.026802406146215887,admin2,1
GBV Adult,Withholding/Damage to the property,NA,Shaviyani Atoll,Shaviyani (Sh),3,0,3,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Withholding/Damage to the property,NA,Noonu Atoll,Noonu (N),6,0,6,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Withholding/Damage to the property,NA,Raa Atoll,Raa (R),7,0,7,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Withholding/Damage to the property,NA,Baa Atoll,Baa (B),4,0,4,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Withholding/Damage to the property,NA,Lhaviyani Atoll,Lhaviyani (Lh),5,0,5,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Withholding/Damage to the property,NA,Kaafu Atoll,Kaafu Atoll,10,0,10,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Withholding/Damage to the property,NA,Alif Uthuru Buri,Alif Alif (AA),8,1,8,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.026802406146215887,admin2,1
GBV Adult,Withholding/Damage to the property,NA,Alif Dhekunu Buri,Alif Dhaal (ADh),9,0,9,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Withholding/Damage to the property,NA,Vaavu Atoll,Vaavu (V),11,0,11,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Withholding/Damage to the property,NA,Meemu Atoll,Meemu (M),15,0,15,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Withholding/Damage to the property,NA,Faafu Atoll,Faafu (F),14,0,14,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Withholding/Damage to the property,NA,Dhaal Atoll,Dhaalu (Dh),13,0,13,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Withholding/Damage to the property,NA,Thaa Atoll,Thaa (Th),16,0,16,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Withholding/Damage to the property,NA,Laamu Atoll,Laamu (L),17,1,17,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.026802406146215887,admin2,1
GBV Adult,Withholding/Damage to the property,NA,Gaaf Alif Atoll,Gaafu Alif (GA),18,0,18,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Withholding/Damage to the property,NA,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),19,0,19,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Withholding/Damage to the property,NA,Gnaviyani Atoll,Gnaviyani (Gn),20,1,20,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.026802406146215887,admin2,1
GBV Adult,Withholding/Damage to the property,NA,Seenu Atoll,Addu (S),21,0,21,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Withholding/Damage to the property,NA,Male',Male,12,1,12,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.026802406146215887,admin2,1
GBV Adult,Intimidating,NA,Haa Alif Atoll,Haa Alif (HA),1,0,1,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Intimidating,NA,Haa Dhaal Atoll,Haa Dhaalu (HDh),2,3,2,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.03403878025191042,admin2,0.08571428571428572
GBV Adult,Intimidating,NA,Shaviyani Atoll,Shaviyani (Sh),3,0,3,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Intimidating,NA,Noonu Atoll,Noonu (N),6,0,6,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Intimidating,NA,Raa Atoll,Raa (R),7,1,7,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.026802406146215887,admin2,0.02857142857142857
GBV Adult,Intimidating,NA,Baa Atoll,Baa (B),4,0,4,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Intimidating,NA,Lhaviyani Atoll,Lhaviyani (Lh),5,1,5,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.026802406146215887,admin2,0.02857142857142857
GBV Adult,Intimidating,NA,Kaafu Atoll,Kaafu Atoll,10,3,10,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.03403878025191042,admin2,0.08571428571428572
GBV Adult,Intimidating,NA,Alif Uthuru Buri,Alif Alif (AA),8,0,8,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Intimidating,NA,Alif Dhekunu Buri,Alif Dhaal (ADh),9,0,9,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Intimidating,NA,Vaavu Atoll,Vaavu (V),11,0,11,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Intimidating,NA,Meemu Atoll,Meemu (M),15,0,15,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Intimidating,NA,Faafu Atoll,Faafu (F),14,0,14,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Intimidating,NA,Dhaal Atoll,Dhaalu (Dh),13,0,13,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Intimidating,NA,Thaa Atoll,Thaa (Th),16,0,16,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Intimidating,NA,Laamu Atoll,Laamu (L),17,0,17,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Intimidating,NA,Gaaf Alif Atoll,Gaafu Alif (GA),18,1,18,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.026802406146215887,admin2,0.02857142857142857
GBV Adult,Intimidating,NA,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),19,2,19,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.030420593199063158,admin2,0.05714285714285714
GBV Adult,Intimidating,NA,Gnaviyani Atoll,Gnaviyani (Gn),20,0,20,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Adult,Intimidating,NA,Seenu Atoll,Addu (S),21,3,21,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.03403878025191042,admin2,0.08571428571428572
GBV Adult,Intimidating,NA,Male',Male,12,35,12,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.14982076594302302,admin2,1
GBV Children,Sexual Abuse,NA,Haa Alif Atoll,Haa Alif (HA),1,13,1,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.07022065078038309,admin2,0.13402061855670103
GBV Children,Sexual Abuse,NA,Haa Dhaal Atoll,Haa Dhaalu (HDh),2,15,2,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.07745702488607763,admin2,0.15463917525773196
GBV Children,Sexual Abuse,NA,Shaviyani Atoll,Shaviyani (Sh),3,9,3,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.05574790256899402,admin2,0.09278350515463918
GBV Children,Sexual Abuse,NA,Noonu Atoll,Noonu (N),6,8,6,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.05212971551614676,admin2,0.08247422680412371
GBV Children,Sexual Abuse,NA,Raa Atoll,Raa (R),7,14,7,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.07383883783323036,admin2,0.14432989690721648
GBV Children,Sexual Abuse,NA,Baa Atoll,Baa (B),4,5,4,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.041275154357604954,admin2,0.05154639175257732
GBV Children,Sexual Abuse,NA,Lhaviyani Atoll,Lhaviyani (Lh),5,11,5,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.06298427667468856,admin2,0.1134020618556701
GBV Children,Sexual Abuse,NA,Kaafu Atoll,Kaafu Atoll,10,16,10,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.0810752119389249,admin2,0.16494845360824742
GBV Children,Sexual Abuse,NA,Alif Uthuru Buri,Alif Alif (AA),8,7,8,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.04851152846329949,admin2,0.07216494845360824
GBV Children,Sexual Abuse,NA,Alif Dhekunu Buri,Alif Dhaal (ADh),9,7,9,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.04851152846329949,admin2,0.07216494845360824
GBV Children,Sexual Abuse,NA,Vaavu Atoll,Vaavu (V),11,4,11,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.03765696730475769,admin2,0.041237113402061855
GBV Children,Sexual Abuse,NA,Meemu Atoll,Meemu (M),15,4,15,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.03765696730475769,admin2,0.041237113402061855
GBV Children,Sexual Abuse,NA,Faafu Atoll,Faafu (F),14,1,14,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.026802406146215887,admin2,0.010309278350515464
GBV Children,Sexual Abuse,NA,Dhaal Atoll,Dhaalu (Dh),13,1,13,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.026802406146215887,admin2,0.010309278350515464
GBV Children,Sexual Abuse,NA,Thaa Atoll,Thaa (Th),16,10,16,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.0593660896218413,admin2,0.10309278350515463
GBV Children,Sexual Abuse,NA,Laamu Atoll,Laamu (L),17,15,17,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.07745702488607763,admin2,0.15463917525773196
GBV Children,Sexual Abuse,NA,Gaaf Alif Atoll,Gaafu Alif (GA),18,11,18,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.06298427667468856,admin2,0.1134020618556701
GBV Children,Sexual Abuse,NA,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),19,10,19,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.0593660896218413,admin2,0.10309278350515463
GBV Children,Sexual Abuse,NA,Gnaviyani Atoll,Gnaviyani (Gn),20,2,20,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.030420593199063158,admin2,0.020618556701030927
GBV Children,Sexual Abuse,NA,Seenu Atoll,Addu (S),21,28,21,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.12449345657309213,admin2,0.28865979381443296
GBV Children,Sexual Abuse,NA,Male',Male,12,97,12,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.3741483632195536,admin2,1
GBV Children,Physical Abuse,NA,Haa Alif Atoll,Haa Alif (HA),1,8,1,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.05212971551614676,admin2,0.06896551724137931
GBV Children,Physical Abuse,NA,Haa Dhaal Atoll,Haa Dhaalu (HDh),2,14,2,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.07383883783323036,admin2,0.1206896551724138
GBV Children,Physical Abuse,NA,Shaviyani Atoll,Shaviyani (Sh),3,2,3,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.030420593199063158,admin2,0.017241379310344827
GBV Children,Physical Abuse,NA,Noonu Atoll,Noonu (N),6,3,6,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.03403878025191042,admin2,0.02586206896551724
GBV Children,Physical Abuse,NA,Raa Atoll,Raa (R),7,5,7,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.041275154357604954,admin2,0.04310344827586207
GBV Children,Physical Abuse,NA,Baa Atoll,Baa (B),4,4,4,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.03765696730475769,admin2,0.034482758620689655
GBV Children,Physical Abuse,NA,Lhaviyani Atoll,Lhaviyani (Lh),5,4,5,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.03765696730475769,admin2,0.034482758620689655
GBV Children,Physical Abuse,NA,Kaafu Atoll,Kaafu Atoll,10,7,10,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.04851152846329949,admin2,0.0603448275862069
GBV Children,Physical Abuse,NA,Alif Uthuru Buri,Alif Alif (AA),8,7,8,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.04851152846329949,admin2,0.0603448275862069
GBV Children,Physical Abuse,NA,Alif Dhekunu Buri,Alif Dhaal (ADh),9,2,9,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.030420593199063158,admin2,0.017241379310344827
GBV Children,Physical Abuse,NA,Vaavu Atoll,Vaavu (V),11,0,11,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Children,Physical Abuse,NA,Meemu Atoll,Meemu (M),15,1,15,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.026802406146215887,admin2,0.008620689655172414
GBV Children,Physical Abuse,NA,Faafu Atoll,Faafu (F),14,6,14,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.044893341410452224,admin2,0.05172413793103448
GBV Children,Physical Abuse,NA,Dhaal Atoll,Dhaalu (Dh),13,0,13,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.02318421909336862,admin2,0
GBV Children,Physical Abuse,NA,Thaa Atoll,Thaa (Th),16,6,16,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.044893341410452224,admin2,0.05172413793103448
GBV Children,Physical Abuse,NA,Laamu Atoll,Laamu (L),17,11,17,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.06298427667468856,admin2,0.09482758620689655
GBV Children,Physical Abuse,NA,Gaaf Alif Atoll,Gaafu Alif (GA),18,10,18,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.0593660896218413,admin2,0.08620689655172414
GBV Children,Physical Abuse,NA,Gaaf Dhaal Atoll,Gaafu Dhaalu (GDh),19,9,19,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.05574790256899402,admin2,0.07758620689655173
GBV Children,Physical Abuse,NA,Gnaviyani Atoll,Gnaviyani (Gn),20,2,20,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.030420593199063158,admin2,0.017241379310344827
GBV Children,Physical Abuse,NA,Seenu Atoll,Addu (S),21,13,21,provisionally Administrative Islands,Provisionally Resident Population,0,52482,0.07022065078038309,admin2,0.11206896551724138
