dataset,indicator,island,atoll_official,atoll_local_names,sort1,value,sort_order,administration,population,min,max,normalized_value,administration_level,range01
Population,Population,Maroshi,Shaviyani Atoll,Shaviyani (Sh),3,479,3,Administrative Islands,Resident Population,0,52482,1.7562958174072099,admin3,0.007689959164981109
Population,Population,Milandhoo,Shaviyani Atoll,Shaviyani (Sh),3,2094,3,Administrative Islands,Resident Population,0,52482,7.5996679077555465,admin3,0.03850704117849101
Population,Population,Narudhoo,Shaviyani Atoll,Shaviyani (Sh),3,544,3,Administrative Islands,Resident Population,0,52482,1.9914779758422823,admin3,0.0089302751593329
Population,Population,Noomaraa,Shaviyani Atoll,Shaviyani (Sh),3,371,3,Administrative Islands,Resident Population,0,52482,1.3655316156997048,admin3,0.005629126435904286
Population,Population,Fodhdhoo,Noonu Atoll,Noonu (N),6,345,6,Administrative Islands,Resident Population,0,52482,1.271458752325676,admin3,0.005133000038163569
Population,Population,Hebadhoo,Noonu Atoll,Noonu (N),6,638,6,Administrative Islands,Resident Population,0,52482,2.3315875588099253,admin3,0.010723962905010877
Population,Population,Holhudhoo,Noonu Atoll,Noonu (N),6,1428,6,Administrative Islands,Resident Population,0,52482,5.189955330559267,admin3,0.02579857268251727
Population,Population,Kedhikolhudhoo,Noonu Atoll,Noonu (N),6,1556,6,Administrative Islands,Resident Population,0,52482,5.653083273323717,admin3,0.028241041102163876
Population,Population,Kudafari,Noonu Atoll,Noonu (N),6,628,6,Administrative Islands,Resident Population,0,52482,2.295405688281453,admin3,0.010533145059725985
Population,Population,Landhoo,Noonu Atoll,Noonu (N),6,757,6,Administrative Islands,Resident Population,0,52482,2.7621518180987503,admin3,0.01299469526390108
Population,Population,Lhohi,Noonu Atoll,Noonu (N),6,692,6,Administrative Islands,Resident Population,0,52482,2.5269696596636777,admin3,0.011754379269549288
Population,Population,Maafaru,Noonu Atoll,Noonu (N),6,919,6,Administrative Islands,Resident Population,0,52482,3.3482981206600075,admin3,0.016085944357516316
Population,Population,Maalhendhoo,Noonu Atoll,Noonu (N),6,724,6,Administrative Islands,Resident Population,0,52482,2.6427516453547906,admin3,0.01236499637446094
Population,Population,Magoodhoo,Noonu Atoll,Noonu (N),6,305,6,Administrative Islands,Resident Population,0,52482,1.1267312702117853,admin3,0.0043697286570240045
Population,Population,Manadhoo,Noonu Atoll,Noonu (N),6,1745,6,Administrative Islands,Resident Population,0,52482,6.3369206263118505,admin3,0.03184749837804832
Population,Population,Miladhoo,Noonu Atoll,Noonu (N),6,934,6,Administrative Islands,Resident Population,0,52482,3.4025709264527166,admin3,0.01637217112544365
Population,Population,Velidhoo,Noonu Atoll,Noonu (N),6,1832,6,Administrative Islands,Resident Population,0,52482,6.651702899909563,admin3,0.03350761363202687
Population,Population,Agolhitheemu,Raa Atoll,Raa (R),7,381,7,Administrative Islands,Resident Population,0,52482,1.4017134862281777,admin3,0.005819944281189177
Population,Population,Alifushi,Raa Atoll,Raa (R),7,1859,7,Administrative Islands,Resident Population,0,52482,6.749393950336438,admin3,0.03402282181429607
Population,Population,Dhuvaafaru,Raa Atoll,Raa (R),7,3321,7,Administrative Islands,Resident Population,0,52482,12.039183421599144,admin3,0.06192039079494714
Population,Population,Fainu,Raa Atoll,Raa (R),7,423,7,Administrative Islands,Resident Population,0,52482,1.553677342447763,admin3,0.006621379231385719
Population,Population,Hulhudhuffaaru,Raa Atoll,Raa (R),7,1228,7,Administrative Islands,Resident Population,0,52482,4.466317919989813,admin3,0.02198221577681945
Population,Population,Iguraidhoo,Raa Atoll,Raa (R),7,1278,7,Administrative Islands,Resident Population,0,52482,4.647227272632176,admin3,0.022936305003243902
Population,Population,Innamaadhoo,Raa Atoll,Raa (R),7,663,7,Administrative Islands,Resident Population,0,52482,2.4220422351311073,admin3,0.011201007518223104
Population,Population,Kinolhas,Raa Atoll,Raa (R),7,543,7,Administrative Islands,Resident Population,0,52482,1.987859788789435,admin3,0.008911193374804411
Population,Population,Maakurathu,Raa Atoll,Raa (R),7,956,7,Administrative Islands,Resident Population,0,52482,3.4821710416153566,admin3,0.016791970385070413
Population,Population,Maduvvari,Raa Atoll,Raa (R),7,1760,7,Administrative Islands,Resident Population,0,52482,6.39119343210456,admin3,0.03213372514597565
Population,Population,Meedhoo,Raa Atoll,Raa (R),7,1872,7,Administrative Islands,Resident Population,0,52482,6.796430382023454,admin3,0.034270885013166434
Population,Population,Rasgetheemu,Raa Atoll,Raa (R),7,537,7,Administrative Islands,Resident Population,0,52482,1.9661506664723514,admin3,0.008796702667633476
Population,Population,Rasmaadhoo,Raa Atoll,Raa (R),7,554,7,Administrative Islands,Resident Population,0,52482,2.0276598463707547,admin3,0.009121093004617793
Population,Population,Ugoofaaru,Raa Atoll,Raa (R),7,1754,7,Administrative Islands,Resident Population,0,52482,6.3694843097874765,admin3,0.032019234438804715
Population,Population,Vaadhoo,Raa Atoll,Raa (R),7,452,7,Administrative Islands,Resident Population,0,52482,1.6586047669803337,admin3,0.007174750982711903
Population,Population,Dharavandhoo,Baa Atoll,Baa (B),4,997,4,Administrative Islands,Resident Population,0,52482,3.6305167107820946,admin3,0.017574323550738465
Population,Population,Dhonfanu,Baa Atoll,Baa (B),4,398,4,Administrative Islands,Resident Population,0,52482,1.4632226661265813,admin3,0.006144334618173492
Population,Population,Eydhafushi,Baa Atoll,Baa (B),4,2581,4,Administrative Islands,Resident Population,0,52482,9.361725002492165,admin3,0.04779987024386521
Population,Population,Fehendhoo,Baa Atoll,Baa (B),4,198,4,Administrative Islands,Resident Population,0,52482,0.7395852555571275,admin3,0.0023279777124756706
Population,Population,Fulhadhoo,Baa Atoll,Baa (B),4,341,4,Administrative Islands,Resident Population,0,52482,1.2569860041142868,admin3,0.005056672900049613
Population,Population,Goidhoo,Baa Atoll,Baa (B),4,583,4,Administrative Islands,Resident Population,0,52482,2.1325872709033256,admin3,0.009674464755943976
Population,Population,Hithaadhoo,Baa Atoll,Baa (B),4,744,4,Administrative Islands,Resident Population,0,52482,2.7151153864117354,admin3,0.012746632065030721
Population,Population,Kamadhoo,Baa Atoll,Baa (B),4,552,4,Administrative Islands,Resident Population,0,52482,2.0204234722650605,admin3,0.009082929435560813
Population,Population,Kendhoo,Baa Atoll,Baa (B),4,1002,4,Administrative Islands,Resident Population,0,52482,3.648607646046331,admin3,0.01766973247338091
Population,Population,Kihaadhoo,Baa Atoll,Baa (B),4,481,4,Administrative Islands,Resident Population,0,52482,1.7635321915129043,admin3,0.007728122734038087
Population,Population,Kudarikilu,Baa Atoll,Baa (B),4,557,4,Administrative Islands,Resident Population,0,52482,2.0385144075292967,admin3,0.00917833835820326
Population,Population,Maalhoss,Baa Atoll,Baa (B),4,572,4,Administrative Islands,Resident Population,0,52482,2.092787213322006,admin3,0.009464565126130595
Population,Population,Thulhaadhoo,Baa Atoll,Baa (B),4,1625,4,Administrative Islands,Resident Population,0,52482,5.902738179970179,admin3,0.029557684234629622
Population,Population,Hinnavaru,Lhaviyani Atoll,Lhaviyani (Lh),5,2286,5,Administrative Islands,Resident Population,0,52482,8.294359821902223,admin3,0.04217074380796092
Population,Population,Kurendhoo,Lhaviyani Atoll,Lhaviyani (Lh),5,1171,5,Administrative Islands,Resident Population,0,52482,4.260081257977519,admin3,0.02089455405869557
Population,Population,Naifaru,Lhaviyani Atoll,Lhaviyani (Lh),5,4832,5,Administrative Islands,Resident Population,0,52482,17.506264058451364,admin3,0.09075296721749418
Population,Population,Olhuvelifushi,Lhaviyani Atoll,Lhaviyani (Lh),5,703,5,Administrative Islands,Resident Population,0,52482,2.5667697172449975,admin3,0.011964278899362668
Population,Population,Dhiffushi,Kaafu Atoll,Kaafu Atoll,10,1270,10,Administrative Islands,Resident Population,0,52482,4.618281776209399,admin3,0.02278365072701599
Population,Population,Gaafaru,Kaafu Atoll,Kaafu Atoll,10,1294,10,Administrative Islands,Resident Population,0,52482,4.705118265477733,admin3,0.02324161355569973
