Timestamp,max_temp_degC,min_temp_degC,mean_temp_degC,mean_humidity_percent,mean_wind_direction_compass,mean_wind_speed_kts,max_wind_direction_compass,max_wind_speed_kts,rainfall_mm
4/3/1994,31.8,25.6,29.9,75,N,8,N,15,1.7
4/4/1994,31.9,24.8,28.9,78,VRB,6,WNW,13,4.8
4/5/1994,31.8,26,30.1,75,VRB,4,CALM,6,0
4/6/1994,31,22.6,25.3,87,NNW,10,NW,23,19.3
4/7/1994,30.5,24.5,28.3,82,NW,8,N,20,2.1
4/8/1994,30.6,27.5,29.5,78,N,7,N,13,0
4/9/1994,31.1,23.8,30.3,70,VRB,3,CALM,5,0
4/10/1994,32.6,27.6,30,76,VRB,7,SSW,10,0
4/11/1994,32.8,25.8,30.5,72,SSW,9,SSW,13,0
4/12/1994,33,24.3,30.3,72,SSW,9,SSW,17,8.9
4/13/1994,31.6,26,28.7,78,VRB,2,SE,9,0
4/14/1994,31.9,27.4,30.5,72,NW,6,NW,8,0
4/15/1994,31.2,23.8,28.5,81,WNW,8,WSW,18,43.1
4/16/1994,31.4,24.2,29.1,77,VRB,6,NW,10,20
4/17/1994,31.4,23.5,29.3,76,WNW,8,N,20,61
4/18/1994,30.6,26,28.5,78,W,12,W,16,5.6
4/19/1994,31.6,27.6,29.7,75,WNW,7,WNW,17,0.3
4/20/1994,31.8,25,29.4,75,CALM,0,NW,15,1.7
4/21/1994,31.8,24.8,30.3,72,WNW,7,WNW,10,2.3
4/22/1994,30.6,26.4,28.6,79,WSW,7,SW,13,0
4/23/1994,32,25.4,29.6,75,WSW,9,W,17,0.1
4/24/1994,32.2,27,30.7,72,SW,6,SSW,9,0
4/25/1994,32.4,25.8,30.7,70,CALM,0,CALM,5,0
4/26/1994,32.8,27.6,30.4,74,VRB,5,WNW,7,0
4/27/1994,31.9,25.6,29.9,77,SSW,10,SW,18,3
4/28/1994,32,24.2,27.9,83,W,5,SW,35,22.7
4/29/1994,30.1,23.8,27.1,85,W,12,W,26,59.6
4/30/1994,29.6,25.8,28.3,83,W,8,W,18,0.1
5/1/1994,29.8,22.6,25.3,93,VRB,6,WNW,20,53.8
5/2/1994,31.8,25.2,29.5,75,SW,8,W,10,0
5/3/1994,32,26.6,30.5,72,SW,6,SW,8,0.6
5/4/1994,31.1,25.5,27.9,84,SW,7,W,17,70.8
5/5/1994,29,24.8,26.9,83,WSW,6,WSW,14,0
5/6/1994,31.4,26.2,29.7,72,SW,5,S,8,0
5/7/1994,31.9,27,30.1,71,VRB,5,SW,7,0
5/8/1994,32,26.8,30.3,73,SW,7,SW,11,0.4
5/9/1994,32.4,27.6,30.1,74,WSW,7,WSW,9,0
5/10/1994,32,25.9,30.3,73,WSW,7,W,10,3.9
5/11/1994,31.5,24.2,29.9,76,WSW,5,NW,25,6.2
5/12/1994,32.2,26.5,30.3,73,VRB,5,NW,18,17.7
5/13/1994,32,24,28.8,81,SW,5,N,16,90.4
5/14/1994,32,25.5,29.3,77,S,9,S,15,1
5/15/1994,30.6,24.8,27.7,85,S,8,W,23,0.5
5/16/1994,31.6,23.8,29.9,75,SW,8,NNW,18,26.4
5/17/1994,30.6,25.7,29.2,77,VRB,2,NE,20,16
5/18/1994,31,24.1,28.5,79,VRB,6,NW,25,7.8
5/19/1994,30.5,25.8,28.7,79,W,10,WNW,18,4.4
5/20/1994,29.2,22.6,28.5,81,SW,11,WSW,20,61.2
5/21/1994,28.8,23.5,26.3,87,WSW,9,WSW,20,2.3
5/22/1994,31.6,23.4,28.7,77,SW,8,SW,23,25.3
5/23/1994,31.2,26.3,29.3,78,SSW,7,SW,16,0
5/24/1994,31.6,25,30.3,71,VRB,6,WSW,7,0
5/25/1994,31.2,27.4,29.7,74,SW,8,SW,12,0
5/26/1994,31.2,23,29.7,71,SW,9,SW,13,14
5/27/1994,29.4,25.5,26.5,83,W,10,NW,32,6.4
5/28/1994,30.6,26,29.4,73,SW,9,SSW,12,0
5/29/1994,30.9,26.7,29.6,69,SSW,9,SSW,10,0.6
5/30/1994,31.1,24.4,29.8,65,VRB,2,CALM,5,0
5/31/1994,31.1,26.6,27.3,78,VRB,7,NW,23,9.2
6/1/1994,31.2,27.2,29.7,71,VRB,3,CALM,6,0
